POI: 			Jacqueline_Emerson 
Youtube ID: 	kHiKqkxnypg 
Video length: 	555.8 sec 
Set (V): 		dev 
 
Jacqueline_Emerson/kHiKqkxnypg_0000001 09.0 14.8 
Jacqueline_Emerson/kHiKqkxnypg_0000002 16.2 20.7 
Jacqueline_Emerson/kHiKqkxnypg_0000003 21.0 28.7 
Jacqueline_Emerson/kHiKqkxnypg_0000004 31.7 48.4 
Jacqueline_Emerson/kHiKqkxnypg_0000005 149.9 161.8 
Jacqueline_Emerson/kHiKqkxnypg_0000006 163.1 170.5 
Jacqueline_Emerson/kHiKqkxnypg_0000007 172.2 180.3 
Jacqueline_Emerson/kHiKqkxnypg_0000008 184.2 190.0 
Jacqueline_Emerson/kHiKqkxnypg_0000009 220.8 235.2 
Jacqueline_Emerson/kHiKqkxnypg_0000010 282.6 288.4 
Jacqueline_Emerson/kHiKqkxnypg_0000011 327.5 334.9 
Jacqueline_Emerson/kHiKqkxnypg_0000012 336.2 350.9 
Jacqueline_Emerson/kHiKqkxnypg_0000013 382.4 404.1 
Jacqueline_Emerson/kHiKqkxnypg_0000014 430.2 438.2 
Jacqueline_Emerson/kHiKqkxnypg_0000015 439.8 454.9 
Jacqueline_Emerson/kHiKqkxnypg_0000016 459.6 468.6 
Jacqueline_Emerson/kHiKqkxnypg_0000017 468.8 474.7 
Jacqueline_Emerson/kHiKqkxnypg_0000018 512.4 519.7 
Jacqueline_Emerson/kHiKqkxnypg_0000019 521.0 527.3 
Jacqueline_Emerson/kHiKqkxnypg_0000020 530.5 534.7 
Jacqueline_Emerson/kHiKqkxnypg_0000021 539.4 543.6 
