POI: 			Jonathan_Rhys_Meyers 
Youtube ID: 	I9gCyrZWFn0 
Video length: 	258.0 sec 
Set (V): 		dev 
 
Jonathan_Rhys_Meyers/I9gCyrZWFn0_0000001 13.8 19.7 
Jonathan_Rhys_Meyers/I9gCyrZWFn0_0000002 24.8 34.4 
Jonathan_Rhys_Meyers/I9gCyrZWFn0_0000003 37.8 42.4 
Jonathan_Rhys_Meyers/I9gCyrZWFn0_0000004 46.8 53.7 
Jonathan_Rhys_Meyers/I9gCyrZWFn0_0000005 54.3 58.4 
Jonathan_Rhys_Meyers/I9gCyrZWFn0_0000006 82.6 89.5 
Jonathan_Rhys_Meyers/I9gCyrZWFn0_0000007 100.4 111.4 
Jonathan_Rhys_Meyers/I9gCyrZWFn0_0000008 122.9 130.5 
Jonathan_Rhys_Meyers/I9gCyrZWFn0_0000009 131.8 137.6 
Jonathan_Rhys_Meyers/I9gCyrZWFn0_0000010 145.2 152.2 
Jonathan_Rhys_Meyers/I9gCyrZWFn0_0000011 153.8 169.0 
Jonathan_Rhys_Meyers/I9gCyrZWFn0_0000012 171.2 179.3 
Jonathan_Rhys_Meyers/I9gCyrZWFn0_0000013 179.6 186.5 
Jonathan_Rhys_Meyers/I9gCyrZWFn0_0000014 187.6 204.0 
Jonathan_Rhys_Meyers/I9gCyrZWFn0_0000015 208.3 224.9 
Jonathan_Rhys_Meyers/I9gCyrZWFn0_0000016 229.6 240.1 
Jonathan_Rhys_Meyers/I9gCyrZWFn0_0000017 242.8 253.3 
