POI: 			Burt_Reynolds 
Youtube ID: 	yV8NNCEDlek 
Video length: 	2033.9 sec 
Set (V): 		dev 
 
Burt_Reynolds/yV8NNCEDlek_0000001 15.9 20.1 
Burt_Reynolds/yV8NNCEDlek_0000002 26.6 31.0 
Burt_Reynolds/yV8NNCEDlek_0000003 67.4 73.2 
Burt_Reynolds/yV8NNCEDlek_0000004 127.2 133.8 
Burt_Reynolds/yV8NNCEDlek_0000005 145.7 150.5 
Burt_Reynolds/yV8NNCEDlek_0000006 151.6 162.6 
Burt_Reynolds/yV8NNCEDlek_0000007 163.1 172.0 
Burt_Reynolds/yV8NNCEDlek_0000008 199.4 204.5 
Burt_Reynolds/yV8NNCEDlek_0000009 216.8 226.5 
Burt_Reynolds/yV8NNCEDlek_0000010 231.1 236.9 
Burt_Reynolds/yV8NNCEDlek_0000011 239.0 243.3 
Burt_Reynolds/yV8NNCEDlek_0000012 296.3 300.3 
Burt_Reynolds/yV8NNCEDlek_0000013 328.0 333.9 
Burt_Reynolds/yV8NNCEDlek_0000014 364.6 372.5 
Burt_Reynolds/yV8NNCEDlek_0000015 373.0 380.3 
Burt_Reynolds/yV8NNCEDlek_0000016 394.1 402.9 
Burt_Reynolds/yV8NNCEDlek_0000017 406.4 411.4 
Burt_Reynolds/yV8NNCEDlek_0000018 412.0 416.1 
Burt_Reynolds/yV8NNCEDlek_0000019 417.2 422.1 
Burt_Reynolds/yV8NNCEDlek_0000020 434.8 445.7 
Burt_Reynolds/yV8NNCEDlek_0000021 466.3 474.0 
Burt_Reynolds/yV8NNCEDlek_0000022 488.5 492.8 
Burt_Reynolds/yV8NNCEDlek_0000023 495.3 506.5 
Burt_Reynolds/yV8NNCEDlek_0000024 548.8 558.2 
Burt_Reynolds/yV8NNCEDlek_0000025 559.0 567.9 
Burt_Reynolds/yV8NNCEDlek_0000026 572.1 579.7 
Burt_Reynolds/yV8NNCEDlek_0000027 580.3 584.5 
Burt_Reynolds/yV8NNCEDlek_0000028 585.3 590.7 
Burt_Reynolds/yV8NNCEDlek_0000029 593.1 602.2 
Burt_Reynolds/yV8NNCEDlek_0000030 619.2 623.6 
Burt_Reynolds/yV8NNCEDlek_0000031 638.6 644.8 
Burt_Reynolds/yV8NNCEDlek_0000032 751.0 755.0 
Burt_Reynolds/yV8NNCEDlek_0000033 759.3 766.8 
Burt_Reynolds/yV8NNCEDlek_0000034 775.8 790.6 
Burt_Reynolds/yV8NNCEDlek_0000035 807.9 817.2 
Burt_Reynolds/yV8NNCEDlek_0000036 818.3 824.5 
Burt_Reynolds/yV8NNCEDlek_0000037 829.9 835.4 
Burt_Reynolds/yV8NNCEDlek_0000038 839.7 848.8 
Burt_Reynolds/yV8NNCEDlek_0000039 869.9 877.4 
Burt_Reynolds/yV8NNCEDlek_0000040 911.7 918.0 
Burt_Reynolds/yV8NNCEDlek_0000041 918.4 933.4 
Burt_Reynolds/yV8NNCEDlek_0000042 1009.8 1014.2 
Burt_Reynolds/yV8NNCEDlek_0000043 1042.4 1048.0 
Burt_Reynolds/yV8NNCEDlek_0000044 1048.2 1055.1 
Burt_Reynolds/yV8NNCEDlek_0000045 1060.5 1065.2 
Burt_Reynolds/yV8NNCEDlek_0000046 1066.9 1077.2 
Burt_Reynolds/yV8NNCEDlek_0000047 1100.0 1106.3 
Burt_Reynolds/yV8NNCEDlek_0000048 1126.5 1132.8 
Burt_Reynolds/yV8NNCEDlek_0000049 1145.5 1151.5 
Burt_Reynolds/yV8NNCEDlek_0000050 1152.4 1157.2 
Burt_Reynolds/yV8NNCEDlek_0000051 1231.0 1237.0 
Burt_Reynolds/yV8NNCEDlek_0000052 1306.3 1313.2 
Burt_Reynolds/yV8NNCEDlek_0000053 1332.3 1337.7 
Burt_Reynolds/yV8NNCEDlek_0000054 1428.4 1434.6 
Burt_Reynolds/yV8NNCEDlek_0000055 1454.4 1459.7 
Burt_Reynolds/yV8NNCEDlek_0000056 1472.9 1479.0 
Burt_Reynolds/yV8NNCEDlek_0000057 1491.7 1498.8 
Burt_Reynolds/yV8NNCEDlek_0000058 1514.6 1520.1 
Burt_Reynolds/yV8NNCEDlek_0000059 1547.9 1562.0 
Burt_Reynolds/yV8NNCEDlek_0000060 1568.6 1572.6 
Burt_Reynolds/yV8NNCEDlek_0000061 1588.5 1593.2 
Burt_Reynolds/yV8NNCEDlek_0000062 1599.7 1604.9 
Burt_Reynolds/yV8NNCEDlek_0000063 1614.4 1618.4 
Burt_Reynolds/yV8NNCEDlek_0000064 1634.4 1640.8 
Burt_Reynolds/yV8NNCEDlek_0000065 1645.5 1651.7 
Burt_Reynolds/yV8NNCEDlek_0000066 1652.0 1659.2 
Burt_Reynolds/yV8NNCEDlek_0000067 1692.0 1697.7 
Burt_Reynolds/yV8NNCEDlek_0000068 1698.2 1704.8 
Burt_Reynolds/yV8NNCEDlek_0000069 1712.7 1722.4 
Burt_Reynolds/yV8NNCEDlek_0000070 1734.8 1741.8 
Burt_Reynolds/yV8NNCEDlek_0000071 1752.9 1761.5 
Burt_Reynolds/yV8NNCEDlek_0000072 1753.3 1758.8 
Burt_Reynolds/yV8NNCEDlek_0000073 1846.3 1850.4 
Burt_Reynolds/yV8NNCEDlek_0000074 1850.9 1859.2 
Burt_Reynolds/yV8NNCEDlek_0000075 1870.4 1874.6 
Burt_Reynolds/yV8NNCEDlek_0000076 1876.4 1880.9 
Burt_Reynolds/yV8NNCEDlek_0000077 1887.6 1892.6 
Burt_Reynolds/yV8NNCEDlek_0000078 1913.9 1927.7 
Burt_Reynolds/yV8NNCEDlek_0000079 1958.4 1965.1 
Burt_Reynolds/yV8NNCEDlek_0000080 1972.9 1978.6 
Burt_Reynolds/yV8NNCEDlek_0000081 2000.7 2006.0 
