POI: 			Steve_Martin 
Youtube ID: 	e7-WQtSfhZ8 
Video length: 	960.5 sec 
Set (V): 		dev 
 
Steve_Martin/e7-WQtSfhZ8_0000001 19.8 29.3 
Steve_Martin/e7-WQtSfhZ8_0000002 36.8 49.2 
Steve_Martin/e7-WQtSfhZ8_0000003 60.7 68.4 
Steve_Martin/e7-WQtSfhZ8_0000004 83.8 102.8 
Steve_Martin/e7-WQtSfhZ8_0000005 108.6 116.4 
Steve_Martin/e7-WQtSfhZ8_0000006 124.8 130.2 
Steve_Martin/e7-WQtSfhZ8_0000007 136.6 148.8 
Steve_Martin/e7-WQtSfhZ8_0000008 150.3 172.9 
Steve_Martin/e7-WQtSfhZ8_0000009 177.0 182.6 
Steve_Martin/e7-WQtSfhZ8_0000010 183.8 189.7 
Steve_Martin/e7-WQtSfhZ8_0000011 194.9 204.9 
Steve_Martin/e7-WQtSfhZ8_0000012 217.1 224.2 
Steve_Martin/e7-WQtSfhZ8_0000013 227.3 232.0 
Steve_Martin/e7-WQtSfhZ8_0000014 232.3 248.7 
Steve_Martin/e7-WQtSfhZ8_0000015 269.8 276.6 
Steve_Martin/e7-WQtSfhZ8_0000016 285.8 292.0 
Steve_Martin/e7-WQtSfhZ8_0000017 330.3 343.5 
Steve_Martin/e7-WQtSfhZ8_0000018 356.8 360.8 
Steve_Martin/e7-WQtSfhZ8_0000019 362.6 369.9 
Steve_Martin/e7-WQtSfhZ8_0000020 371.8 379.0 
Steve_Martin/e7-WQtSfhZ8_0000021 419.7 430.1 
Steve_Martin/e7-WQtSfhZ8_0000022 433.2 438.5 
Steve_Martin/e7-WQtSfhZ8_0000023 439.4 447.4 
Steve_Martin/e7-WQtSfhZ8_0000024 449.3 462.2 
Steve_Martin/e7-WQtSfhZ8_0000025 462.4 471.4 
Steve_Martin/e7-WQtSfhZ8_0000026 472.9 478.1 
Steve_Martin/e7-WQtSfhZ8_0000027 500.7 519.2 
Steve_Martin/e7-WQtSfhZ8_0000028 524.8 538.7 
Steve_Martin/e7-WQtSfhZ8_0000029 472.9 477.7 
Steve_Martin/e7-WQtSfhZ8_0000030 504.6 508.6 
Steve_Martin/e7-WQtSfhZ8_0000031 508.7 515.8 
Steve_Martin/e7-WQtSfhZ8_0000032 556.8 567.2 
Steve_Martin/e7-WQtSfhZ8_0000033 568.0 572.0 
Steve_Martin/e7-WQtSfhZ8_0000034 585.6 589.7 
Steve_Martin/e7-WQtSfhZ8_0000035 594.4 601.5 
Steve_Martin/e7-WQtSfhZ8_0000036 638.9 643.8 
Steve_Martin/e7-WQtSfhZ8_0000037 644.6 648.8 
Steve_Martin/e7-WQtSfhZ8_0000038 650.2 657.9 
Steve_Martin/e7-WQtSfhZ8_0000039 671.3 677.0 
Steve_Martin/e7-WQtSfhZ8_0000040 686.5 691.0 
Steve_Martin/e7-WQtSfhZ8_0000041 696.6 702.6 
Steve_Martin/e7-WQtSfhZ8_0000042 710.3 721.3 
Steve_Martin/e7-WQtSfhZ8_0000043 726.1 732.6 
Steve_Martin/e7-WQtSfhZ8_0000044 653.0 657.9 
Steve_Martin/e7-WQtSfhZ8_0000045 696.6 702.5 
