POI: 			Steve_Martin 
Youtube ID: 	8-VZuZ1Vmak 
Video length: 	3725.0 sec 
Set (V): 		dev 
 
Steve_Martin/8-VZuZ1Vmak_0000001 312.0 326.5 
Steve_Martin/8-VZuZ1Vmak_0000002 342.8 354.5 
Steve_Martin/8-VZuZ1Vmak_0000003 364.7 373.3 
Steve_Martin/8-VZuZ1Vmak_0000004 373.7 378.5 
Steve_Martin/8-VZuZ1Vmak_0000005 392.0 399.7 
Steve_Martin/8-VZuZ1Vmak_0000006 429.5 437.0 
Steve_Martin/8-VZuZ1Vmak_0000007 454.2 466.0 
Steve_Martin/8-VZuZ1Vmak_0000008 514.1 523.0 
Steve_Martin/8-VZuZ1Vmak_0000009 526.4 552.2 
Steve_Martin/8-VZuZ1Vmak_0000010 561.4 568.9 
Steve_Martin/8-VZuZ1Vmak_0000011 582.4 595.2 
Steve_Martin/8-VZuZ1Vmak_0000012 605.9 610.1 
Steve_Martin/8-VZuZ1Vmak_0000013 676.4 681.0 
Steve_Martin/8-VZuZ1Vmak_0000014 797.2 806.9 
Steve_Martin/8-VZuZ1Vmak_0000015 811.6 830.8 
Steve_Martin/8-VZuZ1Vmak_0000016 857.1 870.5 
Steve_Martin/8-VZuZ1Vmak_0000017 903.4 913.2 
Steve_Martin/8-VZuZ1Vmak_0000018 917.6 931.0 
Steve_Martin/8-VZuZ1Vmak_0000019 971.7 1000.8 
Steve_Martin/8-VZuZ1Vmak_0000020 1012.4 1021.8 
Steve_Martin/8-VZuZ1Vmak_0000021 1042.9 1053.8 
Steve_Martin/8-VZuZ1Vmak_0000022 1059.7 1067.5 
Steve_Martin/8-VZuZ1Vmak_0000023 1069.7 1079.8 
Steve_Martin/8-VZuZ1Vmak_0000024 1080.4 1086.8 
Steve_Martin/8-VZuZ1Vmak_0000025 1091.8 1098.4 
Steve_Martin/8-VZuZ1Vmak_0000026 1213.2 1220.7 
Steve_Martin/8-VZuZ1Vmak_0000027 1224.7 1231.0 
Steve_Martin/8-VZuZ1Vmak_0000028 1243.8 1252.6 
Steve_Martin/8-VZuZ1Vmak_0000029 1267.2 1283.1 
Steve_Martin/8-VZuZ1Vmak_0000030 1299.8 1307.3 
Steve_Martin/8-VZuZ1Vmak_0000031 1327.3 1335.6 
Steve_Martin/8-VZuZ1Vmak_0000032 1362.6 1376.2 
Steve_Martin/8-VZuZ1Vmak_0000033 1391.8 1402.8 
Steve_Martin/8-VZuZ1Vmak_0000034 1418.6 1428.7 
Steve_Martin/8-VZuZ1Vmak_0000035 1430.4 1434.6 
Steve_Martin/8-VZuZ1Vmak_0000036 1481.3 1487.1 
Steve_Martin/8-VZuZ1Vmak_0000037 1559.9 1564.2 
Steve_Martin/8-VZuZ1Vmak_0000038 1567.4 1571.8 
Steve_Martin/8-VZuZ1Vmak_0000039 1607.9 1620.9 
Steve_Martin/8-VZuZ1Vmak_0000040 1626.0 1630.1 
Steve_Martin/8-VZuZ1Vmak_0000041 1671.3 1679.2 
Steve_Martin/8-VZuZ1Vmak_0000042 1686.9 1691.4 
Steve_Martin/8-VZuZ1Vmak_0000043 1703.5 1708.5 
Steve_Martin/8-VZuZ1Vmak_0000044 1747.9 1756.0 
Steve_Martin/8-VZuZ1Vmak_0000045 1756.9 1764.3 
Steve_Martin/8-VZuZ1Vmak_0000046 1768.5 1772.5 
Steve_Martin/8-VZuZ1Vmak_0000047 1780.6 1788.6 
Steve_Martin/8-VZuZ1Vmak_0000048 1793.4 1804.9 
Steve_Martin/8-VZuZ1Vmak_0000049 1805.4 1819.2 
Steve_Martin/8-VZuZ1Vmak_0000050 1847.9 1855.4 
Steve_Martin/8-VZuZ1Vmak_0000051 1870.0 1877.0 
Steve_Martin/8-VZuZ1Vmak_0000052 1898.6 1903.0 
Steve_Martin/8-VZuZ1Vmak_0000053 1917.7 1933.5 
Steve_Martin/8-VZuZ1Vmak_0000054 1967.4 1971.7 
Steve_Martin/8-VZuZ1Vmak_0000055 2014.0 2039.5 
Steve_Martin/8-VZuZ1Vmak_0000056 2077.8 2083.8 
Steve_Martin/8-VZuZ1Vmak_0000057 2123.0 2133.6 
Steve_Martin/8-VZuZ1Vmak_0000058 2137.6 2144.8 
Steve_Martin/8-VZuZ1Vmak_0000059 2153.2 2160.0 
Steve_Martin/8-VZuZ1Vmak_0000060 2164.8 2171.4 
Steve_Martin/8-VZuZ1Vmak_0000061 2171.6 2176.9 
Steve_Martin/8-VZuZ1Vmak_0000062 2198.8 2203.0 
Steve_Martin/8-VZuZ1Vmak_0000063 2219.9 2234.2 
Steve_Martin/8-VZuZ1Vmak_0000064 2257.1 2262.2 
Steve_Martin/8-VZuZ1Vmak_0000065 2263.4 2272.5 
Steve_Martin/8-VZuZ1Vmak_0000066 2293.0 2297.9 
Steve_Martin/8-VZuZ1Vmak_0000067 2325.9 2336.3 
Steve_Martin/8-VZuZ1Vmak_0000068 2341.4 2346.7 
Steve_Martin/8-VZuZ1Vmak_0000069 2374.8 2379.7 
Steve_Martin/8-VZuZ1Vmak_0000070 2398.1 2402.6 
Steve_Martin/8-VZuZ1Vmak_0000071 2442.0 2447.7 
Steve_Martin/8-VZuZ1Vmak_0000072 2448.4 2453.0 
Steve_Martin/8-VZuZ1Vmak_0000073 2454.3 2462.5 
Steve_Martin/8-VZuZ1Vmak_0000074 2463.9 2470.0 
Steve_Martin/8-VZuZ1Vmak_0000075 2487.8 2494.8 
Steve_Martin/8-VZuZ1Vmak_0000076 2563.8 2573.2 
Steve_Martin/8-VZuZ1Vmak_0000077 2588.3 2598.4 
