POI: 			Steve_Martin 
Youtube ID: 	661UcMkDQJ8 
Video length: 	1257.2 sec 
Set (V): 		dev 
 
Steve_Martin/661UcMkDQJ8_0000001 95.2 103.6 
Steve_Martin/661UcMkDQJ8_0000002 117.8 121.9 
Steve_Martin/661UcMkDQJ8_0000003 180.3 202.1 
Steve_Martin/661UcMkDQJ8_0000004 203.5 208.4 
Steve_Martin/661UcMkDQJ8_0000005 211.7 220.8 
Steve_Martin/661UcMkDQJ8_0000006 222.4 239.7 
Steve_Martin/661UcMkDQJ8_0000007 240.3 247.8 
Steve_Martin/661UcMkDQJ8_0000008 251.2 255.4 
Steve_Martin/661UcMkDQJ8_0000009 287.0 292.4 
Steve_Martin/661UcMkDQJ8_0000010 308.1 313.6 
Steve_Martin/661UcMkDQJ8_0000011 374.4 378.4 
Steve_Martin/661UcMkDQJ8_0000012 386.1 394.0 
Steve_Martin/661UcMkDQJ8_0000013 394.1 405.0 
Steve_Martin/661UcMkDQJ8_0000014 415.4 424.6 
Steve_Martin/661UcMkDQJ8_0000015 430.4 437.6 
Steve_Martin/661UcMkDQJ8_0000016 463.8 469.4 
Steve_Martin/661UcMkDQJ8_0000017 475.0 485.7 
Steve_Martin/661UcMkDQJ8_0000018 494.5 499.8 
Steve_Martin/661UcMkDQJ8_0000019 504.5 508.4 
Steve_Martin/661UcMkDQJ8_0000020 518.1 523.8 
Steve_Martin/661UcMkDQJ8_0000021 541.8 549.6 
Steve_Martin/661UcMkDQJ8_0000022 656.8 668.4 
Steve_Martin/661UcMkDQJ8_0000023 676.6 681.5 
Steve_Martin/661UcMkDQJ8_0000024 687.6 695.9 
Steve_Martin/661UcMkDQJ8_0000025 737.3 744.6 
Steve_Martin/661UcMkDQJ8_0000026 776.8 782.4 
Steve_Martin/661UcMkDQJ8_0000027 785.7 792.0 
Steve_Martin/661UcMkDQJ8_0000028 839.0 845.4 
Steve_Martin/661UcMkDQJ8_0000029 880.9 885.3 
Steve_Martin/661UcMkDQJ8_0000030 921.8 928.2 
Steve_Martin/661UcMkDQJ8_0000031 932.8 942.1 
Steve_Martin/661UcMkDQJ8_0000032 1048.6 1064.2 
Steve_Martin/661UcMkDQJ8_0000033 1066.2 1073.9 
Steve_Martin/661UcMkDQJ8_0000034 1092.6 1098.2 
Steve_Martin/661UcMkDQJ8_0000035 1098.5 1105.7 
Steve_Martin/661UcMkDQJ8_0000036 1110.5 1116.8 
Steve_Martin/661UcMkDQJ8_0000037 1140.9 1148.3 
Steve_Martin/661UcMkDQJ8_0000038 1171.8 1178.0 
Steve_Martin/661UcMkDQJ8_0000039 1184.9 1189.4 
Steve_Martin/661UcMkDQJ8_0000040 1190.4 1198.6 
Steve_Martin/661UcMkDQJ8_0000041 1207.8 1216.0 
