POI: 			Ana_Gasteyer 
Youtube ID: 	CvGFrHmVDeA 
Video length: 	2278.6 sec 
Set (V): 		dev 
 
Ana_Gasteyer/CvGFrHmVDeA_0000001 67.2 74.6 
Ana_Gasteyer/CvGFrHmVDeA_0000002 95.0 106.0 
Ana_Gasteyer/CvGFrHmVDeA_0000003 115.4 132.2 
Ana_Gasteyer/CvGFrHmVDeA_0000004 133.0 137.2 
Ana_Gasteyer/CvGFrHmVDeA_0000005 148.4 153.9 
Ana_Gasteyer/CvGFrHmVDeA_0000006 179.2 188.3 
Ana_Gasteyer/CvGFrHmVDeA_0000007 189.8 196.8 
Ana_Gasteyer/CvGFrHmVDeA_0000008 189.6 193.7 
Ana_Gasteyer/CvGFrHmVDeA_0000009 226.2 231.9 
Ana_Gasteyer/CvGFrHmVDeA_0000010 237.0 241.4 
Ana_Gasteyer/CvGFrHmVDeA_0000011 256.7 261.4 
Ana_Gasteyer/CvGFrHmVDeA_0000012 277.3 281.6 
Ana_Gasteyer/CvGFrHmVDeA_0000013 284.9 289.5 
Ana_Gasteyer/CvGFrHmVDeA_0000014 291.4 295.6 
Ana_Gasteyer/CvGFrHmVDeA_0000015 297.4 308.9 
Ana_Gasteyer/CvGFrHmVDeA_0000016 309.2 320.5 
Ana_Gasteyer/CvGFrHmVDeA_0000017 327.4 336.3 
Ana_Gasteyer/CvGFrHmVDeA_0000018 336.9 342.3 
Ana_Gasteyer/CvGFrHmVDeA_0000019 344.4 350.6 
Ana_Gasteyer/CvGFrHmVDeA_0000020 379.8 395.8 
Ana_Gasteyer/CvGFrHmVDeA_0000021 426.9 431.2 
Ana_Gasteyer/CvGFrHmVDeA_0000022 431.4 438.8 
Ana_Gasteyer/CvGFrHmVDeA_0000023 444.6 468.2 
Ana_Gasteyer/CvGFrHmVDeA_0000024 489.7 500.1 
Ana_Gasteyer/CvGFrHmVDeA_0000025 500.6 507.8 
Ana_Gasteyer/CvGFrHmVDeA_0000026 509.8 522.0 
Ana_Gasteyer/CvGFrHmVDeA_0000027 525.6 529.5 
Ana_Gasteyer/CvGFrHmVDeA_0000028 573.5 585.6 
Ana_Gasteyer/CvGFrHmVDeA_0000029 606.3 611.6 
Ana_Gasteyer/CvGFrHmVDeA_0000030 622.7 635.5 
Ana_Gasteyer/CvGFrHmVDeA_0000031 639.5 645.3 
Ana_Gasteyer/CvGFrHmVDeA_0000032 677.6 681.9 
Ana_Gasteyer/CvGFrHmVDeA_0000033 683.0 688.4 
Ana_Gasteyer/CvGFrHmVDeA_0000034 720.9 726.0 
Ana_Gasteyer/CvGFrHmVDeA_0000035 740.2 745.6 
Ana_Gasteyer/CvGFrHmVDeA_0000036 798.0 803.8 
Ana_Gasteyer/CvGFrHmVDeA_0000037 804.1 814.9 
Ana_Gasteyer/CvGFrHmVDeA_0000038 804.2 815.0 
Ana_Gasteyer/CvGFrHmVDeA_0000039 834.8 842.8 
Ana_Gasteyer/CvGFrHmVDeA_0000040 853.0 860.9 
Ana_Gasteyer/CvGFrHmVDeA_0000041 862.4 870.3 
Ana_Gasteyer/CvGFrHmVDeA_0000042 893.3 897.9 
Ana_Gasteyer/CvGFrHmVDeA_0000043 905.4 914.2 
Ana_Gasteyer/CvGFrHmVDeA_0000044 941.3 946.5 
Ana_Gasteyer/CvGFrHmVDeA_0000045 1010.5 1017.3 
Ana_Gasteyer/CvGFrHmVDeA_0000046 1143.6 1150.1 
Ana_Gasteyer/CvGFrHmVDeA_0000047 1231.9 1239.3 
Ana_Gasteyer/CvGFrHmVDeA_0000048 1244.0 1250.6 
Ana_Gasteyer/CvGFrHmVDeA_0000049 1297.3 1303.3 
Ana_Gasteyer/CvGFrHmVDeA_0000050 1336.4 1341.3 
Ana_Gasteyer/CvGFrHmVDeA_0000051 1372.4 1381.9 
Ana_Gasteyer/CvGFrHmVDeA_0000052 1442.8 1447.7 
Ana_Gasteyer/CvGFrHmVDeA_0000053 1542.6 1549.3 
Ana_Gasteyer/CvGFrHmVDeA_0000054 1622.9 1631.0 
Ana_Gasteyer/CvGFrHmVDeA_0000055 1639.8 1644.0 
Ana_Gasteyer/CvGFrHmVDeA_0000056 1714.4 1744.0 
Ana_Gasteyer/CvGFrHmVDeA_0000057 1749.2 1768.2 
Ana_Gasteyer/CvGFrHmVDeA_0000058 1769.1 1773.8 
Ana_Gasteyer/CvGFrHmVDeA_0000059 1774.1 1781.4 
Ana_Gasteyer/CvGFrHmVDeA_0000060 1800.8 1806.2 
Ana_Gasteyer/CvGFrHmVDeA_0000061 1831.6 1836.0 
Ana_Gasteyer/CvGFrHmVDeA_0000062 1848.2 1852.9 
Ana_Gasteyer/CvGFrHmVDeA_0000063 1864.4 1869.8 
Ana_Gasteyer/CvGFrHmVDeA_0000064 1925.3 1933.2 
Ana_Gasteyer/CvGFrHmVDeA_0000065 1995.4 2000.4 
Ana_Gasteyer/CvGFrHmVDeA_0000066 2055.5 2062.3 
Ana_Gasteyer/CvGFrHmVDeA_0000067 2063.3 2081.3 
Ana_Gasteyer/CvGFrHmVDeA_0000068 2088.2 2093.8 
Ana_Gasteyer/CvGFrHmVDeA_0000069 2098.3 2103.4 
Ana_Gasteyer/CvGFrHmVDeA_0000070 2114.6 2119.2 
Ana_Gasteyer/CvGFrHmVDeA_0000071 2153.0 2158.1 
Ana_Gasteyer/CvGFrHmVDeA_0000072 2126.3 2130.2 
Ana_Gasteyer/CvGFrHmVDeA_0000073 2141.6 2150.2 
Ana_Gasteyer/CvGFrHmVDeA_0000074 2215.3 2225.3 
Ana_Gasteyer/CvGFrHmVDeA_0000075 2231.0 2236.8 
