POI: 			Paloma_Faith 
Youtube ID: 	txeAWRzdcrY 
Video length: 	764.0 sec 
Set (V): 		dev 
 
Paloma_Faith/txeAWRzdcrY_0000001 62.9 74.0 
Paloma_Faith/txeAWRzdcrY_0000002 74.2 78.8 
Paloma_Faith/txeAWRzdcrY_0000003 104.3 111.9 
Paloma_Faith/txeAWRzdcrY_0000004 118.4 127.4 
Paloma_Faith/txeAWRzdcrY_0000005 162.5 168.9 
Paloma_Faith/txeAWRzdcrY_0000006 186.4 190.5 
Paloma_Faith/txeAWRzdcrY_0000007 206.4 211.0 
Paloma_Faith/txeAWRzdcrY_0000008 219.8 229.3 
Paloma_Faith/txeAWRzdcrY_0000009 244.3 258.0 
Paloma_Faith/txeAWRzdcrY_0000010 273.4 278.0 
Paloma_Faith/txeAWRzdcrY_0000011 317.5 321.9 
Paloma_Faith/txeAWRzdcrY_0000012 322.0 336.5 
Paloma_Faith/txeAWRzdcrY_0000013 347.6 358.9 
Paloma_Faith/txeAWRzdcrY_0000014 428.4 444.8 
Paloma_Faith/txeAWRzdcrY_0000015 455.0 460.0 
Paloma_Faith/txeAWRzdcrY_0000016 512.7 519.4 
Paloma_Faith/txeAWRzdcrY_0000017 521.2 527.0 
Paloma_Faith/txeAWRzdcrY_0000018 534.6 543.0 
Paloma_Faith/txeAWRzdcrY_0000019 573.6 579.2 
Paloma_Faith/txeAWRzdcrY_0000020 640.0 645.2 
Paloma_Faith/txeAWRzdcrY_0000021 652.4 657.6 
