POI: 			Paloma_Faith 
Youtube ID: 	Ihne3KSY-l0 
Video length: 	1809.4 sec 
Set (V): 		dev 
 
Paloma_Faith/Ihne3KSY-l0_0000001 62.9 68.9 
Paloma_Faith/Ihne3KSY-l0_0000002 106.0 110.0 
Paloma_Faith/Ihne3KSY-l0_0000003 140.4 149.0 
Paloma_Faith/Ihne3KSY-l0_0000004 205.3 210.0 
Paloma_Faith/Ihne3KSY-l0_0000005 213.7 219.2 
Paloma_Faith/Ihne3KSY-l0_0000006 267.0 276.4 
Paloma_Faith/Ihne3KSY-l0_0000007 293.6 302.3 
Paloma_Faith/Ihne3KSY-l0_0000008 449.1 453.5 
Paloma_Faith/Ihne3KSY-l0_0000009 460.3 465.0 
Paloma_Faith/Ihne3KSY-l0_0000010 469.3 477.3 
Paloma_Faith/Ihne3KSY-l0_0000011 513.2 518.0 
Paloma_Faith/Ihne3KSY-l0_0000012 520.2 524.3 
Paloma_Faith/Ihne3KSY-l0_0000013 635.9 640.2 
Paloma_Faith/Ihne3KSY-l0_0000014 689.6 694.8 
Paloma_Faith/Ihne3KSY-l0_0000015 848.2 852.6 
Paloma_Faith/Ihne3KSY-l0_0000016 901.4 906.4 
Paloma_Faith/Ihne3KSY-l0_0000017 941.3 948.2 
Paloma_Faith/Ihne3KSY-l0_0000018 949.1 954.2 
Paloma_Faith/Ihne3KSY-l0_0000019 983.0 993.5 
Paloma_Faith/Ihne3KSY-l0_0000020 1037.2 1043.0 
Paloma_Faith/Ihne3KSY-l0_0000021 1446.6 1452.1 
Paloma_Faith/Ihne3KSY-l0_0000022 1493.2 1500.6 
Paloma_Faith/Ihne3KSY-l0_0000023 1513.9 1518.5 
Paloma_Faith/Ihne3KSY-l0_0000024 1571.1 1580.7 
Paloma_Faith/Ihne3KSY-l0_0000025 1615.6 1619.6 
Paloma_Faith/Ihne3KSY-l0_0000026 1677.3 1681.4 
Paloma_Faith/Ihne3KSY-l0_0000027 1728.6 1732.8 
