POI: 			Peter_Jackson 
Youtube ID: 	kIhYUJaTa_w 
Video length: 	625.7 sec 
Set (V): 		dev 
 
Peter_Jackson/kIhYUJaTa_w_0000001 20.0 24.0 
Peter_Jackson/kIhYUJaTa_w_0000002 36.3 40.8 
Peter_Jackson/kIhYUJaTa_w_0000003 77.7 84.2 
Peter_Jackson/kIhYUJaTa_w_0000004 107.3 114.8 
Peter_Jackson/kIhYUJaTa_w_0000005 120.2 128.4 
Peter_Jackson/kIhYUJaTa_w_0000006 140.7 153.1 
Peter_Jackson/kIhYUJaTa_w_0000007 172.6 177.4 
Peter_Jackson/kIhYUJaTa_w_0000008 178.4 194.0 
Peter_Jackson/kIhYUJaTa_w_0000009 209.1 216.0 
Peter_Jackson/kIhYUJaTa_w_0000010 216.6 227.4 
Peter_Jackson/kIhYUJaTa_w_0000011 228.1 233.2 
Peter_Jackson/kIhYUJaTa_w_0000012 245.4 253.1 
Peter_Jackson/kIhYUJaTa_w_0000013 254.4 263.2 
Peter_Jackson/kIhYUJaTa_w_0000014 282.6 289.7 
Peter_Jackson/kIhYUJaTa_w_0000015 300.3 309.2 
Peter_Jackson/kIhYUJaTa_w_0000016 319.6 324.4 
Peter_Jackson/kIhYUJaTa_w_0000017 324.9 329.7 
Peter_Jackson/kIhYUJaTa_w_0000018 338.2 343.0 
Peter_Jackson/kIhYUJaTa_w_0000019 352.4 357.2 
Peter_Jackson/kIhYUJaTa_w_0000020 365.9 370.2 
Peter_Jackson/kIhYUJaTa_w_0000021 406.2 410.7 
Peter_Jackson/kIhYUJaTa_w_0000022 414.4 422.4 
Peter_Jackson/kIhYUJaTa_w_0000023 442.3 450.3 
Peter_Jackson/kIhYUJaTa_w_0000024 499.4 507.4 
Peter_Jackson/kIhYUJaTa_w_0000025 553.3 558.2 
Peter_Jackson/kIhYUJaTa_w_0000026 599.2 604.5 
Peter_Jackson/kIhYUJaTa_w_0000027 610.8 617.4 
