POI: 			Peter_Jackson 
Youtube ID: 	IsDHxbLR6fE 
Video length: 	2622.2 sec 
Set (V): 		dev 
 
Peter_Jackson/IsDHxbLR6fE_0000001 12.4 18.2 
Peter_Jackson/IsDHxbLR6fE_0000002 26.8 31.0 
Peter_Jackson/IsDHxbLR6fE_0000003 92.9 99.5 
Peter_Jackson/IsDHxbLR6fE_0000004 103.1 107.8 
Peter_Jackson/IsDHxbLR6fE_0000005 125.9 133.8 
Peter_Jackson/IsDHxbLR6fE_0000006 160.6 169.5 
Peter_Jackson/IsDHxbLR6fE_0000007 169.8 174.5 
Peter_Jackson/IsDHxbLR6fE_0000008 178.6 182.7 
Peter_Jackson/IsDHxbLR6fE_0000009 201.8 213.2 
Peter_Jackson/IsDHxbLR6fE_0000010 213.6 224.0 
Peter_Jackson/IsDHxbLR6fE_0000011 226.0 230.8 
Peter_Jackson/IsDHxbLR6fE_0000012 246.4 250.7 
Peter_Jackson/IsDHxbLR6fE_0000013 258.1 270.8 
Peter_Jackson/IsDHxbLR6fE_0000014 279.3 296.6 
Peter_Jackson/IsDHxbLR6fE_0000015 299.3 306.1 
Peter_Jackson/IsDHxbLR6fE_0000016 336.5 341.0 
Peter_Jackson/IsDHxbLR6fE_0000017 343.4 351.4 
Peter_Jackson/IsDHxbLR6fE_0000018 351.6 358.7 
Peter_Jackson/IsDHxbLR6fE_0000019 359.8 376.6 
Peter_Jackson/IsDHxbLR6fE_0000020 386.5 398.7 
Peter_Jackson/IsDHxbLR6fE_0000021 425.2 429.9 
Peter_Jackson/IsDHxbLR6fE_0000022 441.9 449.3 
Peter_Jackson/IsDHxbLR6fE_0000023 455.4 463.1 
Peter_Jackson/IsDHxbLR6fE_0000024 468.6 478.0 
Peter_Jackson/IsDHxbLR6fE_0000025 548.0 552.5 
Peter_Jackson/IsDHxbLR6fE_0000026 554.9 562.0 
Peter_Jackson/IsDHxbLR6fE_0000027 563.0 567.8 
Peter_Jackson/IsDHxbLR6fE_0000028 581.4 586.6 
Peter_Jackson/IsDHxbLR6fE_0000029 657.1 662.4 
Peter_Jackson/IsDHxbLR6fE_0000030 679.8 688.6 
Peter_Jackson/IsDHxbLR6fE_0000031 710.6 716.5 
Peter_Jackson/IsDHxbLR6fE_0000032 717.0 727.0 
Peter_Jackson/IsDHxbLR6fE_0000033 746.4 754.4 
Peter_Jackson/IsDHxbLR6fE_0000034 903.2 908.2 
Peter_Jackson/IsDHxbLR6fE_0000035 923.2 931.2 
Peter_Jackson/IsDHxbLR6fE_0000036 937.5 945.3 
Peter_Jackson/IsDHxbLR6fE_0000037 945.9 951.4 
Peter_Jackson/IsDHxbLR6fE_0000038 1016.8 1026.2 
Peter_Jackson/IsDHxbLR6fE_0000039 1027.0 1031.3 
Peter_Jackson/IsDHxbLR6fE_0000040 1044.8 1051.0 
Peter_Jackson/IsDHxbLR6fE_0000041 1053.6 1058.8 
Peter_Jackson/IsDHxbLR6fE_0000042 1059.3 1066.8 
Peter_Jackson/IsDHxbLR6fE_0000043 1084.5 1090.3 
Peter_Jackson/IsDHxbLR6fE_0000044 1091.4 1097.1 
Peter_Jackson/IsDHxbLR6fE_0000045 1097.2 1107.7 
Peter_Jackson/IsDHxbLR6fE_0000046 1107.9 1121.8 
Peter_Jackson/IsDHxbLR6fE_0000047 1129.5 1147.7 
Peter_Jackson/IsDHxbLR6fE_0000048 1164.6 1174.5 
Peter_Jackson/IsDHxbLR6fE_0000049 1174.6 1189.9 
Peter_Jackson/IsDHxbLR6fE_0000050 1192.1 1212.5 
Peter_Jackson/IsDHxbLR6fE_0000051 1214.8 1223.8 
Peter_Jackson/IsDHxbLR6fE_0000052 1238.3 1245.8 
Peter_Jackson/IsDHxbLR6fE_0000053 1256.0 1270.2 
Peter_Jackson/IsDHxbLR6fE_0000054 1281.2 1310.1 
Peter_Jackson/IsDHxbLR6fE_0000055 1310.8 1317.5 
Peter_Jackson/IsDHxbLR6fE_0000056 1326.7 1336.7 
Peter_Jackson/IsDHxbLR6fE_0000057 1336.8 1346.0 
Peter_Jackson/IsDHxbLR6fE_0000058 1351.0 1381.6 
Peter_Jackson/IsDHxbLR6fE_0000059 1392.8 1397.3 
Peter_Jackson/IsDHxbLR6fE_0000060 1397.6 1402.3 
Peter_Jackson/IsDHxbLR6fE_0000061 1406.4 1411.1 
Peter_Jackson/IsDHxbLR6fE_0000062 1442.6 1449.0 
Peter_Jackson/IsDHxbLR6fE_0000063 1454.1 1461.3 
Peter_Jackson/IsDHxbLR6fE_0000064 1465.0 1471.8 
Peter_Jackson/IsDHxbLR6fE_0000065 1477.6 1486.6 
Peter_Jackson/IsDHxbLR6fE_0000066 1496.0 1503.8 
Peter_Jackson/IsDHxbLR6fE_0000067 1507.3 1513.3 
Peter_Jackson/IsDHxbLR6fE_0000068 1515.5 1524.1 
Peter_Jackson/IsDHxbLR6fE_0000069 1524.4 1533.9 
Peter_Jackson/IsDHxbLR6fE_0000070 1534.8 1541.8 
Peter_Jackson/IsDHxbLR6fE_0000071 1543.5 1553.1 
Peter_Jackson/IsDHxbLR6fE_0000072 1562.5 1570.1 
Peter_Jackson/IsDHxbLR6fE_0000073 1583.3 1590.9 
Peter_Jackson/IsDHxbLR6fE_0000074 1610.8 1629.3 
Peter_Jackson/IsDHxbLR6fE_0000075 1631.5 1650.8 
Peter_Jackson/IsDHxbLR6fE_0000076 1655.9 1661.2 
Peter_Jackson/IsDHxbLR6fE_0000077 1683.6 1692.5 
Peter_Jackson/IsDHxbLR6fE_0000078 1693.4 1698.4 
Peter_Jackson/IsDHxbLR6fE_0000079 1699.2 1722.8 
Peter_Jackson/IsDHxbLR6fE_0000080 1726.7 1742.6 
Peter_Jackson/IsDHxbLR6fE_0000081 1796.8 1801.7 
Peter_Jackson/IsDHxbLR6fE_0000082 1812.3 1816.5 
Peter_Jackson/IsDHxbLR6fE_0000083 1819.3 1824.6 
Peter_Jackson/IsDHxbLR6fE_0000084 1825.6 1836.8 
Peter_Jackson/IsDHxbLR6fE_0000085 2019.9 2024.0 
Peter_Jackson/IsDHxbLR6fE_0000086 2045.5 2050.3 
Peter_Jackson/IsDHxbLR6fE_0000087 2062.6 2066.8 
Peter_Jackson/IsDHxbLR6fE_0000088 2071.0 2077.3 
Peter_Jackson/IsDHxbLR6fE_0000089 2087.6 2094.5 
Peter_Jackson/IsDHxbLR6fE_0000090 2097.4 2109.0 
Peter_Jackson/IsDHxbLR6fE_0000091 2109.4 2117.3 
Peter_Jackson/IsDHxbLR6fE_0000092 2142.7 2147.6 
Peter_Jackson/IsDHxbLR6fE_0000093 2150.0 2157.5 
Peter_Jackson/IsDHxbLR6fE_0000094 2167.6 2174.2 
Peter_Jackson/IsDHxbLR6fE_0000095 2178.0 2184.6 
Peter_Jackson/IsDHxbLR6fE_0000096 2186.8 2191.6 
Peter_Jackson/IsDHxbLR6fE_0000097 2201.6 2215.2 
Peter_Jackson/IsDHxbLR6fE_0000098 2236.0 2242.0 
Peter_Jackson/IsDHxbLR6fE_0000099 2242.6 2252.7 
Peter_Jackson/IsDHxbLR6fE_0000100 2254.7 2270.9 
Peter_Jackson/IsDHxbLR6fE_0000101 2289.5 2293.4 
Peter_Jackson/IsDHxbLR6fE_0000102 2295.9 2301.6 
Peter_Jackson/IsDHxbLR6fE_0000103 2316.3 2327.8 
Peter_Jackson/IsDHxbLR6fE_0000104 2328.3 2336.8 
Peter_Jackson/IsDHxbLR6fE_0000105 2358.8 2363.0 
Peter_Jackson/IsDHxbLR6fE_0000106 2364.8 2370.3 
Peter_Jackson/IsDHxbLR6fE_0000107 2389.8 2393.9 
Peter_Jackson/IsDHxbLR6fE_0000108 2399.8 2410.0 
Peter_Jackson/IsDHxbLR6fE_0000109 2410.4 2415.9 
Peter_Jackson/IsDHxbLR6fE_0000110 2417.3 2426.7 
Peter_Jackson/IsDHxbLR6fE_0000111 2427.6 2437.2 
Peter_Jackson/IsDHxbLR6fE_0000112 2437.4 2443.0 
Peter_Jackson/IsDHxbLR6fE_0000113 2445.0 2457.7 
Peter_Jackson/IsDHxbLR6fE_0000114 2467.7 2476.8 
Peter_Jackson/IsDHxbLR6fE_0000115 2484.3 2491.1 
Peter_Jackson/IsDHxbLR6fE_0000116 2496.4 2502.1 
Peter_Jackson/IsDHxbLR6fE_0000117 2507.1 2511.8 
Peter_Jackson/IsDHxbLR6fE_0000118 2513.5 2525.6 
Peter_Jackson/IsDHxbLR6fE_0000119 2525.7 2529.7 
Peter_Jackson/IsDHxbLR6fE_0000120 2532.3 2536.4 
Peter_Jackson/IsDHxbLR6fE_0000121 2539.6 2563.8 
Peter_Jackson/IsDHxbLR6fE_0000122 2574.4 2599.0 
Peter_Jackson/IsDHxbLR6fE_0000123 2612.9 2617.7 
