POI: 			Peter_Jackson 
Youtube ID: 	XmVc0YT4NoI 
Video length: 	478.1 sec 
Set (V): 		dev 
 
Peter_Jackson/XmVc0YT4NoI_0000001 33.5 54.3 
Peter_Jackson/XmVc0YT4NoI_0000002 54.9 59.6 
Peter_Jackson/XmVc0YT4NoI_0000003 60.6 66.6 
Peter_Jackson/XmVc0YT4NoI_0000004 66.7 88.4 
Peter_Jackson/XmVc0YT4NoI_0000005 118.8 125.5 
Peter_Jackson/XmVc0YT4NoI_0000006 126.6 133.6 
Peter_Jackson/XmVc0YT4NoI_0000007 136.8 148.2 
Peter_Jackson/XmVc0YT4NoI_0000008 149.1 166.1 
Peter_Jackson/XmVc0YT4NoI_0000009 166.2 174.6 
Peter_Jackson/XmVc0YT4NoI_0000010 203.3 209.8 
Peter_Jackson/XmVc0YT4NoI_0000011 212.5 217.3 
Peter_Jackson/XmVc0YT4NoI_0000012 225.2 232.4 
Peter_Jackson/XmVc0YT4NoI_0000013 232.7 265.5 
Peter_Jackson/XmVc0YT4NoI_0000014 299.8 303.8 
Peter_Jackson/XmVc0YT4NoI_0000015 304.7 338.7 
Peter_Jackson/XmVc0YT4NoI_0000016 340.3 347.2 
Peter_Jackson/XmVc0YT4NoI_0000017 354.5 360.7 
Peter_Jackson/XmVc0YT4NoI_0000018 393.9 399.8 
Peter_Jackson/XmVc0YT4NoI_0000019 406.9 413.3 
Peter_Jackson/XmVc0YT4NoI_0000020 455.8 461.1 
