POI: 			Peter_Jackson 
Youtube ID: 	LQ5bZCXxWIQ 
Video length: 	354.7 sec 
Set (V): 		dev 
 
Peter_Jackson/LQ5bZCXxWIQ_0000001 09.3 18.3 
Peter_Jackson/LQ5bZCXxWIQ_0000002 18.8 29.7 
Peter_Jackson/LQ5bZCXxWIQ_0000003 43.5 48.6 
Peter_Jackson/LQ5bZCXxWIQ_0000004 49.2 53.8 
Peter_Jackson/LQ5bZCXxWIQ_0000005 55.0 65.0 
Peter_Jackson/LQ5bZCXxWIQ_0000006 69.1 87.8 
Peter_Jackson/LQ5bZCXxWIQ_0000007 88.6 93.6 
Peter_Jackson/LQ5bZCXxWIQ_0000008 101.0 105.6 
Peter_Jackson/LQ5bZCXxWIQ_0000009 106.4 124.2 
Peter_Jackson/LQ5bZCXxWIQ_0000010 125.0 131.0 
Peter_Jackson/LQ5bZCXxWIQ_0000011 147.3 152.5 
Peter_Jackson/LQ5bZCXxWIQ_0000012 153.2 160.6 
Peter_Jackson/LQ5bZCXxWIQ_0000013 160.8 177.5 
Peter_Jackson/LQ5bZCXxWIQ_0000014 192.3 196.6 
Peter_Jackson/LQ5bZCXxWIQ_0000015 202.6 218.5 
Peter_Jackson/LQ5bZCXxWIQ_0000016 230.5 239.4 
Peter_Jackson/LQ5bZCXxWIQ_0000017 250.6 278.6 
Peter_Jackson/LQ5bZCXxWIQ_0000018 292.2 300.8 
Peter_Jackson/LQ5bZCXxWIQ_0000019 304.8 309.6 
Peter_Jackson/LQ5bZCXxWIQ_0000020 311.2 320.0 
