POI: 			Peter_Jackson 
Youtube ID: 	ETDT0kqfjfA 
Video length: 	2526.9 sec 
Set (V): 		dev 
 
Peter_Jackson/ETDT0kqfjfA_0000001 26.4 31.0 
Peter_Jackson/ETDT0kqfjfA_0000002 33.0 46.1 
Peter_Jackson/ETDT0kqfjfA_0000003 48.4 58.4 
Peter_Jackson/ETDT0kqfjfA_0000004 79.0 90.6 
Peter_Jackson/ETDT0kqfjfA_0000005 95.9 114.3 
Peter_Jackson/ETDT0kqfjfA_0000006 122.7 146.2 
Peter_Jackson/ETDT0kqfjfA_0000007 156.3 170.4 
Peter_Jackson/ETDT0kqfjfA_0000008 194.6 202.5 
Peter_Jackson/ETDT0kqfjfA_0000009 213.6 241.5 
Peter_Jackson/ETDT0kqfjfA_0000010 273.6 278.8 
Peter_Jackson/ETDT0kqfjfA_0000011 283.5 305.8 
Peter_Jackson/ETDT0kqfjfA_0000012 306.8 312.3 
Peter_Jackson/ETDT0kqfjfA_0000013 336.8 345.7 
Peter_Jackson/ETDT0kqfjfA_0000014 345.8 350.4 
Peter_Jackson/ETDT0kqfjfA_0000015 351.3 362.6 
Peter_Jackson/ETDT0kqfjfA_0000016 402.6 406.8 
Peter_Jackson/ETDT0kqfjfA_0000017 407.2 411.4 
Peter_Jackson/ETDT0kqfjfA_0000018 419.4 424.3 
Peter_Jackson/ETDT0kqfjfA_0000019 426.1 436.6 
Peter_Jackson/ETDT0kqfjfA_0000020 477.6 512.2 
Peter_Jackson/ETDT0kqfjfA_0000021 525.1 537.0 
Peter_Jackson/ETDT0kqfjfA_0000022 541.6 548.2 
Peter_Jackson/ETDT0kqfjfA_0000023 549.2 571.7 
Peter_Jackson/ETDT0kqfjfA_0000024 587.0 591.2 
Peter_Jackson/ETDT0kqfjfA_0000025 593.4 598.2 
Peter_Jackson/ETDT0kqfjfA_0000026 599.0 611.2 
Peter_Jackson/ETDT0kqfjfA_0000027 613.5 619.2 
Peter_Jackson/ETDT0kqfjfA_0000028 645.0 654.4 
Peter_Jackson/ETDT0kqfjfA_0000029 658.9 667.2 
Peter_Jackson/ETDT0kqfjfA_0000030 683.7 689.2 
Peter_Jackson/ETDT0kqfjfA_0000031 691.6 699.9 
Peter_Jackson/ETDT0kqfjfA_0000032 703.5 707.6 
Peter_Jackson/ETDT0kqfjfA_0000033 755.4 764.3 
Peter_Jackson/ETDT0kqfjfA_0000034 764.6 776.4 
Peter_Jackson/ETDT0kqfjfA_0000035 781.0 787.8 
Peter_Jackson/ETDT0kqfjfA_0000036 797.0 809.4 
Peter_Jackson/ETDT0kqfjfA_0000037 809.6 837.2 
Peter_Jackson/ETDT0kqfjfA_0000038 845.6 851.1 
Peter_Jackson/ETDT0kqfjfA_0000039 852.1 863.4 
Peter_Jackson/ETDT0kqfjfA_0000040 894.9 898.9 
Peter_Jackson/ETDT0kqfjfA_0000041 904.4 919.6 
Peter_Jackson/ETDT0kqfjfA_0000042 922.5 930.6 
Peter_Jackson/ETDT0kqfjfA_0000043 937.1 956.8 
Peter_Jackson/ETDT0kqfjfA_0000044 957.8 970.1 
Peter_Jackson/ETDT0kqfjfA_0000045 971.6 979.7 
Peter_Jackson/ETDT0kqfjfA_0000046 991.2 1000.2 
Peter_Jackson/ETDT0kqfjfA_0000047 1038.0 1042.7 
