POI: 			Peter_Jackson 
Youtube ID: 	5Q51QDWz50g 
Video length: 	606.0 sec 
Set (V): 		dev 
 
Peter_Jackson/5Q51QDWz50g_0000001 21.6 26.0 
Peter_Jackson/5Q51QDWz50g_0000002 36.0 40.0 
Peter_Jackson/5Q51QDWz50g_0000003 47.0 52.0 
Peter_Jackson/5Q51QDWz50g_0000004 55.0 62.4 
Peter_Jackson/5Q51QDWz50g_0000005 75.8 81.0 
Peter_Jackson/5Q51QDWz50g_0000006 85.2 91.4 
Peter_Jackson/5Q51QDWz50g_0000007 106.9 112.6 
Peter_Jackson/5Q51QDWz50g_0000008 140.5 146.3 
Peter_Jackson/5Q51QDWz50g_0000009 153.2 160.8 
Peter_Jackson/5Q51QDWz50g_0000010 184.0 191.5 
Peter_Jackson/5Q51QDWz50g_0000011 217.5 224.4 
Peter_Jackson/5Q51QDWz50g_0000012 241.5 250.0 
Peter_Jackson/5Q51QDWz50g_0000013 266.9 273.2 
Peter_Jackson/5Q51QDWz50g_0000014 278.8 285.8 
Peter_Jackson/5Q51QDWz50g_0000015 296.5 301.6 
Peter_Jackson/5Q51QDWz50g_0000016 306.7 310.7 
Peter_Jackson/5Q51QDWz50g_0000017 364.4 371.0 
Peter_Jackson/5Q51QDWz50g_0000018 381.8 386.0 
Peter_Jackson/5Q51QDWz50g_0000019 386.6 392.1 
Peter_Jackson/5Q51QDWz50g_0000020 427.5 432.9 
Peter_Jackson/5Q51QDWz50g_0000021 433.7 439.3 
Peter_Jackson/5Q51QDWz50g_0000022 443.9 450.4 
Peter_Jackson/5Q51QDWz50g_0000023 502.4 517.4 
Peter_Jackson/5Q51QDWz50g_0000024 530.5 534.7 
Peter_Jackson/5Q51QDWz50g_0000025 550.0 555.8 
Peter_Jackson/5Q51QDWz50g_0000026 558.4 572.9 
Peter_Jackson/5Q51QDWz50g_0000027 574.1 578.5 
