POI: 			Riz_Ahmed 
Youtube ID: 	HYix__TaweM 
Video length: 	2214.0 sec 
Set (V): 		dev 
 
Riz_Ahmed/HYix__TaweM_0000001 81.8 89.1 
Riz_Ahmed/HYix__TaweM_0000002 106.0 110.4 
Riz_Ahmed/HYix__TaweM_0000003 113.9 119.4 
Riz_Ahmed/HYix__TaweM_0000004 125.1 129.9 
Riz_Ahmed/HYix__TaweM_0000005 134.0 138.7 
Riz_Ahmed/HYix__TaweM_0000006 159.0 163.1 
Riz_Ahmed/HYix__TaweM_0000007 179.5 184.4 
Riz_Ahmed/HYix__TaweM_0000008 185.1 192.1 
Riz_Ahmed/HYix__TaweM_0000009 243.0 247.5 
Riz_Ahmed/HYix__TaweM_0000010 254.9 260.4 
Riz_Ahmed/HYix__TaweM_0000011 268.8 278.6 
Riz_Ahmed/HYix__TaweM_0000012 279.5 283.7 
Riz_Ahmed/HYix__TaweM_0000013 293.3 307.2 
Riz_Ahmed/HYix__TaweM_0000014 309.9 315.4 
Riz_Ahmed/HYix__TaweM_0000015 365.7 374.8 
Riz_Ahmed/HYix__TaweM_0000016 425.6 435.9 
Riz_Ahmed/HYix__TaweM_0000017 436.4 443.2 
Riz_Ahmed/HYix__TaweM_0000018 478.7 483.6 
Riz_Ahmed/HYix__TaweM_0000019 486.4 495.3 
Riz_Ahmed/HYix__TaweM_0000020 517.2 522.6 
Riz_Ahmed/HYix__TaweM_0000021 522.8 529.8 
Riz_Ahmed/HYix__TaweM_0000022 530.2 539.6 
Riz_Ahmed/HYix__TaweM_0000023 539.9 548.4 
Riz_Ahmed/HYix__TaweM_0000024 570.7 582.0 
Riz_Ahmed/HYix__TaweM_0000025 629.2 637.6 
Riz_Ahmed/HYix__TaweM_0000026 640.7 647.5 
Riz_Ahmed/HYix__TaweM_0000027 678.2 700.6 
Riz_Ahmed/HYix__TaweM_0000028 716.7 722.5 
Riz_Ahmed/HYix__TaweM_0000029 726.8 731.2 
Riz_Ahmed/HYix__TaweM_0000030 732.2 736.4 
Riz_Ahmed/HYix__TaweM_0000031 777.5 788.3 
Riz_Ahmed/HYix__TaweM_0000032 816.2 821.0 
Riz_Ahmed/HYix__TaweM_0000033 823.5 847.8 
Riz_Ahmed/HYix__TaweM_0000034 861.4 869.0 
Riz_Ahmed/HYix__TaweM_0000035 870.9 875.9 
Riz_Ahmed/HYix__TaweM_0000036 891.2 895.5 
Riz_Ahmed/HYix__TaweM_0000037 898.9 904.5 
Riz_Ahmed/HYix__TaweM_0000038 906.6 918.8 
Riz_Ahmed/HYix__TaweM_0000039 919.3 925.4 
Riz_Ahmed/HYix__TaweM_0000040 942.0 947.7 
Riz_Ahmed/HYix__TaweM_0000041 948.3 953.6 
Riz_Ahmed/HYix__TaweM_0000042 999.2 1015.5 
Riz_Ahmed/HYix__TaweM_0000043 1018.4 1024.5 
Riz_Ahmed/HYix__TaweM_0000044 1042.4 1050.7 
Riz_Ahmed/HYix__TaweM_0000045 1052.8 1068.6 
Riz_Ahmed/HYix__TaweM_0000046 1069.1 1088.2 
Riz_Ahmed/HYix__TaweM_0000047 1141.8 1147.5 
Riz_Ahmed/HYix__TaweM_0000048 1154.0 1159.8 
Riz_Ahmed/HYix__TaweM_0000049 1160.7 1184.0 
Riz_Ahmed/HYix__TaweM_0000050 1208.0 1217.6 
Riz_Ahmed/HYix__TaweM_0000051 1219.7 1223.7 
Riz_Ahmed/HYix__TaweM_0000052 1255.2 1259.3 
Riz_Ahmed/HYix__TaweM_0000053 1301.2 1312.4 
Riz_Ahmed/HYix__TaweM_0000054 1313.2 1323.6 
Riz_Ahmed/HYix__TaweM_0000055 1361.8 1367.8 
Riz_Ahmed/HYix__TaweM_0000056 1373.5 1377.4 
Riz_Ahmed/HYix__TaweM_0000057 1389.8 1394.4 
Riz_Ahmed/HYix__TaweM_0000058 1422.0 1439.6 
Riz_Ahmed/HYix__TaweM_0000059 1452.4 1462.2 
Riz_Ahmed/HYix__TaweM_0000060 1472.7 1476.7 
