POI: 			Idina_Menzel 
Youtube ID: 	m5-lh8k3Y4M 
Video length: 	603.1 sec 
Set (V): 		dev 
 
Idina_Menzel/m5-lh8k3Y4M_0000001 21.8 26.3 
Idina_Menzel/m5-lh8k3Y4M_0000002 40.2 50.2 
Idina_Menzel/m5-lh8k3Y4M_0000003 61.4 68.4 
Idina_Menzel/m5-lh8k3Y4M_0000004 69.4 74.0 
Idina_Menzel/m5-lh8k3Y4M_0000005 75.3 79.3 
Idina_Menzel/m5-lh8k3Y4M_0000006 79.4 84.5 
Idina_Menzel/m5-lh8k3Y4M_0000007 132.0 138.3 
Idina_Menzel/m5-lh8k3Y4M_0000008 139.0 146.0 
Idina_Menzel/m5-lh8k3Y4M_0000009 157.5 162.8 
Idina_Menzel/m5-lh8k3Y4M_0000010 162.9 169.3 
Idina_Menzel/m5-lh8k3Y4M_0000011 178.6 184.5 
Idina_Menzel/m5-lh8k3Y4M_0000012 198.0 202.9 
Idina_Menzel/m5-lh8k3Y4M_0000013 239.0 244.6 
Idina_Menzel/m5-lh8k3Y4M_0000014 248.9 253.1 
Idina_Menzel/m5-lh8k3Y4M_0000015 256.8 265.5 
Idina_Menzel/m5-lh8k3Y4M_0000016 296.0 303.4 
Idina_Menzel/m5-lh8k3Y4M_0000017 304.4 324.8 
Idina_Menzel/m5-lh8k3Y4M_0000018 366.4 371.2 
Idina_Menzel/m5-lh8k3Y4M_0000019 392.6 398.9 
Idina_Menzel/m5-lh8k3Y4M_0000020 400.4 404.6 
Idina_Menzel/m5-lh8k3Y4M_0000021 408.9 416.2 
Idina_Menzel/m5-lh8k3Y4M_0000022 417.2 428.9 
Idina_Menzel/m5-lh8k3Y4M_0000023 429.8 433.9 
Idina_Menzel/m5-lh8k3Y4M_0000024 447.3 453.4 
Idina_Menzel/m5-lh8k3Y4M_0000025 460.3 469.6 
Idina_Menzel/m5-lh8k3Y4M_0000026 469.8 481.7 
Idina_Menzel/m5-lh8k3Y4M_0000027 524.3 529.8 
Idina_Menzel/m5-lh8k3Y4M_0000028 530.4 537.8 
Idina_Menzel/m5-lh8k3Y4M_0000029 538.9 556.8 
Idina_Menzel/m5-lh8k3Y4M_0000030 561.4 569.8 
Idina_Menzel/m5-lh8k3Y4M_0000031 572.4 585.4 
Idina_Menzel/m5-lh8k3Y4M_0000032 592.1 601.6 
