POI: 			Cote_de_Pablo 
Youtube ID: 	dzxjJoRMpVw 
Video length: 	879.2 sec 
Set (V): 		dev 
 
Cote_de_Pablo/dzxjJoRMpVw_0000001 07.3 11.8 
Cote_de_Pablo/dzxjJoRMpVw_0000002 17.7 22.3 
Cote_de_Pablo/dzxjJoRMpVw_0000003 51.2 56.8 
Cote_de_Pablo/dzxjJoRMpVw_0000004 57.0 63.0 
Cote_de_Pablo/dzxjJoRMpVw_0000005 64.0 70.4 
Cote_de_Pablo/dzxjJoRMpVw_0000006 74.9 80.8 
Cote_de_Pablo/dzxjJoRMpVw_0000007 84.3 89.8 
Cote_de_Pablo/dzxjJoRMpVw_0000008 105.4 109.4 
Cote_de_Pablo/dzxjJoRMpVw_0000009 139.2 145.4 
Cote_de_Pablo/dzxjJoRMpVw_0000010 146.4 152.4 
Cote_de_Pablo/dzxjJoRMpVw_0000011 153.3 157.6 
Cote_de_Pablo/dzxjJoRMpVw_0000012 158.1 175.4 
Cote_de_Pablo/dzxjJoRMpVw_0000013 178.7 183.8 
Cote_de_Pablo/dzxjJoRMpVw_0000014 190.3 195.0 
Cote_de_Pablo/dzxjJoRMpVw_0000015 195.1 203.8 
Cote_de_Pablo/dzxjJoRMpVw_0000016 205.5 211.6 
Cote_de_Pablo/dzxjJoRMpVw_0000017 238.6 244.0 
Cote_de_Pablo/dzxjJoRMpVw_0000018 244.4 249.6 
Cote_de_Pablo/dzxjJoRMpVw_0000019 252.4 258.4 
Cote_de_Pablo/dzxjJoRMpVw_0000020 274.2 279.6 
Cote_de_Pablo/dzxjJoRMpVw_0000021 282.8 297.0 
Cote_de_Pablo/dzxjJoRMpVw_0000022 297.4 301.8 
Cote_de_Pablo/dzxjJoRMpVw_0000023 303.4 309.6 
Cote_de_Pablo/dzxjJoRMpVw_0000024 314.8 329.1 
Cote_de_Pablo/dzxjJoRMpVw_0000025 331.0 335.2 
Cote_de_Pablo/dzxjJoRMpVw_0000026 343.8 347.9 
Cote_de_Pablo/dzxjJoRMpVw_0000027 351.6 366.0 
Cote_de_Pablo/dzxjJoRMpVw_0000028 372.3 379.2 
Cote_de_Pablo/dzxjJoRMpVw_0000029 379.6 386.2 
Cote_de_Pablo/dzxjJoRMpVw_0000030 387.6 400.8 
Cote_de_Pablo/dzxjJoRMpVw_0000031 401.4 408.7 
Cote_de_Pablo/dzxjJoRMpVw_0000032 411.2 424.5 
Cote_de_Pablo/dzxjJoRMpVw_0000033 436.7 448.8 
Cote_de_Pablo/dzxjJoRMpVw_0000034 449.2 453.4 
Cote_de_Pablo/dzxjJoRMpVw_0000035 454.3 458.6 
Cote_de_Pablo/dzxjJoRMpVw_0000036 462.0 467.4 
Cote_de_Pablo/dzxjJoRMpVw_0000037 470.9 475.0 
Cote_de_Pablo/dzxjJoRMpVw_0000038 475.0 481.8 
Cote_de_Pablo/dzxjJoRMpVw_0000039 488.0 503.2 
Cote_de_Pablo/dzxjJoRMpVw_0000040 508.4 514.8 
Cote_de_Pablo/dzxjJoRMpVw_0000041 495.9 503.2 
Cote_de_Pablo/dzxjJoRMpVw_0000042 504.3 508.2 
Cote_de_Pablo/dzxjJoRMpVw_0000043 559.4 587.3 
Cote_de_Pablo/dzxjJoRMpVw_0000044 590.5 602.4 
Cote_de_Pablo/dzxjJoRMpVw_0000045 603.8 623.4 
Cote_de_Pablo/dzxjJoRMpVw_0000046 624.8 630.8 
Cote_de_Pablo/dzxjJoRMpVw_0000047 632.4 636.4 
Cote_de_Pablo/dzxjJoRMpVw_0000048 637.4 645.7 
Cote_de_Pablo/dzxjJoRMpVw_0000049 665.1 673.6 
Cote_de_Pablo/dzxjJoRMpVw_0000050 685.5 692.4 
Cote_de_Pablo/dzxjJoRMpVw_0000051 709.3 717.0 
Cote_de_Pablo/dzxjJoRMpVw_0000052 719.5 736.6 
Cote_de_Pablo/dzxjJoRMpVw_0000053 740.9 745.9 
Cote_de_Pablo/dzxjJoRMpVw_0000054 750.9 771.1 
Cote_de_Pablo/dzxjJoRMpVw_0000055 772.2 788.8 
Cote_de_Pablo/dzxjJoRMpVw_0000056 800.0 805.0 
Cote_de_Pablo/dzxjJoRMpVw_0000057 801.3 807.0 
Cote_de_Pablo/dzxjJoRMpVw_0000058 807.9 815.6 
Cote_de_Pablo/dzxjJoRMpVw_0000059 816.8 826.8 
Cote_de_Pablo/dzxjJoRMpVw_0000060 828.8 842.6 
Cote_de_Pablo/dzxjJoRMpVw_0000061 850.9 858.4 
Cote_de_Pablo/dzxjJoRMpVw_0000062 858.5 862.9 
Cote_de_Pablo/dzxjJoRMpVw_0000063 864.4 869.9 
Cote_de_Pablo/dzxjJoRMpVw_0000064 812.3 827.4 
