POI: 			Simon_Callow 
Youtube ID: 	Z4M-Z0AYee8 
Video length: 	1717.9 sec 
Set (V): 		dev 
 
Simon_Callow/Z4M-Z0AYee8_0000001 40.3 48.1 
Simon_Callow/Z4M-Z0AYee8_0000002 48.4 70.3 
Simon_Callow/Z4M-Z0AYee8_0000003 74.9 121.3 
Simon_Callow/Z4M-Z0AYee8_0000004 121.9 128.3 
Simon_Callow/Z4M-Z0AYee8_0000005 121.8 134.6 
Simon_Callow/Z4M-Z0AYee8_0000006 148.0 152.2 
Simon_Callow/Z4M-Z0AYee8_0000007 152.4 164.8 
Simon_Callow/Z4M-Z0AYee8_0000008 171.7 179.2 
Simon_Callow/Z4M-Z0AYee8_0000009 189.4 193.4 
Simon_Callow/Z4M-Z0AYee8_0000010 195.8 199.9 
Simon_Callow/Z4M-Z0AYee8_0000011 205.3 229.0 
Simon_Callow/Z4M-Z0AYee8_0000012 243.9 248.0 
Simon_Callow/Z4M-Z0AYee8_0000013 248.5 254.8 
Simon_Callow/Z4M-Z0AYee8_0000014 254.9 261.3 
Simon_Callow/Z4M-Z0AYee8_0000015 268.3 275.8 
Simon_Callow/Z4M-Z0AYee8_0000016 279.0 290.2 
Simon_Callow/Z4M-Z0AYee8_0000017 343.5 363.8 
Simon_Callow/Z4M-Z0AYee8_0000018 372.7 390.4 
Simon_Callow/Z4M-Z0AYee8_0000019 390.8 396.3 
Simon_Callow/Z4M-Z0AYee8_0000020 397.3 412.2 
Simon_Callow/Z4M-Z0AYee8_0000021 418.0 428.4 
Simon_Callow/Z4M-Z0AYee8_0000022 428.8 435.0 
Simon_Callow/Z4M-Z0AYee8_0000023 436.5 446.5 
Simon_Callow/Z4M-Z0AYee8_0000024 451.0 455.9 
Simon_Callow/Z4M-Z0AYee8_0000025 435.8 446.4 
Simon_Callow/Z4M-Z0AYee8_0000026 469.1 475.4 
Simon_Callow/Z4M-Z0AYee8_0000027 480.1 489.6 
Simon_Callow/Z4M-Z0AYee8_0000028 489.8 499.2 
Simon_Callow/Z4M-Z0AYee8_0000029 508.0 512.8 
Simon_Callow/Z4M-Z0AYee8_0000030 518.6 523.1 
Simon_Callow/Z4M-Z0AYee8_0000031 526.3 547.2 
Simon_Callow/Z4M-Z0AYee8_0000032 537.4 556.0 
Simon_Callow/Z4M-Z0AYee8_0000033 570.3 587.9 
Simon_Callow/Z4M-Z0AYee8_0000034 592.1 601.4 
Simon_Callow/Z4M-Z0AYee8_0000035 603.1 622.2 
Simon_Callow/Z4M-Z0AYee8_0000036 622.6 642.0 
Simon_Callow/Z4M-Z0AYee8_0000037 669.4 678.4 
Simon_Callow/Z4M-Z0AYee8_0000038 678.6 688.0 
Simon_Callow/Z4M-Z0AYee8_0000039 688.7 703.5 
Simon_Callow/Z4M-Z0AYee8_0000040 703.9 715.1 
Simon_Callow/Z4M-Z0AYee8_0000041 722.9 733.6 
Simon_Callow/Z4M-Z0AYee8_0000042 737.9 743.2 
Simon_Callow/Z4M-Z0AYee8_0000043 738.8 746.3 
Simon_Callow/Z4M-Z0AYee8_0000044 748.6 757.6 
Simon_Callow/Z4M-Z0AYee8_0000045 758.4 762.6 
Simon_Callow/Z4M-Z0AYee8_0000046 797.1 803.2 
Simon_Callow/Z4M-Z0AYee8_0000047 803.8 809.8 
Simon_Callow/Z4M-Z0AYee8_0000048 828.0 844.0 
Simon_Callow/Z4M-Z0AYee8_0000049 829.8 838.9 
Simon_Callow/Z4M-Z0AYee8_0000050 873.4 879.4 
Simon_Callow/Z4M-Z0AYee8_0000051 881.2 886.2 
Simon_Callow/Z4M-Z0AYee8_0000052 886.6 898.6 
Simon_Callow/Z4M-Z0AYee8_0000053 921.5 939.5 
Simon_Callow/Z4M-Z0AYee8_0000054 943.2 949.2 
Simon_Callow/Z4M-Z0AYee8_0000055 949.8 958.7 
Simon_Callow/Z4M-Z0AYee8_0000056 967.9 995.2 
Simon_Callow/Z4M-Z0AYee8_0000057 995.5 1001.0 
Simon_Callow/Z4M-Z0AYee8_0000058 1027.6 1052.7 
Simon_Callow/Z4M-Z0AYee8_0000059 1060.0 1067.1 
Simon_Callow/Z4M-Z0AYee8_0000060 1078.3 1093.0 
Simon_Callow/Z4M-Z0AYee8_0000061 1097.3 1103.1 
Simon_Callow/Z4M-Z0AYee8_0000062 1110.3 1119.1 
Simon_Callow/Z4M-Z0AYee8_0000063 1119.2 1126.6 
Simon_Callow/Z4M-Z0AYee8_0000064 1139.7 1150.7 
Simon_Callow/Z4M-Z0AYee8_0000065 1147.8 1153.6 
Simon_Callow/Z4M-Z0AYee8_0000066 1173.6 1181.6 
Simon_Callow/Z4M-Z0AYee8_0000067 1183.6 1188.4 
Simon_Callow/Z4M-Z0AYee8_0000068 1188.6 1203.4 
Simon_Callow/Z4M-Z0AYee8_0000069 1214.1 1223.2 
Simon_Callow/Z4M-Z0AYee8_0000070 1223.7 1234.8 
Simon_Callow/Z4M-Z0AYee8_0000071 1247.8 1253.3 
Simon_Callow/Z4M-Z0AYee8_0000072 1258.0 1263.0 
Simon_Callow/Z4M-Z0AYee8_0000073 1272.3 1279.4 
Simon_Callow/Z4M-Z0AYee8_0000074 1308.4 1316.4 
Simon_Callow/Z4M-Z0AYee8_0000075 1351.3 1356.6 
Simon_Callow/Z4M-Z0AYee8_0000076 1363.1 1374.1 
Simon_Callow/Z4M-Z0AYee8_0000077 1374.2 1384.3 
Simon_Callow/Z4M-Z0AYee8_0000078 1385.5 1389.7 
Simon_Callow/Z4M-Z0AYee8_0000079 1395.1 1401.5 
Simon_Callow/Z4M-Z0AYee8_0000080 1402.2 1410.1 
Simon_Callow/Z4M-Z0AYee8_0000081 1412.3 1418.6 
Simon_Callow/Z4M-Z0AYee8_0000082 1423.2 1432.6 
Simon_Callow/Z4M-Z0AYee8_0000083 1433.1 1437.5 
Simon_Callow/Z4M-Z0AYee8_0000084 1443.5 1448.8 
Simon_Callow/Z4M-Z0AYee8_0000085 1451.5 1457.6 
Simon_Callow/Z4M-Z0AYee8_0000086 1460.8 1464.8 
Simon_Callow/Z4M-Z0AYee8_0000087 1466.1 1476.5 
Simon_Callow/Z4M-Z0AYee8_0000088 1483.7 1491.2 
Simon_Callow/Z4M-Z0AYee8_0000089 1500.6 1509.5 
Simon_Callow/Z4M-Z0AYee8_0000090 1512.8 1526.9 
Simon_Callow/Z4M-Z0AYee8_0000091 1537.7 1546.7 
Simon_Callow/Z4M-Z0AYee8_0000092 1555.1 1568.1 
Simon_Callow/Z4M-Z0AYee8_0000093 1576.6 1586.0 
Simon_Callow/Z4M-Z0AYee8_0000094 1588.6 1600.0 
