POI: 			Kelli_Berglund 
Youtube ID: 	OxsvClqjWbo 
Video length: 	809.3 sec 
Set (V): 		dev 
 
Kelli_Berglund/OxsvClqjWbo_0000001 95.2 114.5 
Kelli_Berglund/OxsvClqjWbo_0000002 115.2 135.1 
Kelli_Berglund/OxsvClqjWbo_0000003 141.3 151.6 
Kelli_Berglund/OxsvClqjWbo_0000004 158.2 165.5 
Kelli_Berglund/OxsvClqjWbo_0000005 169.0 173.7 
Kelli_Berglund/OxsvClqjWbo_0000006 194.1 218.3 
Kelli_Berglund/OxsvClqjWbo_0000007 218.6 225.6 
Kelli_Berglund/OxsvClqjWbo_0000008 226.4 236.4 
Kelli_Berglund/OxsvClqjWbo_0000009 257.3 268.7 
Kelli_Berglund/OxsvClqjWbo_0000010 283.5 288.8 
Kelli_Berglund/OxsvClqjWbo_0000011 313.7 319.3 
Kelli_Berglund/OxsvClqjWbo_0000012 337.6 341.8 
Kelli_Berglund/OxsvClqjWbo_0000013 342.8 358.9 
Kelli_Berglund/OxsvClqjWbo_0000014 359.4 368.6 
Kelli_Berglund/OxsvClqjWbo_0000015 377.3 388.5 
Kelli_Berglund/OxsvClqjWbo_0000016 389.0 394.7 
Kelli_Berglund/OxsvClqjWbo_0000017 395.4 410.2 
Kelli_Berglund/OxsvClqjWbo_0000018 443.1 448.0 
Kelli_Berglund/OxsvClqjWbo_0000019 448.2 458.6 
Kelli_Berglund/OxsvClqjWbo_0000020 524.1 530.7 
Kelli_Berglund/OxsvClqjWbo_0000021 532.0 545.8 
Kelli_Berglund/OxsvClqjWbo_0000022 546.0 551.2 
Kelli_Berglund/OxsvClqjWbo_0000023 552.0 566.0 
Kelli_Berglund/OxsvClqjWbo_0000024 567.7 583.1 
Kelli_Berglund/OxsvClqjWbo_0000025 583.3 589.0 
Kelli_Berglund/OxsvClqjWbo_0000026 615.4 647.2 
Kelli_Berglund/OxsvClqjWbo_0000027 652.0 657.1 
Kelli_Berglund/OxsvClqjWbo_0000028 664.8 669.7 
Kelli_Berglund/OxsvClqjWbo_0000029 724.0 736.2 
