POI: 			Kelli_Berglund 
Youtube ID: 	QmvtiMnRaQ4 
Video length: 	320.7 sec 
Set (V): 		dev 
 
Kelli_Berglund/QmvtiMnRaQ4_0000001 07.2 12.1 
Kelli_Berglund/QmvtiMnRaQ4_0000002 13.2 23.3 
Kelli_Berglund/QmvtiMnRaQ4_0000003 25.6 30.2 
Kelli_Berglund/QmvtiMnRaQ4_0000004 46.1 50.8 
Kelli_Berglund/QmvtiMnRaQ4_0000005 38.4 50.8 
Kelli_Berglund/QmvtiMnRaQ4_0000006 63.4 68.6 
Kelli_Berglund/QmvtiMnRaQ4_0000007 82.1 92.2 
Kelli_Berglund/QmvtiMnRaQ4_0000008 97.5 102.4 
Kelli_Berglund/QmvtiMnRaQ4_0000009 106.1 112.4 
Kelli_Berglund/QmvtiMnRaQ4_0000010 112.6 116.9 
Kelli_Berglund/QmvtiMnRaQ4_0000011 117.8 134.4 
Kelli_Berglund/QmvtiMnRaQ4_0000012 142.6 147.8 
Kelli_Berglund/QmvtiMnRaQ4_0000013 153.5 162.0 
Kelli_Berglund/QmvtiMnRaQ4_0000014 174.1 179.1 
Kelli_Berglund/QmvtiMnRaQ4_0000015 183.4 192.9 
Kelli_Berglund/QmvtiMnRaQ4_0000016 194.3 204.3 
Kelli_Berglund/QmvtiMnRaQ4_0000017 212.2 217.0 
Kelli_Berglund/QmvtiMnRaQ4_0000018 217.2 232.2 
Kelli_Berglund/QmvtiMnRaQ4_0000019 216.1 230.8 
Kelli_Berglund/QmvtiMnRaQ4_0000020 235.0 243.3 
Kelli_Berglund/QmvtiMnRaQ4_0000021 290.2 295.2 
