POI: 			Kelli_Berglund 
Youtube ID: 	ihBB7_GYohM 
Video length: 	284.1 sec 
Set (V): 		dev 
 
Kelli_Berglund/ihBB7_GYohM_0000001 02.2 13.1 
Kelli_Berglund/ihBB7_GYohM_0000002 13.7 18.0 
Kelli_Berglund/ihBB7_GYohM_0000003 27.0 33.3 
Kelli_Berglund/ihBB7_GYohM_0000004 34.4 54.9 
Kelli_Berglund/ihBB7_GYohM_0000005 55.2 65.7 
Kelli_Berglund/ihBB7_GYohM_0000006 74.7 86.2 
Kelli_Berglund/ihBB7_GYohM_0000007 86.9 92.3 
Kelli_Berglund/ihBB7_GYohM_0000008 94.6 99.9 
Kelli_Berglund/ihBB7_GYohM_0000009 109.4 114.0 
Kelli_Berglund/ihBB7_GYohM_0000010 124.0 139.4 
Kelli_Berglund/ihBB7_GYohM_0000011 145.6 163.0 
Kelli_Berglund/ihBB7_GYohM_0000012 163.6 167.9 
Kelli_Berglund/ihBB7_GYohM_0000013 179.0 187.5 
Kelli_Berglund/ihBB7_GYohM_0000014 189.5 207.2 
Kelli_Berglund/ihBB7_GYohM_0000015 208.2 213.2 
Kelli_Berglund/ihBB7_GYohM_0000016 213.6 230.0 
Kelli_Berglund/ihBB7_GYohM_0000017 230.4 234.4 
Kelli_Berglund/ihBB7_GYohM_0000018 241.8 259.5 
Kelli_Berglund/ihBB7_GYohM_0000019 260.3 267.4 
Kelli_Berglund/ihBB7_GYohM_0000020 269.0 275.9 
Kelli_Berglund/ihBB7_GYohM_0000021 276.4 281.6 
