POI: 			Cierra_Ramirez 
Youtube ID: 	6eMViDDEk5c 
Video length: 	359.1 sec 
Set (V): 		dev 
 
Cierra_Ramirez/6eMViDDEk5c_0000001 29.9 42.7 
Cierra_Ramirez/6eMViDDEk5c_0000002 55.5 61.3 
Cierra_Ramirez/6eMViDDEk5c_0000003 66.3 71.6 
Cierra_Ramirez/6eMViDDEk5c_0000004 72.6 79.5 
Cierra_Ramirez/6eMViDDEk5c_0000005 98.8 102.8 
Cierra_Ramirez/6eMViDDEk5c_0000006 103.6 107.7 
Cierra_Ramirez/6eMViDDEk5c_0000007 120.3 128.6 
Cierra_Ramirez/6eMViDDEk5c_0000008 183.0 193.7 
Cierra_Ramirez/6eMViDDEk5c_0000009 195.6 201.4 
Cierra_Ramirez/6eMViDDEk5c_0000010 224.9 231.4 
Cierra_Ramirez/6eMViDDEk5c_0000011 234.0 238.9 
Cierra_Ramirez/6eMViDDEk5c_0000012 239.1 243.4 
Cierra_Ramirez/6eMViDDEk5c_0000013 251.3 256.8 
Cierra_Ramirez/6eMViDDEk5c_0000014 268.9 273.1 
Cierra_Ramirez/6eMViDDEk5c_0000015 278.3 290.0 
Cierra_Ramirez/6eMViDDEk5c_0000016 301.5 305.7 
Cierra_Ramirez/6eMViDDEk5c_0000017 306.4 314.4 
Cierra_Ramirez/6eMViDDEk5c_0000018 342.0 346.6 
