POI: 			Dr._Dre 
Youtube ID: 	DOsLMpphQ_M 
Video length: 	1825.0 sec 
Set (V): 		dev 
 
Dr._Dre/DOsLMpphQ_M_0000001 30.2 37.0 
Dr._Dre/DOsLMpphQ_M_0000002 37.9 42.7 
Dr._Dre/DOsLMpphQ_M_0000003 109.8 114.3 
Dr._Dre/DOsLMpphQ_M_0000004 115.0 121.2 
Dr._Dre/DOsLMpphQ_M_0000005 263.9 270.7 
Dr._Dre/DOsLMpphQ_M_0000006 348.2 357.0 
Dr._Dre/DOsLMpphQ_M_0000007 384.7 389.1 
Dr._Dre/DOsLMpphQ_M_0000008 389.4 393.8 
Dr._Dre/DOsLMpphQ_M_0000009 394.7 418.6 
Dr._Dre/DOsLMpphQ_M_0000010 418.9 424.6 
Dr._Dre/DOsLMpphQ_M_0000011 426.5 430.8 
Dr._Dre/DOsLMpphQ_M_0000012 433.6 448.4 
Dr._Dre/DOsLMpphQ_M_0000013 477.9 507.8 
Dr._Dre/DOsLMpphQ_M_0000014 525.7 532.4 
Dr._Dre/DOsLMpphQ_M_0000015 543.9 551.4 
Dr._Dre/DOsLMpphQ_M_0000016 646.0 658.4 
Dr._Dre/DOsLMpphQ_M_0000017 660.2 670.0 
Dr._Dre/DOsLMpphQ_M_0000018 676.3 681.0 
Dr._Dre/DOsLMpphQ_M_0000019 715.8 719.7 
Dr._Dre/DOsLMpphQ_M_0000020 719.8 725.4 
Dr._Dre/DOsLMpphQ_M_0000021 728.0 738.3 
Dr._Dre/DOsLMpphQ_M_0000022 762.2 766.8 
Dr._Dre/DOsLMpphQ_M_0000023 772.5 776.6 
Dr._Dre/DOsLMpphQ_M_0000024 781.9 787.3 
Dr._Dre/DOsLMpphQ_M_0000025 793.0 797.7 
Dr._Dre/DOsLMpphQ_M_0000026 797.9 809.8 
Dr._Dre/DOsLMpphQ_M_0000027 827.2 832.4 
Dr._Dre/DOsLMpphQ_M_0000028 889.0 893.1 
Dr._Dre/DOsLMpphQ_M_0000029 938.6 942.8 
Dr._Dre/DOsLMpphQ_M_0000030 1006.2 1012.0 
Dr._Dre/DOsLMpphQ_M_0000031 1012.9 1021.1 
Dr._Dre/DOsLMpphQ_M_0000032 1072.4 1084.6 
Dr._Dre/DOsLMpphQ_M_0000033 1084.6 1099.4 
Dr._Dre/DOsLMpphQ_M_0000034 1208.3 1212.4 
Dr._Dre/DOsLMpphQ_M_0000035 1212.7 1217.4 
Dr._Dre/DOsLMpphQ_M_0000036 1220.5 1232.5 
Dr._Dre/DOsLMpphQ_M_0000037 1232.9 1254.4 
Dr._Dre/DOsLMpphQ_M_0000038 1258.1 1262.7 
Dr._Dre/DOsLMpphQ_M_0000039 1277.1 1281.8 
Dr._Dre/DOsLMpphQ_M_0000040 1296.7 1308.7 
Dr._Dre/DOsLMpphQ_M_0000041 1327.3 1331.5 
Dr._Dre/DOsLMpphQ_M_0000042 1340.0 1347.7 
Dr._Dre/DOsLMpphQ_M_0000043 1348.7 1357.8 
Dr._Dre/DOsLMpphQ_M_0000044 1392.1 1397.4 
Dr._Dre/DOsLMpphQ_M_0000045 1411.6 1420.3 
Dr._Dre/DOsLMpphQ_M_0000046 1430.2 1438.8 
Dr._Dre/DOsLMpphQ_M_0000047 1442.9 1454.6 
Dr._Dre/DOsLMpphQ_M_0000048 1458.7 1463.3 
Dr._Dre/DOsLMpphQ_M_0000049 1525.6 1539.7 
Dr._Dre/DOsLMpphQ_M_0000050 1542.0 1546.8 
Dr._Dre/DOsLMpphQ_M_0000051 1584.8 1589.4 
Dr._Dre/DOsLMpphQ_M_0000052 1593.9 1607.9 
Dr._Dre/DOsLMpphQ_M_0000053 1637.8 1645.9 
Dr._Dre/DOsLMpphQ_M_0000054 1652.2 1676.1 
Dr._Dre/DOsLMpphQ_M_0000055 1677.6 1682.2 
Dr._Dre/DOsLMpphQ_M_0000056 1683.0 1690.8 
Dr._Dre/DOsLMpphQ_M_0000057 1713.1 1718.0 
Dr._Dre/DOsLMpphQ_M_0000058 1722.6 1740.3 
Dr._Dre/DOsLMpphQ_M_0000059 1741.2 1750.5 
Dr._Dre/DOsLMpphQ_M_0000060 1758.6 1763.1 
Dr._Dre/DOsLMpphQ_M_0000061 1773.3 1777.8 
