POI: 			Cyndi_Lauper 
Youtube ID: 	CakY8oeWcE0 
Video length: 	3358.8 sec 
Set (V): 		dev 
 
Cyndi_Lauper/CakY8oeWcE0_0000001 52.0 57.3 
Cyndi_Lauper/CakY8oeWcE0_0000002 75.8 82.3 
Cyndi_Lauper/CakY8oeWcE0_0000003 156.4 160.7 
Cyndi_Lauper/CakY8oeWcE0_0000004 179.7 184.4 
Cyndi_Lauper/CakY8oeWcE0_0000005 213.3 217.8 
Cyndi_Lauper/CakY8oeWcE0_0000006 424.0 429.0 
Cyndi_Lauper/CakY8oeWcE0_0000007 456.6 461.3 
Cyndi_Lauper/CakY8oeWcE0_0000008 480.0 485.6 
Cyndi_Lauper/CakY8oeWcE0_0000009 625.9 632.6 
Cyndi_Lauper/CakY8oeWcE0_0000010 694.0 701.9 
Cyndi_Lauper/CakY8oeWcE0_0000011 809.3 814.0 
Cyndi_Lauper/CakY8oeWcE0_0000012 836.2 844.2 
Cyndi_Lauper/CakY8oeWcE0_0000013 881.2 886.5 
Cyndi_Lauper/CakY8oeWcE0_0000014 894.8 898.7 
Cyndi_Lauper/CakY8oeWcE0_0000015 986.2 991.4 
Cyndi_Lauper/CakY8oeWcE0_0000016 995.4 1000.7 
Cyndi_Lauper/CakY8oeWcE0_0000017 1007.6 1012.3 
Cyndi_Lauper/CakY8oeWcE0_0000018 1052.9 1063.2 
Cyndi_Lauper/CakY8oeWcE0_0000019 1079.4 1086.2 
Cyndi_Lauper/CakY8oeWcE0_0000020 1105.9 1111.8 
Cyndi_Lauper/CakY8oeWcE0_0000021 1112.2 1118.5 
Cyndi_Lauper/CakY8oeWcE0_0000022 1117.9 1126.0 
Cyndi_Lauper/CakY8oeWcE0_0000023 1130.1 1137.6 
Cyndi_Lauper/CakY8oeWcE0_0000024 1138.1 1143.4 
Cyndi_Lauper/CakY8oeWcE0_0000025 1205.8 1210.3 
Cyndi_Lauper/CakY8oeWcE0_0000026 1211.4 1218.1 
Cyndi_Lauper/CakY8oeWcE0_0000027 1220.5 1239.6 
Cyndi_Lauper/CakY8oeWcE0_0000028 1251.2 1259.1 
Cyndi_Lauper/CakY8oeWcE0_0000029 1262.4 1267.6 
Cyndi_Lauper/CakY8oeWcE0_0000030 1269.9 1276.0 
Cyndi_Lauper/CakY8oeWcE0_0000031 1276.5 1283.0 
Cyndi_Lauper/CakY8oeWcE0_0000032 1324.9 1330.3 
Cyndi_Lauper/CakY8oeWcE0_0000033 1335.8 1345.4 
Cyndi_Lauper/CakY8oeWcE0_0000034 1348.0 1352.8 
Cyndi_Lauper/CakY8oeWcE0_0000035 1348.4 1352.6 
Cyndi_Lauper/CakY8oeWcE0_0000036 1421.1 1429.9 
Cyndi_Lauper/CakY8oeWcE0_0000037 1447.4 1454.0 
Cyndi_Lauper/CakY8oeWcE0_0000038 1496.0 1502.0 
Cyndi_Lauper/CakY8oeWcE0_0000039 1503.0 1513.0 
Cyndi_Lauper/CakY8oeWcE0_0000040 1528.0 1538.2 
Cyndi_Lauper/CakY8oeWcE0_0000041 1726.4 1730.3 
Cyndi_Lauper/CakY8oeWcE0_0000042 1736.8 1741.2 
Cyndi_Lauper/CakY8oeWcE0_0000043 1762.9 1767.6 
Cyndi_Lauper/CakY8oeWcE0_0000044 1777.0 1781.4 
Cyndi_Lauper/CakY8oeWcE0_0000045 2183.2 2194.0 
Cyndi_Lauper/CakY8oeWcE0_0000046 2218.4 2223.1 
Cyndi_Lauper/CakY8oeWcE0_0000047 2382.7 2391.8 
Cyndi_Lauper/CakY8oeWcE0_0000048 2393.9 2398.6 
Cyndi_Lauper/CakY8oeWcE0_0000049 2757.2 2761.8 
Cyndi_Lauper/CakY8oeWcE0_0000050 2794.5 2800.6 
Cyndi_Lauper/CakY8oeWcE0_0000051 2809.2 2813.8 
Cyndi_Lauper/CakY8oeWcE0_0000052 2844.7 2848.6 
Cyndi_Lauper/CakY8oeWcE0_0000053 2850.8 2855.6 
Cyndi_Lauper/CakY8oeWcE0_0000054 2894.6 2900.3 
Cyndi_Lauper/CakY8oeWcE0_0000055 2929.2 2934.7 
Cyndi_Lauper/CakY8oeWcE0_0000056 3006.3 3010.7 
Cyndi_Lauper/CakY8oeWcE0_0000057 3015.6 3019.6 
Cyndi_Lauper/CakY8oeWcE0_0000058 3109.1 3113.9 
Cyndi_Lauper/CakY8oeWcE0_0000059 3135.5 3141.2 
