POI: 			Tom_Selleck 
Youtube ID: 	2KiIeExNAsM 
Video length: 	1180.9 sec 
Set (V): 		dev 
 
Tom_Selleck/2KiIeExNAsM_0000001 29.0 33.6 
Tom_Selleck/2KiIeExNAsM_0000002 36.1 40.6 
Tom_Selleck/2KiIeExNAsM_0000003 46.8 52.6 
Tom_Selleck/2KiIeExNAsM_0000004 71.8 76.2 
Tom_Selleck/2KiIeExNAsM_0000005 85.8 94.6 
Tom_Selleck/2KiIeExNAsM_0000006 101.0 112.4 
Tom_Selleck/2KiIeExNAsM_0000007 124.5 132.9 
Tom_Selleck/2KiIeExNAsM_0000008 142.0 147.3 
Tom_Selleck/2KiIeExNAsM_0000009 163.7 173.0 
Tom_Selleck/2KiIeExNAsM_0000010 181.4 193.6 
Tom_Selleck/2KiIeExNAsM_0000011 195.2 212.6 
Tom_Selleck/2KiIeExNAsM_0000012 258.3 263.9 
Tom_Selleck/2KiIeExNAsM_0000013 268.1 272.5 
Tom_Selleck/2KiIeExNAsM_0000014 276.3 280.9 
Tom_Selleck/2KiIeExNAsM_0000015 291.1 296.5 
Tom_Selleck/2KiIeExNAsM_0000016 297.1 304.7 
Tom_Selleck/2KiIeExNAsM_0000017 327.0 355.4 
Tom_Selleck/2KiIeExNAsM_0000018 356.0 360.9 
Tom_Selleck/2KiIeExNAsM_0000019 361.7 380.0 
Tom_Selleck/2KiIeExNAsM_0000020 381.0 398.9 
Tom_Selleck/2KiIeExNAsM_0000021 418.4 425.2 
Tom_Selleck/2KiIeExNAsM_0000022 442.4 449.2 
Tom_Selleck/2KiIeExNAsM_0000023 473.1 480.5 
Tom_Selleck/2KiIeExNAsM_0000024 483.5 498.4 
Tom_Selleck/2KiIeExNAsM_0000025 530.9 553.4 
Tom_Selleck/2KiIeExNAsM_0000026 569.0 574.8 
Tom_Selleck/2KiIeExNAsM_0000027 578.3 583.2 
Tom_Selleck/2KiIeExNAsM_0000028 583.9 588.9 
Tom_Selleck/2KiIeExNAsM_0000029 589.6 594.8 
Tom_Selleck/2KiIeExNAsM_0000030 614.1 623.6 
Tom_Selleck/2KiIeExNAsM_0000031 633.9 643.1 
Tom_Selleck/2KiIeExNAsM_0000032 644.5 649.6 
Tom_Selleck/2KiIeExNAsM_0000033 656.5 660.6 
Tom_Selleck/2KiIeExNAsM_0000034 681.9 686.1 
Tom_Selleck/2KiIeExNAsM_0000035 697.0 702.6 
Tom_Selleck/2KiIeExNAsM_0000036 724.9 736.3 
Tom_Selleck/2KiIeExNAsM_0000037 737.5 747.8 
Tom_Selleck/2KiIeExNAsM_0000038 748.9 757.6 
Tom_Selleck/2KiIeExNAsM_0000039 780.5 791.6 
Tom_Selleck/2KiIeExNAsM_0000040 799.7 806.3 
Tom_Selleck/2KiIeExNAsM_0000041 812.2 817.0 
Tom_Selleck/2KiIeExNAsM_0000042 819.8 825.4 
Tom_Selleck/2KiIeExNAsM_0000043 855.0 859.4 
Tom_Selleck/2KiIeExNAsM_0000044 873.3 888.7 
Tom_Selleck/2KiIeExNAsM_0000045 889.4 895.6 
Tom_Selleck/2KiIeExNAsM_0000046 896.2 914.0 
Tom_Selleck/2KiIeExNAsM_0000047 933.1 938.4 
Tom_Selleck/2KiIeExNAsM_0000048 948.2 968.6 
Tom_Selleck/2KiIeExNAsM_0000049 971.3 981.0 
Tom_Selleck/2KiIeExNAsM_0000050 987.1 995.7 
Tom_Selleck/2KiIeExNAsM_0000051 1013.2 1021.7 
Tom_Selleck/2KiIeExNAsM_0000052 1036.6 1046.9 
Tom_Selleck/2KiIeExNAsM_0000053 1047.6 1055.9 
Tom_Selleck/2KiIeExNAsM_0000054 1056.6 1060.7 
Tom_Selleck/2KiIeExNAsM_0000055 1069.3 1073.8 
Tom_Selleck/2KiIeExNAsM_0000056 1081.0 1089.6 
Tom_Selleck/2KiIeExNAsM_0000057 1107.9 1114.2 
Tom_Selleck/2KiIeExNAsM_0000058 1115.1 1137.0 
Tom_Selleck/2KiIeExNAsM_0000059 1160.4 1166.5 
Tom_Selleck/2KiIeExNAsM_0000060 1169.2 1174.1 
