POI: 			Richard_Madden 
Youtube ID: 	FfKvI_HhRmM 
Video length: 	654.6 sec 
Set (V): 		dev 
 
Richard_Madden/FfKvI_HhRmM_0000001 31.1 35.2 
Richard_Madden/FfKvI_HhRmM_0000002 38.7 43.1 
Richard_Madden/FfKvI_HhRmM_0000003 62.1 73.0 
Richard_Madden/FfKvI_HhRmM_0000004 74.3 81.1 
Richard_Madden/FfKvI_HhRmM_0000005 93.0 100.1 
Richard_Madden/FfKvI_HhRmM_0000006 101.9 113.6 
Richard_Madden/FfKvI_HhRmM_0000007 114.8 118.7 
Richard_Madden/FfKvI_HhRmM_0000008 127.2 133.6 
Richard_Madden/FfKvI_HhRmM_0000009 134.5 144.4 
Richard_Madden/FfKvI_HhRmM_0000010 151.6 159.3 
Richard_Madden/FfKvI_HhRmM_0000011 241.7 252.0 
Richard_Madden/FfKvI_HhRmM_0000012 254.9 261.1 
Richard_Madden/FfKvI_HhRmM_0000013 261.5 268.6 
Richard_Madden/FfKvI_HhRmM_0000014 278.2 282.7 
Richard_Madden/FfKvI_HhRmM_0000015 283.8 289.4 
Richard_Madden/FfKvI_HhRmM_0000016 293.9 307.6 
Richard_Madden/FfKvI_HhRmM_0000017 313.4 318.6 
Richard_Madden/FfKvI_HhRmM_0000018 432.4 437.0 
Richard_Madden/FfKvI_HhRmM_0000019 445.8 452.7 
Richard_Madden/FfKvI_HhRmM_0000020 458.2 466.2 
Richard_Madden/FfKvI_HhRmM_0000021 467.8 473.4 
Richard_Madden/FfKvI_HhRmM_0000022 475.5 482.8 
Richard_Madden/FfKvI_HhRmM_0000023 484.0 493.5 
Richard_Madden/FfKvI_HhRmM_0000024 536.6 542.0 
Richard_Madden/FfKvI_HhRmM_0000025 549.9 557.9 
Richard_Madden/FfKvI_HhRmM_0000026 558.1 563.4 
Richard_Madden/FfKvI_HhRmM_0000027 564.1 568.2 
Richard_Madden/FfKvI_HhRmM_0000028 587.0 594.4 
Richard_Madden/FfKvI_HhRmM_0000029 606.3 613.2 
