POI: 			Eugenio_Derbez 
Youtube ID: 	3QrLepYlH6o 
Video length: 	570.2 sec 
Set (V): 		test 
 
Eugenio_Derbez/3QrLepYlH6o_0000001 74.2 82.5 
Eugenio_Derbez/3QrLepYlH6o_0000002 117.0 120.9 
Eugenio_Derbez/3QrLepYlH6o_0000003 127.2 131.8 
Eugenio_Derbez/3QrLepYlH6o_0000004 134.0 143.6 
Eugenio_Derbez/3QrLepYlH6o_0000005 203.5 208.6 
Eugenio_Derbez/3QrLepYlH6o_0000006 211.2 216.4 
Eugenio_Derbez/3QrLepYlH6o_0000007 217.9 228.1 
Eugenio_Derbez/3QrLepYlH6o_0000008 230.6 236.3 
Eugenio_Derbez/3QrLepYlH6o_0000009 253.6 274.2 
Eugenio_Derbez/3QrLepYlH6o_0000010 280.0 288.0 
Eugenio_Derbez/3QrLepYlH6o_0000011 355.3 364.1 
Eugenio_Derbez/3QrLepYlH6o_0000012 366.5 371.4 
Eugenio_Derbez/3QrLepYlH6o_0000013 377.4 383.6 
Eugenio_Derbez/3QrLepYlH6o_0000014 416.1 427.6 
Eugenio_Derbez/3QrLepYlH6o_0000015 448.0 454.0 
Eugenio_Derbez/3QrLepYlH6o_0000016 454.1 461.8 
Eugenio_Derbez/3QrLepYlH6o_0000017 505.2 510.3 
