POI: 			Eugenio_Derbez 
Youtube ID: 	nJbBcMdxQU4 
Video length: 	260.4 sec 
Set (V): 		test 
 
Eugenio_Derbez/nJbBcMdxQU4_0000001 12.8 23.4 
Eugenio_Derbez/nJbBcMdxQU4_0000002 24.8 30.9 
Eugenio_Derbez/nJbBcMdxQU4_0000003 35.2 39.7 
Eugenio_Derbez/nJbBcMdxQU4_0000004 40.5 47.0 
Eugenio_Derbez/nJbBcMdxQU4_0000005 48.8 70.8 
Eugenio_Derbez/nJbBcMdxQU4_0000006 81.0 95.4 
Eugenio_Derbez/nJbBcMdxQU4_0000007 96.5 104.8 
Eugenio_Derbez/nJbBcMdxQU4_0000008 105.2 109.8 
Eugenio_Derbez/nJbBcMdxQU4_0000009 120.1 128.3 
Eugenio_Derbez/nJbBcMdxQU4_0000010 134.8 155.0 
Eugenio_Derbez/nJbBcMdxQU4_0000011 168.7 174.0 
Eugenio_Derbez/nJbBcMdxQU4_0000012 174.2 185.1 
Eugenio_Derbez/nJbBcMdxQU4_0000013 190.8 195.3 
Eugenio_Derbez/nJbBcMdxQU4_0000014 196.1 204.4 
Eugenio_Derbez/nJbBcMdxQU4_0000015 205.0 211.6 
Eugenio_Derbez/nJbBcMdxQU4_0000016 221.8 230.4 
Eugenio_Derbez/nJbBcMdxQU4_0000017 233.5 241.8 
Eugenio_Derbez/nJbBcMdxQU4_0000018 242.9 257.0 
