POI: 			Eugenio_Derbez 
Youtube ID: 	Piw0wvQbpnQ 
Video length: 	453.5 sec 
Set (V): 		test 
 
Eugenio_Derbez/Piw0wvQbpnQ_0000001 65.4 70.5 
Eugenio_Derbez/Piw0wvQbpnQ_0000002 75.2 79.4 
Eugenio_Derbez/Piw0wvQbpnQ_0000003 79.7 83.6 
Eugenio_Derbez/Piw0wvQbpnQ_0000004 100.4 105.6 
Eugenio_Derbez/Piw0wvQbpnQ_0000005 131.4 139.0 
Eugenio_Derbez/Piw0wvQbpnQ_0000006 167.6 175.2 
Eugenio_Derbez/Piw0wvQbpnQ_0000007 182.5 189.8 
Eugenio_Derbez/Piw0wvQbpnQ_0000008 193.8 198.6 
Eugenio_Derbez/Piw0wvQbpnQ_0000009 215.7 229.9 
Eugenio_Derbez/Piw0wvQbpnQ_0000010 249.1 254.7 
Eugenio_Derbez/Piw0wvQbpnQ_0000011 256.0 260.6 
Eugenio_Derbez/Piw0wvQbpnQ_0000012 261.0 269.9 
Eugenio_Derbez/Piw0wvQbpnQ_0000013 271.3 286.2 
Eugenio_Derbez/Piw0wvQbpnQ_0000014 300.1 305.2 
Eugenio_Derbez/Piw0wvQbpnQ_0000015 304.5 310.1 
Eugenio_Derbez/Piw0wvQbpnQ_0000016 328.2 334.6 
Eugenio_Derbez/Piw0wvQbpnQ_0000017 338.4 344.4 
Eugenio_Derbez/Piw0wvQbpnQ_0000018 369.1 374.1 
Eugenio_Derbez/Piw0wvQbpnQ_0000019 385.1 389.9 
Eugenio_Derbez/Piw0wvQbpnQ_0000020 410.2 419.6 
