POI: 			Sienna_Guillory 
Youtube ID: 	qznyGO76gRU 
Video length: 	337.5 sec 
Set (V): 		dev 
 
Sienna_Guillory/qznyGO76gRU_0000001 09.9 15.4 
Sienna_Guillory/qznyGO76gRU_0000002 16.8 22.8 
Sienna_Guillory/qznyGO76gRU_0000003 23.3 36.5 
Sienna_Guillory/qznyGO76gRU_0000004 41.9 49.4 
Sienna_Guillory/qznyGO76gRU_0000005 56.3 61.6 
Sienna_Guillory/qznyGO76gRU_0000006 66.8 71.5 
Sienna_Guillory/qznyGO76gRU_0000007 76.1 80.4 
Sienna_Guillory/qznyGO76gRU_0000008 81.2 89.6 
Sienna_Guillory/qznyGO76gRU_0000009 119.6 129.4 
Sienna_Guillory/qznyGO76gRU_0000010 139.6 151.6 
Sienna_Guillory/qznyGO76gRU_0000011 154.5 161.5 
Sienna_Guillory/qznyGO76gRU_0000012 162.1 166.4 
Sienna_Guillory/qznyGO76gRU_0000013 175.7 186.2 
Sienna_Guillory/qznyGO76gRU_0000014 187.6 198.2 
Sienna_Guillory/qznyGO76gRU_0000015 202.2 210.6 
Sienna_Guillory/qznyGO76gRU_0000016 211.0 217.2 
Sienna_Guillory/qznyGO76gRU_0000017 257.0 269.2 
Sienna_Guillory/qznyGO76gRU_0000018 256.9 271.2 
Sienna_Guillory/qznyGO76gRU_0000019 272.5 278.9 
Sienna_Guillory/qznyGO76gRU_0000020 286.3 302.8 
Sienna_Guillory/qznyGO76gRU_0000021 309.8 335.8 
