POI: 			Stephen_Fry 
Youtube ID: 	G2QZRjUB_VM 
Video length: 	3683.8 sec 
Set (V): 		dev 
 
Stephen_Fry/G2QZRjUB_VM_0000001 13.3 19.1 
Stephen_Fry/G2QZRjUB_VM_0000002 19.4 29.2 
Stephen_Fry/G2QZRjUB_VM_0000003 30.9 35.6 
Stephen_Fry/G2QZRjUB_VM_0000004 36.0 42.6 
Stephen_Fry/G2QZRjUB_VM_0000005 47.7 58.6 
Stephen_Fry/G2QZRjUB_VM_0000006 59.2 66.2 
Stephen_Fry/G2QZRjUB_VM_0000007 73.1 77.9 
Stephen_Fry/G2QZRjUB_VM_0000008 79.9 84.7 
Stephen_Fry/G2QZRjUB_VM_0000009 85.1 89.6 
Stephen_Fry/G2QZRjUB_VM_0000010 90.6 96.9 
Stephen_Fry/G2QZRjUB_VM_0000011 97.9 103.4 
Stephen_Fry/G2QZRjUB_VM_0000012 108.7 116.0 
Stephen_Fry/G2QZRjUB_VM_0000013 120.8 126.4 
Stephen_Fry/G2QZRjUB_VM_0000014 127.1 142.0 
Stephen_Fry/G2QZRjUB_VM_0000015 147.9 152.8 
Stephen_Fry/G2QZRjUB_VM_0000016 163.6 175.8 
Stephen_Fry/G2QZRjUB_VM_0000017 177.8 194.1 
Stephen_Fry/G2QZRjUB_VM_0000018 200.4 217.2 
Stephen_Fry/G2QZRjUB_VM_0000019 222.5 234.8 
Stephen_Fry/G2QZRjUB_VM_0000020 238.3 243.5 
Stephen_Fry/G2QZRjUB_VM_0000021 257.5 265.5 
Stephen_Fry/G2QZRjUB_VM_0000022 265.6 272.5 
Stephen_Fry/G2QZRjUB_VM_0000023 273.5 283.6 
Stephen_Fry/G2QZRjUB_VM_0000024 284.4 289.7 
Stephen_Fry/G2QZRjUB_VM_0000025 290.0 298.9 
Stephen_Fry/G2QZRjUB_VM_0000026 299.7 305.6 
Stephen_Fry/G2QZRjUB_VM_0000027 305.9 312.0 
Stephen_Fry/G2QZRjUB_VM_0000028 322.7 333.8 
Stephen_Fry/G2QZRjUB_VM_0000029 334.1 347.7 
Stephen_Fry/G2QZRjUB_VM_0000030 364.4 369.1 
Stephen_Fry/G2QZRjUB_VM_0000031 389.5 397.0 
Stephen_Fry/G2QZRjUB_VM_0000032 400.8 417.7 
Stephen_Fry/G2QZRjUB_VM_0000033 444.8 450.6 
Stephen_Fry/G2QZRjUB_VM_0000034 456.6 464.8 
Stephen_Fry/G2QZRjUB_VM_0000035 465.6 473.2 
Stephen_Fry/G2QZRjUB_VM_0000036 473.3 479.0 
Stephen_Fry/G2QZRjUB_VM_0000037 480.1 484.4 
Stephen_Fry/G2QZRjUB_VM_0000038 490.3 504.4 
Stephen_Fry/G2QZRjUB_VM_0000039 509.4 518.3 
