POI: 			Sean_Maher 
Youtube ID: 	8k97dDh42X0 
Video length: 	1272.5 sec 
Set (V): 		dev 
 
Sean_Maher/8k97dDh42X0_0000001 96.9 100.9 
Sean_Maher/8k97dDh42X0_0000002 146.0 152.4 
Sean_Maher/8k97dDh42X0_0000003 126.4 130.7 
Sean_Maher/8k97dDh42X0_0000004 146.1 153.6 
Sean_Maher/8k97dDh42X0_0000005 180.9 192.2 
Sean_Maher/8k97dDh42X0_0000006 216.6 222.7 
Sean_Maher/8k97dDh42X0_0000007 223.5 228.6 
Sean_Maher/8k97dDh42X0_0000008 242.5 248.0 
Sean_Maher/8k97dDh42X0_0000009 253.6 264.7 
Sean_Maher/8k97dDh42X0_0000010 284.1 291.4 
Sean_Maher/8k97dDh42X0_0000011 305.2 309.2 
Sean_Maher/8k97dDh42X0_0000012 311.0 315.4 
Sean_Maher/8k97dDh42X0_0000013 317.4 327.2 
Sean_Maher/8k97dDh42X0_0000014 405.4 413.8 
Sean_Maher/8k97dDh42X0_0000015 422.0 428.6 
Sean_Maher/8k97dDh42X0_0000016 431.4 443.8 
Sean_Maher/8k97dDh42X0_0000017 444.1 455.2 
Sean_Maher/8k97dDh42X0_0000018 460.3 466.4 
Sean_Maher/8k97dDh42X0_0000019 478.7 485.2 
Sean_Maher/8k97dDh42X0_0000020 494.8 499.3 
Sean_Maher/8k97dDh42X0_0000021 525.8 530.2 
Sean_Maher/8k97dDh42X0_0000022 531.4 539.8 
Sean_Maher/8k97dDh42X0_0000023 540.8 547.3 
Sean_Maher/8k97dDh42X0_0000024 556.8 561.7 
Sean_Maher/8k97dDh42X0_0000025 582.1 586.4 
Sean_Maher/8k97dDh42X0_0000026 618.8 623.7 
Sean_Maher/8k97dDh42X0_0000027 629.9 637.4 
Sean_Maher/8k97dDh42X0_0000028 652.2 657.3 
Sean_Maher/8k97dDh42X0_0000029 658.1 662.0 
Sean_Maher/8k97dDh42X0_0000030 711.0 716.4 
Sean_Maher/8k97dDh42X0_0000031 719.3 726.2 
Sean_Maher/8k97dDh42X0_0000032 735.1 744.0 
Sean_Maher/8k97dDh42X0_0000033 745.2 751.2 
Sean_Maher/8k97dDh42X0_0000034 754.3 758.3 
Sean_Maher/8k97dDh42X0_0000035 762.3 775.0 
Sean_Maher/8k97dDh42X0_0000036 781.6 786.4 
Sean_Maher/8k97dDh42X0_0000037 788.4 792.8 
Sean_Maher/8k97dDh42X0_0000038 827.5 832.0 
Sean_Maher/8k97dDh42X0_0000039 832.4 838.0 
Sean_Maher/8k97dDh42X0_0000040 897.3 901.6 
Sean_Maher/8k97dDh42X0_0000041 901.8 915.0 
Sean_Maher/8k97dDh42X0_0000042 918.8 925.8 
Sean_Maher/8k97dDh42X0_0000043 951.2 962.6 
Sean_Maher/8k97dDh42X0_0000044 963.6 969.2 
Sean_Maher/8k97dDh42X0_0000045 981.6 998.5 
Sean_Maher/8k97dDh42X0_0000046 1020.0 1023.9 
Sean_Maher/8k97dDh42X0_0000047 1024.9 1033.6 
Sean_Maher/8k97dDh42X0_0000048 1035.9 1041.6 
Sean_Maher/8k97dDh42X0_0000049 1058.4 1064.8 
Sean_Maher/8k97dDh42X0_0000050 1065.8 1073.4 
Sean_Maher/8k97dDh42X0_0000051 1073.8 1085.2 
Sean_Maher/8k97dDh42X0_0000052 1114.4 1122.2 
Sean_Maher/8k97dDh42X0_0000053 1128.0 1134.2 
Sean_Maher/8k97dDh42X0_0000054 1195.1 1204.8 
Sean_Maher/8k97dDh42X0_0000055 1217.4 1221.6 
Sean_Maher/8k97dDh42X0_0000056 1223.8 1233.0 
Sean_Maher/8k97dDh42X0_0000057 1233.8 1237.8 
