POI: 			Noel_Fielding 
Youtube ID: 	FSmqVNLQ7Gg 
Video length: 	495.1 sec 
Set (V): 		dev 
 
Noel_Fielding/FSmqVNLQ7Gg_0000001 51.8 61.5 
Noel_Fielding/FSmqVNLQ7Gg_0000002 91.9 96.1 
Noel_Fielding/FSmqVNLQ7Gg_0000003 100.0 106.4 
Noel_Fielding/FSmqVNLQ7Gg_0000004 106.4 110.6 
Noel_Fielding/FSmqVNLQ7Gg_0000005 123.0 127.0 
Noel_Fielding/FSmqVNLQ7Gg_0000006 192.6 197.1 
Noel_Fielding/FSmqVNLQ7Gg_0000007 203.6 207.7 
Noel_Fielding/FSmqVNLQ7Gg_0000008 219.8 232.6 
Noel_Fielding/FSmqVNLQ7Gg_0000009 262.0 266.4 
Noel_Fielding/FSmqVNLQ7Gg_0000010 270.0 274.2 
Noel_Fielding/FSmqVNLQ7Gg_0000011 274.5 280.8 
Noel_Fielding/FSmqVNLQ7Gg_0000012 288.5 293.0 
Noel_Fielding/FSmqVNLQ7Gg_0000013 293.2 299.1 
Noel_Fielding/FSmqVNLQ7Gg_0000014 301.3 317.9 
Noel_Fielding/FSmqVNLQ7Gg_0000015 345.1 358.5 
Noel_Fielding/FSmqVNLQ7Gg_0000016 397.0 402.5 
Noel_Fielding/FSmqVNLQ7Gg_0000017 440.2 444.4 
Noel_Fielding/FSmqVNLQ7Gg_0000018 468.9 475.7 
