POI: 			Greta_Gerwig 
Youtube ID: 	47enE06uMLU 
Video length: 	1008.2 sec 
Set (V): 		dev 
 
Greta_Gerwig/47enE06uMLU_0000001 166.8 176.5 
Greta_Gerwig/47enE06uMLU_0000002 193.6 200.2 
Greta_Gerwig/47enE06uMLU_0000003 203.6 208.5 
Greta_Gerwig/47enE06uMLU_0000004 225.6 230.2 
Greta_Gerwig/47enE06uMLU_0000005 238.3 253.6 
Greta_Gerwig/47enE06uMLU_0000006 342.1 347.4 
Greta_Gerwig/47enE06uMLU_0000007 355.3 375.4 
Greta_Gerwig/47enE06uMLU_0000008 387.4 395.8 
Greta_Gerwig/47enE06uMLU_0000009 407.2 411.8 
Greta_Gerwig/47enE06uMLU_0000010 418.8 423.5 
Greta_Gerwig/47enE06uMLU_0000011 426.8 434.2 
Greta_Gerwig/47enE06uMLU_0000012 435.0 441.2 
Greta_Gerwig/47enE06uMLU_0000013 449.8 463.1 
Greta_Gerwig/47enE06uMLU_0000014 469.3 485.0 
Greta_Gerwig/47enE06uMLU_0000015 786.2 791.0 
Greta_Gerwig/47enE06uMLU_0000016 792.0 796.7 
Greta_Gerwig/47enE06uMLU_0000017 826.2 832.0 
Greta_Gerwig/47enE06uMLU_0000018 883.5 893.2 
Greta_Gerwig/47enE06uMLU_0000019 895.2 899.6 
Greta_Gerwig/47enE06uMLU_0000020 899.8 912.3 
Greta_Gerwig/47enE06uMLU_0000021 931.0 935.8 
Greta_Gerwig/47enE06uMLU_0000022 940.4 951.1 
Greta_Gerwig/47enE06uMLU_0000023 973.0 978.1 
