POI: 			Greta_Gerwig 
Youtube ID: 	m0pirbsgB-c 
Video length: 	2587.6 sec 
Set (V): 		dev 
 
Greta_Gerwig/m0pirbsgB-c_0000001 41.4 47.8 
Greta_Gerwig/m0pirbsgB-c_0000002 51.1 64.2 
Greta_Gerwig/m0pirbsgB-c_0000003 76.5 82.5 
Greta_Gerwig/m0pirbsgB-c_0000004 93.0 97.9 
Greta_Gerwig/m0pirbsgB-c_0000005 119.6 126.0 
Greta_Gerwig/m0pirbsgB-c_0000006 143.4 148.0 
Greta_Gerwig/m0pirbsgB-c_0000007 163.5 168.6 
Greta_Gerwig/m0pirbsgB-c_0000008 168.8 175.4 
Greta_Gerwig/m0pirbsgB-c_0000009 185.9 190.6 
Greta_Gerwig/m0pirbsgB-c_0000010 211.2 216.3 
Greta_Gerwig/m0pirbsgB-c_0000011 218.0 224.0 
Greta_Gerwig/m0pirbsgB-c_0000012 226.2 231.6 
Greta_Gerwig/m0pirbsgB-c_0000013 232.6 238.4 
Greta_Gerwig/m0pirbsgB-c_0000014 255.0 260.0 
Greta_Gerwig/m0pirbsgB-c_0000015 266.8 271.5 
Greta_Gerwig/m0pirbsgB-c_0000016 272.3 277.9 
Greta_Gerwig/m0pirbsgB-c_0000017 329.5 335.7 
Greta_Gerwig/m0pirbsgB-c_0000018 338.9 351.2 
Greta_Gerwig/m0pirbsgB-c_0000019 354.7 363.5 
Greta_Gerwig/m0pirbsgB-c_0000020 369.6 375.1 
Greta_Gerwig/m0pirbsgB-c_0000021 381.4 386.7 
Greta_Gerwig/m0pirbsgB-c_0000022 419.2 424.2 
Greta_Gerwig/m0pirbsgB-c_0000023 447.0 451.3 
Greta_Gerwig/m0pirbsgB-c_0000024 460.4 466.7 
Greta_Gerwig/m0pirbsgB-c_0000025 467.6 474.0 
Greta_Gerwig/m0pirbsgB-c_0000026 476.4 497.2 
Greta_Gerwig/m0pirbsgB-c_0000027 520.6 527.4 
Greta_Gerwig/m0pirbsgB-c_0000028 533.5 539.4 
Greta_Gerwig/m0pirbsgB-c_0000029 540.5 544.6 
Greta_Gerwig/m0pirbsgB-c_0000030 555.8 561.2 
Greta_Gerwig/m0pirbsgB-c_0000031 562.0 570.6 
Greta_Gerwig/m0pirbsgB-c_0000032 619.7 624.5 
Greta_Gerwig/m0pirbsgB-c_0000033 655.2 661.0 
Greta_Gerwig/m0pirbsgB-c_0000034 664.8 671.8 
Greta_Gerwig/m0pirbsgB-c_0000035 667.7 673.2 
Greta_Gerwig/m0pirbsgB-c_0000036 678.2 682.6 
Greta_Gerwig/m0pirbsgB-c_0000037 697.3 702.6 
Greta_Gerwig/m0pirbsgB-c_0000038 708.4 712.9 
Greta_Gerwig/m0pirbsgB-c_0000039 713.0 718.5 
Greta_Gerwig/m0pirbsgB-c_0000040 718.9 738.2 
Greta_Gerwig/m0pirbsgB-c_0000041 738.9 743.0 
Greta_Gerwig/m0pirbsgB-c_0000042 746.2 754.6 
Greta_Gerwig/m0pirbsgB-c_0000043 822.2 827.5 
Greta_Gerwig/m0pirbsgB-c_0000044 839.5 844.0 
Greta_Gerwig/m0pirbsgB-c_0000045 845.6 851.5 
Greta_Gerwig/m0pirbsgB-c_0000046 864.8 869.5 
Greta_Gerwig/m0pirbsgB-c_0000047 890.7 894.7 
Greta_Gerwig/m0pirbsgB-c_0000048 908.9 913.2 
Greta_Gerwig/m0pirbsgB-c_0000049 913.6 917.9 
Greta_Gerwig/m0pirbsgB-c_0000050 943.2 948.0 
Greta_Gerwig/m0pirbsgB-c_0000051 967.3 972.1 
