POI: 			Greta_Gerwig 
Youtube ID: 	2XldzP7L294 
Video length: 	437.1 sec 
Set (V): 		dev 
 
Greta_Gerwig/2XldzP7L294_0000001 26.8 33.0 
Greta_Gerwig/2XldzP7L294_0000002 35.1 40.2 
Greta_Gerwig/2XldzP7L294_0000003 47.9 54.4 
Greta_Gerwig/2XldzP7L294_0000004 58.8 66.2 
Greta_Gerwig/2XldzP7L294_0000005 69.3 79.8 
Greta_Gerwig/2XldzP7L294_0000006 92.2 103.5 
Greta_Gerwig/2XldzP7L294_0000007 111.2 122.2 
Greta_Gerwig/2XldzP7L294_0000008 123.5 137.1 
Greta_Gerwig/2XldzP7L294_0000009 140.0 144.1 
Greta_Gerwig/2XldzP7L294_0000010 145.2 152.5 
Greta_Gerwig/2XldzP7L294_0000011 164.0 187.0 
Greta_Gerwig/2XldzP7L294_0000012 190.7 202.2 
Greta_Gerwig/2XldzP7L294_0000013 202.3 207.6 
Greta_Gerwig/2XldzP7L294_0000014 226.5 231.1 
Greta_Gerwig/2XldzP7L294_0000015 231.8 241.9 
Greta_Gerwig/2XldzP7L294_0000016 245.6 253.3 
Greta_Gerwig/2XldzP7L294_0000017 254.3 261.1 
Greta_Gerwig/2XldzP7L294_0000018 261.5 265.6 
Greta_Gerwig/2XldzP7L294_0000019 265.9 273.3 
Greta_Gerwig/2XldzP7L294_0000020 280.1 285.8 
Greta_Gerwig/2XldzP7L294_0000021 287.6 291.7 
Greta_Gerwig/2XldzP7L294_0000022 295.6 303.8 
Greta_Gerwig/2XldzP7L294_0000023 326.0 331.2 
Greta_Gerwig/2XldzP7L294_0000024 348.9 383.0 
Greta_Gerwig/2XldzP7L294_0000025 398.9 413.0 
Greta_Gerwig/2XldzP7L294_0000026 418.4 422.4 
