POI: 			Janice_Dickinson 
Youtube ID: 	bLufSCk9P2k 
Video length: 	2293.4 sec 
Set (V): 		dev 
 
Janice_Dickinson/bLufSCk9P2k_0000001 125.7 129.7 
Janice_Dickinson/bLufSCk9P2k_0000002 130.0 140.5 
Janice_Dickinson/bLufSCk9P2k_0000003 148.8 153.0 
Janice_Dickinson/bLufSCk9P2k_0000004 160.1 167.8 
Janice_Dickinson/bLufSCk9P2k_0000005 242.1 256.6 
Janice_Dickinson/bLufSCk9P2k_0000006 286.6 293.6 
Janice_Dickinson/bLufSCk9P2k_0000007 343.8 348.2 
Janice_Dickinson/bLufSCk9P2k_0000008 356.8 362.4 
Janice_Dickinson/bLufSCk9P2k_0000009 364.9 376.7 
Janice_Dickinson/bLufSCk9P2k_0000010 382.6 389.1 
Janice_Dickinson/bLufSCk9P2k_0000011 399.2 404.6 
Janice_Dickinson/bLufSCk9P2k_0000012 406.7 422.5 
Janice_Dickinson/bLufSCk9P2k_0000013 423.8 432.5 
Janice_Dickinson/bLufSCk9P2k_0000014 464.4 475.5 
Janice_Dickinson/bLufSCk9P2k_0000015 496.2 505.4 
Janice_Dickinson/bLufSCk9P2k_0000016 522.8 533.9 
Janice_Dickinson/bLufSCk9P2k_0000017 536.0 543.4 
Janice_Dickinson/bLufSCk9P2k_0000018 548.5 553.6 
Janice_Dickinson/bLufSCk9P2k_0000019 580.2 584.6 
Janice_Dickinson/bLufSCk9P2k_0000020 587.0 591.2 
Janice_Dickinson/bLufSCk9P2k_0000021 609.5 623.6 
Janice_Dickinson/bLufSCk9P2k_0000022 626.0 632.7 
Janice_Dickinson/bLufSCk9P2k_0000023 634.2 640.7 
Janice_Dickinson/bLufSCk9P2k_0000024 662.8 678.3 
Janice_Dickinson/bLufSCk9P2k_0000025 680.5 685.6 
Janice_Dickinson/bLufSCk9P2k_0000026 699.9 707.7 
Janice_Dickinson/bLufSCk9P2k_0000027 781.8 787.3 
Janice_Dickinson/bLufSCk9P2k_0000028 792.1 797.7 
Janice_Dickinson/bLufSCk9P2k_0000029 806.0 810.6 
Janice_Dickinson/bLufSCk9P2k_0000030 935.4 939.6 
Janice_Dickinson/bLufSCk9P2k_0000031 1045.8 1055.4 
Janice_Dickinson/bLufSCk9P2k_0000032 1079.8 1100.3 
Janice_Dickinson/bLufSCk9P2k_0000033 1102.6 1107.5 
Janice_Dickinson/bLufSCk9P2k_0000034 1119.1 1125.0 
Janice_Dickinson/bLufSCk9P2k_0000035 1146.4 1150.8 
Janice_Dickinson/bLufSCk9P2k_0000036 1151.2 1164.0 
Janice_Dickinson/bLufSCk9P2k_0000037 1164.5 1171.3 
Janice_Dickinson/bLufSCk9P2k_0000038 1173.6 1178.1 
Janice_Dickinson/bLufSCk9P2k_0000039 1464.9 1478.4 
Janice_Dickinson/bLufSCk9P2k_0000040 1479.6 1489.0 
Janice_Dickinson/bLufSCk9P2k_0000041 1586.4 1590.4 
Janice_Dickinson/bLufSCk9P2k_0000042 1624.4 1644.0 
Janice_Dickinson/bLufSCk9P2k_0000043 1663.7 1669.2 
Janice_Dickinson/bLufSCk9P2k_0000044 1674.1 1681.9 
Janice_Dickinson/bLufSCk9P2k_0000045 1719.2 1726.7 
Janice_Dickinson/bLufSCk9P2k_0000046 1739.1 1743.2 
Janice_Dickinson/bLufSCk9P2k_0000047 1817.0 1834.4 
Janice_Dickinson/bLufSCk9P2k_0000048 2025.7 2033.8 
Janice_Dickinson/bLufSCk9P2k_0000049 2071.8 2076.2 
Janice_Dickinson/bLufSCk9P2k_0000050 2079.1 2083.4 
Janice_Dickinson/bLufSCk9P2k_0000051 2089.3 2099.2 
Janice_Dickinson/bLufSCk9P2k_0000052 2105.9 2110.7 
Janice_Dickinson/bLufSCk9P2k_0000053 2116.2 2123.4 
Janice_Dickinson/bLufSCk9P2k_0000054 2128.6 2148.4 
