POI: 			William_Fichtner 
Youtube ID: 	HACkUneHNEw 
Video length: 	461.1 sec 
Set (V): 		dev 
 
William_Fichtner/HACkUneHNEw_0000001 23.2 29.9 
William_Fichtner/HACkUneHNEw_0000002 43.2 48.8 
William_Fichtner/HACkUneHNEw_0000003 56.6 63.0 
William_Fichtner/HACkUneHNEw_0000004 104.1 112.2 
William_Fichtner/HACkUneHNEw_0000005 137.5 142.6 
William_Fichtner/HACkUneHNEw_0000006 147.4 167.7 
William_Fichtner/HACkUneHNEw_0000007 182.9 186.9 
William_Fichtner/HACkUneHNEw_0000008 190.7 197.1 
William_Fichtner/HACkUneHNEw_0000009 234.4 243.6 
William_Fichtner/HACkUneHNEw_0000010 258.0 264.5 
William_Fichtner/HACkUneHNEw_0000011 264.6 270.5 
William_Fichtner/HACkUneHNEw_0000012 308.0 312.0 
William_Fichtner/HACkUneHNEw_0000013 338.3 344.0 
William_Fichtner/HACkUneHNEw_0000014 344.8 353.3 
William_Fichtner/HACkUneHNEw_0000015 383.2 388.3 
William_Fichtner/HACkUneHNEw_0000016 405.5 411.0 
William_Fichtner/HACkUneHNEw_0000017 422.7 429.7 
William_Fichtner/HACkUneHNEw_0000018 437.8 442.6 
William_Fichtner/HACkUneHNEw_0000019 447.7 451.9 
