POI: 			Rosie_Huntington-Whiteley 
Youtube ID: 	NnZ8irurCUU 
Video length: 	341.0 sec 
Set (V): 		dev 
 
Rosie_Huntington-Whiteley/NnZ8irurCUU_0000001 30.2 38.5 
Rosie_Huntington-Whiteley/NnZ8irurCUU_0000002 54.0 57.9 
Rosie_Huntington-Whiteley/NnZ8irurCUU_0000003 58.4 62.5 
Rosie_Huntington-Whiteley/NnZ8irurCUU_0000004 63.1 77.6 
Rosie_Huntington-Whiteley/NnZ8irurCUU_0000005 81.6 93.3 
Rosie_Huntington-Whiteley/NnZ8irurCUU_0000006 97.8 104.9 
Rosie_Huntington-Whiteley/NnZ8irurCUU_0000007 109.2 114.8 
Rosie_Huntington-Whiteley/NnZ8irurCUU_0000008 115.4 121.1 
Rosie_Huntington-Whiteley/NnZ8irurCUU_0000009 126.8 133.7 
Rosie_Huntington-Whiteley/NnZ8irurCUU_0000010 138.6 142.8 
Rosie_Huntington-Whiteley/NnZ8irurCUU_0000011 147.6 151.7 
Rosie_Huntington-Whiteley/NnZ8irurCUU_0000012 154.0 166.6 
Rosie_Huntington-Whiteley/NnZ8irurCUU_0000013 167.5 175.4 
Rosie_Huntington-Whiteley/NnZ8irurCUU_0000014 187.4 196.0 
Rosie_Huntington-Whiteley/NnZ8irurCUU_0000015 199.4 207.0 
Rosie_Huntington-Whiteley/NnZ8irurCUU_0000016 209.4 225.0 
Rosie_Huntington-Whiteley/NnZ8irurCUU_0000017 233.4 242.6 
Rosie_Huntington-Whiteley/NnZ8irurCUU_0000018 248.8 254.4 
Rosie_Huntington-Whiteley/NnZ8irurCUU_0000019 258.7 266.1 
Rosie_Huntington-Whiteley/NnZ8irurCUU_0000020 288.4 307.0 
Rosie_Huntington-Whiteley/NnZ8irurCUU_0000021 308.2 313.8 
Rosie_Huntington-Whiteley/NnZ8irurCUU_0000022 315.4 322.4 
