POI: 			Rosie_Huntington-Whiteley 
Youtube ID: 	0VpwYRLTKwM 
Video length: 	965.7 sec 
Set (V): 		dev 
 
Rosie_Huntington-Whiteley/0VpwYRLTKwM_0000001 63.5 72.4 
Rosie_Huntington-Whiteley/0VpwYRLTKwM_0000002 121.2 127.3 
Rosie_Huntington-Whiteley/0VpwYRLTKwM_0000003 131.7 143.2 
Rosie_Huntington-Whiteley/0VpwYRLTKwM_0000004 163.8 170.9 
Rosie_Huntington-Whiteley/0VpwYRLTKwM_0000005 192.7 200.4 
Rosie_Huntington-Whiteley/0VpwYRLTKwM_0000006 216.6 228.6 
Rosie_Huntington-Whiteley/0VpwYRLTKwM_0000007 246.8 251.1 
Rosie_Huntington-Whiteley/0VpwYRLTKwM_0000008 258.6 265.3 
Rosie_Huntington-Whiteley/0VpwYRLTKwM_0000009 276.6 285.0 
Rosie_Huntington-Whiteley/0VpwYRLTKwM_0000010 454.4 460.6 
Rosie_Huntington-Whiteley/0VpwYRLTKwM_0000011 462.7 485.1 
Rosie_Huntington-Whiteley/0VpwYRLTKwM_0000012 506.3 513.6 
Rosie_Huntington-Whiteley/0VpwYRLTKwM_0000013 527.7 549.7 
Rosie_Huntington-Whiteley/0VpwYRLTKwM_0000014 552.0 556.8 
Rosie_Huntington-Whiteley/0VpwYRLTKwM_0000015 559.2 586.6 
Rosie_Huntington-Whiteley/0VpwYRLTKwM_0000016 609.4 626.2 
Rosie_Huntington-Whiteley/0VpwYRLTKwM_0000017 652.0 658.6 
Rosie_Huntington-Whiteley/0VpwYRLTKwM_0000018 664.7 688.3 
Rosie_Huntington-Whiteley/0VpwYRLTKwM_0000019 699.6 711.2 
Rosie_Huntington-Whiteley/0VpwYRLTKwM_0000020 734.6 738.7 
Rosie_Huntington-Whiteley/0VpwYRLTKwM_0000021 739.5 744.0 
Rosie_Huntington-Whiteley/0VpwYRLTKwM_0000022 745.4 752.5 
Rosie_Huntington-Whiteley/0VpwYRLTKwM_0000023 757.4 771.2 
Rosie_Huntington-Whiteley/0VpwYRLTKwM_0000024 782.6 801.0 
Rosie_Huntington-Whiteley/0VpwYRLTKwM_0000025 816.6 840.2 
Rosie_Huntington-Whiteley/0VpwYRLTKwM_0000026 845.6 850.1 
Rosie_Huntington-Whiteley/0VpwYRLTKwM_0000027 850.2 855.4 
Rosie_Huntington-Whiteley/0VpwYRLTKwM_0000028 862.8 867.7 
Rosie_Huntington-Whiteley/0VpwYRLTKwM_0000029 878.0 891.2 
Rosie_Huntington-Whiteley/0VpwYRLTKwM_0000030 909.0 914.3 
