POI: 			Ryan_Kwanten 
Youtube ID: 	QQvnMLJwFyE 
Video length: 	422.2 sec 
Set (V): 		dev 
 
Ryan_Kwanten/QQvnMLJwFyE_0000001 22.9 29.9 
Ryan_Kwanten/QQvnMLJwFyE_0000002 33.6 42.3 
Ryan_Kwanten/QQvnMLJwFyE_0000003 47.9 53.7 
Ryan_Kwanten/QQvnMLJwFyE_0000004 57.3 73.8 
Ryan_Kwanten/QQvnMLJwFyE_0000005 89.0 100.3 
Ryan_Kwanten/QQvnMLJwFyE_0000006 101.2 113.7 
Ryan_Kwanten/QQvnMLJwFyE_0000007 166.2 175.0 
Ryan_Kwanten/QQvnMLJwFyE_0000008 176.4 180.6 
Ryan_Kwanten/QQvnMLJwFyE_0000009 192.2 198.8 
Ryan_Kwanten/QQvnMLJwFyE_0000010 216.1 222.4 
Ryan_Kwanten/QQvnMLJwFyE_0000011 230.6 242.8 
Ryan_Kwanten/QQvnMLJwFyE_0000012 244.3 250.2 
Ryan_Kwanten/QQvnMLJwFyE_0000013 259.8 264.1 
Ryan_Kwanten/QQvnMLJwFyE_0000014 285.4 290.7 
Ryan_Kwanten/QQvnMLJwFyE_0000015 295.9 301.1 
Ryan_Kwanten/QQvnMLJwFyE_0000016 340.2 349.6 
Ryan_Kwanten/QQvnMLJwFyE_0000017 350.2 355.2 
Ryan_Kwanten/QQvnMLJwFyE_0000018 355.9 362.8 
Ryan_Kwanten/QQvnMLJwFyE_0000019 386.9 392.0 
