POI: 			Jason_David_Frank 
Youtube ID: 	R0HVPNcOwDI 
Video length: 	1916.8 sec 
Set (V): 		dev 
 
Jason_David_Frank/R0HVPNcOwDI_0000001 144.5 148.8 
Jason_David_Frank/R0HVPNcOwDI_0000002 322.5 329.7 
Jason_David_Frank/R0HVPNcOwDI_0000003 439.7 443.6 
Jason_David_Frank/R0HVPNcOwDI_0000004 496.1 500.1 
Jason_David_Frank/R0HVPNcOwDI_0000005 524.6 528.8 
Jason_David_Frank/R0HVPNcOwDI_0000006 540.0 544.1 
Jason_David_Frank/R0HVPNcOwDI_0000007 570.7 577.1 
Jason_David_Frank/R0HVPNcOwDI_0000008 584.4 590.0 
Jason_David_Frank/R0HVPNcOwDI_0000009 591.6 596.4 
Jason_David_Frank/R0HVPNcOwDI_0000010 618.0 622.5 
Jason_David_Frank/R0HVPNcOwDI_0000011 681.5 686.9 
Jason_David_Frank/R0HVPNcOwDI_0000012 724.0 729.0 
Jason_David_Frank/R0HVPNcOwDI_0000013 909.1 920.0 
Jason_David_Frank/R0HVPNcOwDI_0000014 933.8 938.4 
Jason_David_Frank/R0HVPNcOwDI_0000015 941.6 945.8 
Jason_David_Frank/R0HVPNcOwDI_0000016 948.0 952.1 
Jason_David_Frank/R0HVPNcOwDI_0000017 1049.9 1056.6 
Jason_David_Frank/R0HVPNcOwDI_0000018 1061.9 1065.9 
Jason_David_Frank/R0HVPNcOwDI_0000019 1074.6 1081.8 
Jason_David_Frank/R0HVPNcOwDI_0000020 1097.0 1101.2 
Jason_David_Frank/R0HVPNcOwDI_0000021 1167.3 1172.2 
Jason_David_Frank/R0HVPNcOwDI_0000022 1182.0 1189.8 
Jason_David_Frank/R0HVPNcOwDI_0000023 1206.3 1211.2 
Jason_David_Frank/R0HVPNcOwDI_0000024 1293.9 1305.4 
Jason_David_Frank/R0HVPNcOwDI_0000025 1353.0 1357.8 
Jason_David_Frank/R0HVPNcOwDI_0000026 1396.2 1400.2 
Jason_David_Frank/R0HVPNcOwDI_0000027 1414.7 1419.0 
Jason_David_Frank/R0HVPNcOwDI_0000028 1427.9 1441.1 
Jason_David_Frank/R0HVPNcOwDI_0000029 1441.4 1445.6 
Jason_David_Frank/R0HVPNcOwDI_0000030 1449.5 1457.4 
Jason_David_Frank/R0HVPNcOwDI_0000031 1471.5 1475.7 
Jason_David_Frank/R0HVPNcOwDI_0000032 1488.2 1495.8 
Jason_David_Frank/R0HVPNcOwDI_0000033 1558.5 1563.3 
Jason_David_Frank/R0HVPNcOwDI_0000034 1590.0 1594.8 
Jason_David_Frank/R0HVPNcOwDI_0000035 1634.4 1639.7 
Jason_David_Frank/R0HVPNcOwDI_0000036 1677.0 1681.6 
Jason_David_Frank/R0HVPNcOwDI_0000037 1865.8 1870.7 
