POI: 			Jason_David_Frank 
Youtube ID: 	6O38b1MeET0 
Video length: 	464.2 sec 
Set (V): 		dev 
 
Jason_David_Frank/6O38b1MeET0_0000001 40.3 44.5 
Jason_David_Frank/6O38b1MeET0_0000002 45.2 49.3 
Jason_David_Frank/6O38b1MeET0_0000003 53.1 62.1 
Jason_David_Frank/6O38b1MeET0_0000004 72.8 77.7 
Jason_David_Frank/6O38b1MeET0_0000005 124.4 128.4 
Jason_David_Frank/6O38b1MeET0_0000006 137.0 147.2 
Jason_David_Frank/6O38b1MeET0_0000007 159.3 165.0 
Jason_David_Frank/6O38b1MeET0_0000008 169.4 177.9 
Jason_David_Frank/6O38b1MeET0_0000009 188.6 197.8 
Jason_David_Frank/6O38b1MeET0_0000010 210.5 214.4 
Jason_David_Frank/6O38b1MeET0_0000011 229.3 239.0 
Jason_David_Frank/6O38b1MeET0_0000012 253.2 270.5 
Jason_David_Frank/6O38b1MeET0_0000013 293.5 297.7 
Jason_David_Frank/6O38b1MeET0_0000014 330.8 338.2 
Jason_David_Frank/6O38b1MeET0_0000015 342.5 346.8 
Jason_David_Frank/6O38b1MeET0_0000016 368.8 375.2 
Jason_David_Frank/6O38b1MeET0_0000017 393.2 400.0 
Jason_David_Frank/6O38b1MeET0_0000018 402.2 408.0 
