POI: 			Randeep_Hooda 
Youtube ID: 	OS1I7a4LNww 
Video length: 	791.7 sec 
Set (V): 		dev 
 
Randeep_Hooda/OS1I7a4LNww_0000001 110.4 117.5 
Randeep_Hooda/OS1I7a4LNww_0000002 118.4 123.6 
Randeep_Hooda/OS1I7a4LNww_0000003 124.6 129.6 
Randeep_Hooda/OS1I7a4LNww_0000004 164.0 169.2 
Randeep_Hooda/OS1I7a4LNww_0000005 294.7 304.1 
Randeep_Hooda/OS1I7a4LNww_0000006 307.1 316.0 
Randeep_Hooda/OS1I7a4LNww_0000007 385.9 390.3 
Randeep_Hooda/OS1I7a4LNww_0000008 415.0 420.1 
Randeep_Hooda/OS1I7a4LNww_0000009 431.6 437.2 
Randeep_Hooda/OS1I7a4LNww_0000010 440.5 446.0 
Randeep_Hooda/OS1I7a4LNww_0000011 454.7 459.4 
Randeep_Hooda/OS1I7a4LNww_0000012 483.4 489.1 
Randeep_Hooda/OS1I7a4LNww_0000013 508.6 513.3 
Randeep_Hooda/OS1I7a4LNww_0000014 521.6 528.0 
Randeep_Hooda/OS1I7a4LNww_0000015 530.2 534.2 
Randeep_Hooda/OS1I7a4LNww_0000016 571.7 578.1 
Randeep_Hooda/OS1I7a4LNww_0000017 610.9 619.2 
Randeep_Hooda/OS1I7a4LNww_0000018 621.6 631.8 
