POI: 			Randeep_Hooda 
Youtube ID: 	SK9iVw56wXs 
Video length: 	959.5 sec 
Set (V): 		dev 
 
Randeep_Hooda/SK9iVw56wXs_0000001 74.9 79.0 
Randeep_Hooda/SK9iVw56wXs_0000002 163.3 173.8 
Randeep_Hooda/SK9iVw56wXs_0000003 205.8 209.8 
Randeep_Hooda/SK9iVw56wXs_0000004 211.0 219.1 
Randeep_Hooda/SK9iVw56wXs_0000005 239.6 253.0 
Randeep_Hooda/SK9iVw56wXs_0000006 369.8 375.3 
Randeep_Hooda/SK9iVw56wXs_0000007 377.6 386.7 
Randeep_Hooda/SK9iVw56wXs_0000008 400.3 407.9 
Randeep_Hooda/SK9iVw56wXs_0000009 453.1 460.3 
Randeep_Hooda/SK9iVw56wXs_0000010 518.0 523.4 
Randeep_Hooda/SK9iVw56wXs_0000011 542.9 549.1 
Randeep_Hooda/SK9iVw56wXs_0000012 638.5 644.3 
Randeep_Hooda/SK9iVw56wXs_0000013 653.3 669.6 
Randeep_Hooda/SK9iVw56wXs_0000014 714.9 720.4 
Randeep_Hooda/SK9iVw56wXs_0000015 726.8 732.7 
Randeep_Hooda/SK9iVw56wXs_0000016 784.5 789.9 
Randeep_Hooda/SK9iVw56wXs_0000017 825.7 831.0 
Randeep_Hooda/SK9iVw56wXs_0000018 884.8 891.4 
Randeep_Hooda/SK9iVw56wXs_0000019 897.0 902.4 
