POI: 			Randeep_Hooda 
Youtube ID: 	M2k_enZdWu4 
Video length: 	1673.8 sec 
Set (V): 		dev 
 
Randeep_Hooda/M2k_enZdWu4_0000001 82.8 87.8 
Randeep_Hooda/M2k_enZdWu4_0000002 131.9 137.6 
Randeep_Hooda/M2k_enZdWu4_0000003 193.9 205.4 
Randeep_Hooda/M2k_enZdWu4_0000004 210.1 216.6 
Randeep_Hooda/M2k_enZdWu4_0000005 227.0 231.0 
Randeep_Hooda/M2k_enZdWu4_0000006 237.8 245.7 
Randeep_Hooda/M2k_enZdWu4_0000007 277.5 283.6 
Randeep_Hooda/M2k_enZdWu4_0000008 291.9 298.0 
Randeep_Hooda/M2k_enZdWu4_0000009 344.7 350.5 
Randeep_Hooda/M2k_enZdWu4_0000010 365.3 372.8 
Randeep_Hooda/M2k_enZdWu4_0000011 407.0 411.3 
Randeep_Hooda/M2k_enZdWu4_0000012 453.3 457.5 
Randeep_Hooda/M2k_enZdWu4_0000013 487.9 493.1 
Randeep_Hooda/M2k_enZdWu4_0000014 510.9 515.5 
Randeep_Hooda/M2k_enZdWu4_0000015 542.3 548.0 
Randeep_Hooda/M2k_enZdWu4_0000016 573.0 579.4 
Randeep_Hooda/M2k_enZdWu4_0000017 632.3 639.2 
Randeep_Hooda/M2k_enZdWu4_0000018 649.0 654.7 
Randeep_Hooda/M2k_enZdWu4_0000019 660.0 669.1 
Randeep_Hooda/M2k_enZdWu4_0000020 672.4 676.4 
Randeep_Hooda/M2k_enZdWu4_0000021 730.4 736.3 
Randeep_Hooda/M2k_enZdWu4_0000022 770.9 775.6 
Randeep_Hooda/M2k_enZdWu4_0000023 791.9 798.2 
Randeep_Hooda/M2k_enZdWu4_0000024 817.9 825.2 
Randeep_Hooda/M2k_enZdWu4_0000025 910.8 920.0 
Randeep_Hooda/M2k_enZdWu4_0000026 948.8 953.0 
Randeep_Hooda/M2k_enZdWu4_0000027 1056.3 1061.2 
Randeep_Hooda/M2k_enZdWu4_0000028 1090.4 1100.5 
Randeep_Hooda/M2k_enZdWu4_0000029 1145.7 1150.4 
Randeep_Hooda/M2k_enZdWu4_0000030 1160.6 1165.4 
Randeep_Hooda/M2k_enZdWu4_0000031 1189.9 1195.2 
Randeep_Hooda/M2k_enZdWu4_0000032 1220.8 1227.8 
Randeep_Hooda/M2k_enZdWu4_0000033 1247.4 1252.8 
Randeep_Hooda/M2k_enZdWu4_0000034 1257.4 1261.7 
Randeep_Hooda/M2k_enZdWu4_0000035 1289.6 1297.7 
Randeep_Hooda/M2k_enZdWu4_0000036 1306.0 1310.1 
Randeep_Hooda/M2k_enZdWu4_0000037 1329.1 1333.5 
Randeep_Hooda/M2k_enZdWu4_0000038 1337.4 1342.0 
Randeep_Hooda/M2k_enZdWu4_0000039 1359.6 1365.6 
Randeep_Hooda/M2k_enZdWu4_0000040 1441.6 1447.2 
Randeep_Hooda/M2k_enZdWu4_0000041 1454.9 1459.5 
Randeep_Hooda/M2k_enZdWu4_0000042 1489.2 1493.6 
Randeep_Hooda/M2k_enZdWu4_0000043 1531.6 1541.4 
Randeep_Hooda/M2k_enZdWu4_0000044 1564.7 1571.6 
Randeep_Hooda/M2k_enZdWu4_0000045 1596.1 1601.3 
Randeep_Hooda/M2k_enZdWu4_0000046 1615.0 1619.8 
Randeep_Hooda/M2k_enZdWu4_0000047 1625.5 1634.0 
Randeep_Hooda/M2k_enZdWu4_0000048 1650.8 1664.2 
