POI: 			Kimberly_Williams-Paisley 
Youtube ID: 	UPWCLTOQARI 
Video length: 	1539.0 sec 
Set (V): 		dev 
 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000001 87.0 97.8 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000002 101.0 105.1 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000003 107.4 135.0 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000004 137.5 141.6 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000005 151.7 174.4 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000006 174.7 180.4 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000007 183.4 191.6 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000008 181.6 226.1 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000009 227.2 260.6 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000010 265.9 278.8 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000011 281.8 290.5 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000012 299.6 311.5 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000013 313.4 322.6 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000014 323.4 340.3 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000015 341.0 348.8 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000016 349.3 369.2 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000017 370.8 382.1 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000018 384.0 391.3 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000019 394.4 416.2 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000020 420.6 430.9 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000021 431.4 441.9 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000022 446.2 459.3 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000023 459.8 465.3 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000024 467.2 471.7 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000025 473.1 477.7 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000026 480.2 490.7 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000027 503.1 512.4 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000028 514.8 519.4 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000029 522.0 533.9 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000030 534.0 539.0 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000031 542.2 556.6 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000032 778.3 787.2 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000033 788.0 797.9 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000034 799.5 805.4 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000035 806.4 814.8 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000036 815.6 820.0 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000037 820.1 827.2 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000038 827.3 841.1 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000039 842.6 847.6 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000040 989.2 999.5 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000041 1001.8 1019.6 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000042 1022.5 1033.5 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000043 1034.5 1041.1 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000044 1044.3 1055.3 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000045 1089.4 1099.7 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000046 1102.8 1116.2 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000047 1116.6 1128.6 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000048 1144.5 1158.8 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000049 1290.4 1294.3 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000050 1296.2 1309.3 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000051 1310.3 1386.6 
Kimberly_Williams-Paisley/UPWCLTOQARI_0000052 1387.0 1392.9 
