POI: 			Bellamy_Young 
Youtube ID: 	1M4q6CQM5pA 
Video length: 	442.7 sec 
Set (V): 		dev 
 
Bellamy_Young/1M4q6CQM5pA_0000001 43.3 48.6 
Bellamy_Young/1M4q6CQM5pA_0000002 94.0 99.2 
Bellamy_Young/1M4q6CQM5pA_0000003 100.6 105.2 
Bellamy_Young/1M4q6CQM5pA_0000004 111.7 121.0 
Bellamy_Young/1M4q6CQM5pA_0000005 121.1 127.4 
Bellamy_Young/1M4q6CQM5pA_0000006 128.2 132.9 
Bellamy_Young/1M4q6CQM5pA_0000007 153.8 166.7 
Bellamy_Young/1M4q6CQM5pA_0000008 166.9 175.1 
Bellamy_Young/1M4q6CQM5pA_0000009 178.0 191.6 
Bellamy_Young/1M4q6CQM5pA_0000010 196.3 201.1 
Bellamy_Young/1M4q6CQM5pA_0000011 231.6 236.7 
Bellamy_Young/1M4q6CQM5pA_0000012 248.2 253.8 
Bellamy_Young/1M4q6CQM5pA_0000013 258.2 265.6 
Bellamy_Young/1M4q6CQM5pA_0000014 267.8 273.6 
Bellamy_Young/1M4q6CQM5pA_0000015 314.7 320.5 
Bellamy_Young/1M4q6CQM5pA_0000016 321.4 334.0 
Bellamy_Young/1M4q6CQM5pA_0000017 360.2 364.3 
Bellamy_Young/1M4q6CQM5pA_0000018 366.5 371.4 
Bellamy_Young/1M4q6CQM5pA_0000019 373.0 377.4 
Bellamy_Young/1M4q6CQM5pA_0000020 391.2 396.2 
Bellamy_Young/1M4q6CQM5pA_0000021 413.2 424.4 
