POI: 			Moritz_Bleibtreu 
Youtube ID: 	ktpj6iCQTRs 
Video length: 	755.9 sec 
Set (V): 		dev 
 
Moritz_Bleibtreu/ktpj6iCQTRs_0000001 80.5 86.2 
Moritz_Bleibtreu/ktpj6iCQTRs_0000002 121.9 131.0 
Moritz_Bleibtreu/ktpj6iCQTRs_0000003 151.2 155.9 
Moritz_Bleibtreu/ktpj6iCQTRs_0000004 156.2 163.7 
Moritz_Bleibtreu/ktpj6iCQTRs_0000005 163.8 168.0 
Moritz_Bleibtreu/ktpj6iCQTRs_0000006 184.4 190.0 
Moritz_Bleibtreu/ktpj6iCQTRs_0000007 191.9 197.9 
Moritz_Bleibtreu/ktpj6iCQTRs_0000008 277.8 284.7 
Moritz_Bleibtreu/ktpj6iCQTRs_0000009 295.3 304.5 
Moritz_Bleibtreu/ktpj6iCQTRs_0000010 314.5 326.8 
Moritz_Bleibtreu/ktpj6iCQTRs_0000011 326.9 334.3 
Moritz_Bleibtreu/ktpj6iCQTRs_0000012 369.0 373.5 
Moritz_Bleibtreu/ktpj6iCQTRs_0000013 411.2 423.1 
Moritz_Bleibtreu/ktpj6iCQTRs_0000014 471.1 481.8 
Moritz_Bleibtreu/ktpj6iCQTRs_0000015 481.8 486.5 
Moritz_Bleibtreu/ktpj6iCQTRs_0000016 489.4 498.9 
Moritz_Bleibtreu/ktpj6iCQTRs_0000017 600.8 604.8 
Moritz_Bleibtreu/ktpj6iCQTRs_0000018 651.2 655.9 
Moritz_Bleibtreu/ktpj6iCQTRs_0000019 684.7 693.0 
Moritz_Bleibtreu/ktpj6iCQTRs_0000020 712.0 717.9 
