POI: 			Moritz_Bleibtreu 
Youtube ID: 	LkHOpz6Yo1o 
Video length: 	302.6 sec 
Set (V): 		dev 
 
Moritz_Bleibtreu/LkHOpz6Yo1o_0000001 09.8 40.1 
Moritz_Bleibtreu/LkHOpz6Yo1o_0000002 42.4 54.6 
Moritz_Bleibtreu/LkHOpz6Yo1o_0000003 56.6 61.3 
Moritz_Bleibtreu/LkHOpz6Yo1o_0000004 74.2 83.9 
Moritz_Bleibtreu/LkHOpz6Yo1o_0000005 91.6 112.3 
Moritz_Bleibtreu/LkHOpz6Yo1o_0000006 117.7 124.3 
Moritz_Bleibtreu/LkHOpz6Yo1o_0000007 127.8 139.8 
Moritz_Bleibtreu/LkHOpz6Yo1o_0000008 124.7 144.7 
Moritz_Bleibtreu/LkHOpz6Yo1o_0000009 147.8 154.4 
Moritz_Bleibtreu/LkHOpz6Yo1o_0000010 174.6 178.5 
Moritz_Bleibtreu/LkHOpz6Yo1o_0000011 186.5 199.5 
Moritz_Bleibtreu/LkHOpz6Yo1o_0000012 200.1 207.6 
Moritz_Bleibtreu/LkHOpz6Yo1o_0000013 170.7 179.6 
Moritz_Bleibtreu/LkHOpz6Yo1o_0000014 179.8 183.9 
Moritz_Bleibtreu/LkHOpz6Yo1o_0000015 214.8 218.8 
Moritz_Bleibtreu/LkHOpz6Yo1o_0000016 219.1 232.0 
Moritz_Bleibtreu/LkHOpz6Yo1o_0000017 248.0 259.5 
Moritz_Bleibtreu/LkHOpz6Yo1o_0000018 262.8 268.6 
Moritz_Bleibtreu/LkHOpz6Yo1o_0000019 269.7 283.8 
Moritz_Bleibtreu/LkHOpz6Yo1o_0000020 284.5 290.3 
