POI: 			Ben_Feldman 
Youtube ID: 	KmRiUohGQ0A 
Video length: 	1293.8 sec 
Set (V): 		dev 
 
Ben_Feldman/KmRiUohGQ0A_0000001 40.7 45.2 
Ben_Feldman/KmRiUohGQ0A_0000002 60.4 65.3 
Ben_Feldman/KmRiUohGQ0A_0000003 81.4 86.7 
Ben_Feldman/KmRiUohGQ0A_0000004 89.7 97.7 
Ben_Feldman/KmRiUohGQ0A_0000005 105.2 109.7 
Ben_Feldman/KmRiUohGQ0A_0000006 114.0 123.7 
Ben_Feldman/KmRiUohGQ0A_0000007 165.0 170.8 
Ben_Feldman/KmRiUohGQ0A_0000008 188.9 200.0 
Ben_Feldman/KmRiUohGQ0A_0000009 200.9 209.3 
Ben_Feldman/KmRiUohGQ0A_0000010 221.7 226.3 
Ben_Feldman/KmRiUohGQ0A_0000011 229.4 238.1 
Ben_Feldman/KmRiUohGQ0A_0000012 271.9 276.2 
Ben_Feldman/KmRiUohGQ0A_0000013 288.7 294.0 
Ben_Feldman/KmRiUohGQ0A_0000014 306.8 312.7 
Ben_Feldman/KmRiUohGQ0A_0000015 325.1 331.9 
Ben_Feldman/KmRiUohGQ0A_0000016 358.0 362.1 
Ben_Feldman/KmRiUohGQ0A_0000017 363.0 368.0 
Ben_Feldman/KmRiUohGQ0A_0000018 369.8 374.4 
Ben_Feldman/KmRiUohGQ0A_0000019 447.7 454.0 
Ben_Feldman/KmRiUohGQ0A_0000020 459.1 463.4 
Ben_Feldman/KmRiUohGQ0A_0000021 468.0 474.8 
Ben_Feldman/KmRiUohGQ0A_0000022 479.7 499.2 
Ben_Feldman/KmRiUohGQ0A_0000023 510.1 515.7 
Ben_Feldman/KmRiUohGQ0A_0000024 542.1 553.0 
Ben_Feldman/KmRiUohGQ0A_0000025 583.2 587.3 
Ben_Feldman/KmRiUohGQ0A_0000026 596.1 600.5 
Ben_Feldman/KmRiUohGQ0A_0000027 632.7 640.2 
Ben_Feldman/KmRiUohGQ0A_0000028 660.1 665.2 
Ben_Feldman/KmRiUohGQ0A_0000029 666.5 685.7 
Ben_Feldman/KmRiUohGQ0A_0000030 709.8 717.4 
Ben_Feldman/KmRiUohGQ0A_0000031 719.7 726.2 
Ben_Feldman/KmRiUohGQ0A_0000032 733.8 745.0 
Ben_Feldman/KmRiUohGQ0A_0000033 762.1 768.6 
Ben_Feldman/KmRiUohGQ0A_0000034 775.5 789.2 
Ben_Feldman/KmRiUohGQ0A_0000035 828.6 835.2 
Ben_Feldman/KmRiUohGQ0A_0000036 832.8 837.2 
Ben_Feldman/KmRiUohGQ0A_0000037 846.6 851.1 
Ben_Feldman/KmRiUohGQ0A_0000038 868.2 873.1 
Ben_Feldman/KmRiUohGQ0A_0000039 919.8 924.0 
Ben_Feldman/KmRiUohGQ0A_0000040 979.4 984.2 
Ben_Feldman/KmRiUohGQ0A_0000041 997.5 1002.4 
Ben_Feldman/KmRiUohGQ0A_0000042 1015.5 1019.5 
Ben_Feldman/KmRiUohGQ0A_0000043 1032.4 1038.1 
Ben_Feldman/KmRiUohGQ0A_0000044 1046.0 1050.1 
Ben_Feldman/KmRiUohGQ0A_0000045 1050.6 1064.6 
