POI: 			Kristian_Alfonso 
Youtube ID: 	eUj4oWJX1lU 
Video length: 	367.4 sec 
Set (V): 		dev 
 
Kristian_Alfonso/eUj4oWJX1lU_0000001 12.4 23.4 
Kristian_Alfonso/eUj4oWJX1lU_0000002 26.7 49.4 
Kristian_Alfonso/eUj4oWJX1lU_0000003 53.3 60.4 
Kristian_Alfonso/eUj4oWJX1lU_0000004 63.2 72.2 
Kristian_Alfonso/eUj4oWJX1lU_0000005 73.1 106.4 
Kristian_Alfonso/eUj4oWJX1lU_0000006 107.0 125.4 
Kristian_Alfonso/eUj4oWJX1lU_0000007 129.3 133.8 
Kristian_Alfonso/eUj4oWJX1lU_0000008 158.5 164.9 
Kristian_Alfonso/eUj4oWJX1lU_0000009 172.0 181.9 
Kristian_Alfonso/eUj4oWJX1lU_0000010 191.8 197.6 
Kristian_Alfonso/eUj4oWJX1lU_0000011 203.0 209.0 
Kristian_Alfonso/eUj4oWJX1lU_0000012 215.9 245.9 
Kristian_Alfonso/eUj4oWJX1lU_0000013 259.8 276.2 
Kristian_Alfonso/eUj4oWJX1lU_0000014 287.2 316.6 
Kristian_Alfonso/eUj4oWJX1lU_0000015 315.4 320.6 
Kristian_Alfonso/eUj4oWJX1lU_0000016 324.5 332.0 
Kristian_Alfonso/eUj4oWJX1lU_0000017 332.9 344.0 
Kristian_Alfonso/eUj4oWJX1lU_0000018 346.0 350.3 
Kristian_Alfonso/eUj4oWJX1lU_0000019 352.4 362.6 
