POI: 			Whitney_Cummings 
Youtube ID: 	oIy4wXHJhWo 
Video length: 	2802.8 sec 
Set (V): 		dev 
 
Whitney_Cummings/oIy4wXHJhWo_0000001 50.0 57.4 
Whitney_Cummings/oIy4wXHJhWo_0000002 127.2 136.6 
Whitney_Cummings/oIy4wXHJhWo_0000003 177.7 187.6 
Whitney_Cummings/oIy4wXHJhWo_0000004 338.5 345.9 
Whitney_Cummings/oIy4wXHJhWo_0000005 359.6 364.9 
Whitney_Cummings/oIy4wXHJhWo_0000006 424.3 429.1 
Whitney_Cummings/oIy4wXHJhWo_0000007 433.8 444.4 
Whitney_Cummings/oIy4wXHJhWo_0000008 457.9 462.6 
Whitney_Cummings/oIy4wXHJhWo_0000009 480.5 504.8 
Whitney_Cummings/oIy4wXHJhWo_0000010 524.8 528.8 
Whitney_Cummings/oIy4wXHJhWo_0000011 540.6 550.5 
Whitney_Cummings/oIy4wXHJhWo_0000012 640.8 646.7 
Whitney_Cummings/oIy4wXHJhWo_0000013 667.0 671.8 
Whitney_Cummings/oIy4wXHJhWo_0000014 681.7 686.4 
Whitney_Cummings/oIy4wXHJhWo_0000015 709.7 714.7 
Whitney_Cummings/oIy4wXHJhWo_0000016 716.6 722.1 
Whitney_Cummings/oIy4wXHJhWo_0000017 739.1 743.6 
Whitney_Cummings/oIy4wXHJhWo_0000018 761.1 772.7 
Whitney_Cummings/oIy4wXHJhWo_0000019 808.2 812.5 
Whitney_Cummings/oIy4wXHJhWo_0000020 910.2 916.5 
Whitney_Cummings/oIy4wXHJhWo_0000021 936.8 950.6 
Whitney_Cummings/oIy4wXHJhWo_0000022 981.8 990.2 
Whitney_Cummings/oIy4wXHJhWo_0000023 1066.4 1073.0 
Whitney_Cummings/oIy4wXHJhWo_0000024 1086.6 1095.3 
Whitney_Cummings/oIy4wXHJhWo_0000025 1126.3 1135.0 
Whitney_Cummings/oIy4wXHJhWo_0000026 1155.2 1161.7 
Whitney_Cummings/oIy4wXHJhWo_0000027 1217.4 1227.7 
Whitney_Cummings/oIy4wXHJhWo_0000028 1240.4 1246.2 
Whitney_Cummings/oIy4wXHJhWo_0000029 1279.2 1285.5 
Whitney_Cummings/oIy4wXHJhWo_0000030 1286.1 1291.1 
Whitney_Cummings/oIy4wXHJhWo_0000031 1312.7 1320.2 
Whitney_Cummings/oIy4wXHJhWo_0000032 1320.4 1339.6 
Whitney_Cummings/oIy4wXHJhWo_0000033 1344.4 1350.7 
Whitney_Cummings/oIy4wXHJhWo_0000034 1424.3 1429.9 
Whitney_Cummings/oIy4wXHJhWo_0000035 1441.8 1446.0 
Whitney_Cummings/oIy4wXHJhWo_0000036 1500.0 1514.9 
Whitney_Cummings/oIy4wXHJhWo_0000037 1537.4 1551.9 
Whitney_Cummings/oIy4wXHJhWo_0000038 1553.8 1563.5 
Whitney_Cummings/oIy4wXHJhWo_0000039 1561.2 1568.8 
Whitney_Cummings/oIy4wXHJhWo_0000040 1604.5 1610.5 
Whitney_Cummings/oIy4wXHJhWo_0000041 1705.6 1713.4 
Whitney_Cummings/oIy4wXHJhWo_0000042 1744.8 1749.7 
Whitney_Cummings/oIy4wXHJhWo_0000043 1780.9 1785.0 
Whitney_Cummings/oIy4wXHJhWo_0000044 1788.3 1801.0 
Whitney_Cummings/oIy4wXHJhWo_0000045 1797.4 1805.1 
Whitney_Cummings/oIy4wXHJhWo_0000046 1823.2 1828.2 
Whitney_Cummings/oIy4wXHJhWo_0000047 1838.3 1843.0 
Whitney_Cummings/oIy4wXHJhWo_0000048 1847.2 1854.0 
Whitney_Cummings/oIy4wXHJhWo_0000049 1866.8 1871.2 
Whitney_Cummings/oIy4wXHJhWo_0000050 1870.2 1878.1 
Whitney_Cummings/oIy4wXHJhWo_0000051 1925.0 1933.4 
Whitney_Cummings/oIy4wXHJhWo_0000052 1938.0 1942.6 
Whitney_Cummings/oIy4wXHJhWo_0000053 1980.2 1989.1 
Whitney_Cummings/oIy4wXHJhWo_0000054 2137.5 2144.9 
Whitney_Cummings/oIy4wXHJhWo_0000055 2180.4 2188.7 
Whitney_Cummings/oIy4wXHJhWo_0000056 2188.7 2195.9 
Whitney_Cummings/oIy4wXHJhWo_0000057 2253.2 2260.5 
Whitney_Cummings/oIy4wXHJhWo_0000058 2271.0 2279.5 
Whitney_Cummings/oIy4wXHJhWo_0000059 2297.3 2302.6 
Whitney_Cummings/oIy4wXHJhWo_0000060 2311.7 2316.0 
Whitney_Cummings/oIy4wXHJhWo_0000061 2338.9 2343.6 
Whitney_Cummings/oIy4wXHJhWo_0000062 2345.8 2358.4 
Whitney_Cummings/oIy4wXHJhWo_0000063 2408.7 2416.0 
Whitney_Cummings/oIy4wXHJhWo_0000064 2485.9 2490.3 
Whitney_Cummings/oIy4wXHJhWo_0000065 2501.6 2506.4 
Whitney_Cummings/oIy4wXHJhWo_0000066 2518.1 2529.2 
Whitney_Cummings/oIy4wXHJhWo_0000067 2543.2 2562.7 
Whitney_Cummings/oIy4wXHJhWo_0000068 2587.3 2591.5 
Whitney_Cummings/oIy4wXHJhWo_0000069 2603.4 2613.8 
Whitney_Cummings/oIy4wXHJhWo_0000070 2684.0 2697.8 
Whitney_Cummings/oIy4wXHJhWo_0000071 2745.0 2751.6 
Whitney_Cummings/oIy4wXHJhWo_0000072 2768.6 2773.1 
