POI: 			Carrie_Fisher 
Youtube ID: 	6a6VS3IjMC4 
Video length: 	1070.5 sec 
Set (V): 		dev 
 
Carrie_Fisher/6a6VS3IjMC4_0000001 51.3 63.1 
Carrie_Fisher/6a6VS3IjMC4_0000002 78.6 88.1 
Carrie_Fisher/6a6VS3IjMC4_0000003 124.5 131.8 
Carrie_Fisher/6a6VS3IjMC4_0000004 144.0 151.6 
Carrie_Fisher/6a6VS3IjMC4_0000005 156.7 160.9 
Carrie_Fisher/6a6VS3IjMC4_0000006 175.8 179.7 
Carrie_Fisher/6a6VS3IjMC4_0000007 207.2 213.0 
Carrie_Fisher/6a6VS3IjMC4_0000008 226.1 235.9 
Carrie_Fisher/6a6VS3IjMC4_0000009 270.8 276.0 
Carrie_Fisher/6a6VS3IjMC4_0000010 315.8 320.2 
Carrie_Fisher/6a6VS3IjMC4_0000011 322.3 327.1 
Carrie_Fisher/6a6VS3IjMC4_0000012 445.0 453.4 
Carrie_Fisher/6a6VS3IjMC4_0000013 458.3 462.6 
Carrie_Fisher/6a6VS3IjMC4_0000014 510.0 515.1 
Carrie_Fisher/6a6VS3IjMC4_0000015 515.5 520.5 
Carrie_Fisher/6a6VS3IjMC4_0000016 548.7 554.1 
Carrie_Fisher/6a6VS3IjMC4_0000017 560.4 566.0 
Carrie_Fisher/6a6VS3IjMC4_0000018 571.3 580.6 
Carrie_Fisher/6a6VS3IjMC4_0000019 580.9 588.2 
Carrie_Fisher/6a6VS3IjMC4_0000020 609.1 613.8 
Carrie_Fisher/6a6VS3IjMC4_0000021 613.9 619.0 
Carrie_Fisher/6a6VS3IjMC4_0000022 629.0 634.7 
Carrie_Fisher/6a6VS3IjMC4_0000023 662.5 667.1 
Carrie_Fisher/6a6VS3IjMC4_0000024 766.9 772.5 
Carrie_Fisher/6a6VS3IjMC4_0000025 775.8 782.4 
Carrie_Fisher/6a6VS3IjMC4_0000026 786.6 791.8 
Carrie_Fisher/6a6VS3IjMC4_0000027 792.2 798.1 
Carrie_Fisher/6a6VS3IjMC4_0000028 980.7 985.0 
