POI: 			Noomi_Rapace 
Youtube ID: 	tWpZt8roR3E 
Video length: 	751.2 sec 
Set (V): 		dev 
 
Noomi_Rapace/tWpZt8roR3E_0000001 19.4 28.8 
Noomi_Rapace/tWpZt8roR3E_0000002 35.6 40.6 
Noomi_Rapace/tWpZt8roR3E_0000003 46.1 58.1 
Noomi_Rapace/tWpZt8roR3E_0000004 59.0 63.8 
Noomi_Rapace/tWpZt8roR3E_0000005 66.2 76.5 
Noomi_Rapace/tWpZt8roR3E_0000006 85.8 102.3 
Noomi_Rapace/tWpZt8roR3E_0000007 106.4 115.6 
Noomi_Rapace/tWpZt8roR3E_0000008 117.6 122.4 
Noomi_Rapace/tWpZt8roR3E_0000009 122.6 138.4 
Noomi_Rapace/tWpZt8roR3E_0000010 144.7 148.8 
Noomi_Rapace/tWpZt8roR3E_0000011 156.8 169.3 
Noomi_Rapace/tWpZt8roR3E_0000012 170.6 181.7 
Noomi_Rapace/tWpZt8roR3E_0000013 191.8 197.8 
Noomi_Rapace/tWpZt8roR3E_0000014 198.2 205.7 
Noomi_Rapace/tWpZt8roR3E_0000015 209.3 216.4 
Noomi_Rapace/tWpZt8roR3E_0000016 218.4 224.9 
Noomi_Rapace/tWpZt8roR3E_0000017 229.5 233.7 
Noomi_Rapace/tWpZt8roR3E_0000018 238.3 260.3 
Noomi_Rapace/tWpZt8roR3E_0000019 268.6 277.5 
Noomi_Rapace/tWpZt8roR3E_0000020 278.0 286.0 
Noomi_Rapace/tWpZt8roR3E_0000021 291.2 296.7 
Noomi_Rapace/tWpZt8roR3E_0000022 293.6 299.7 
Noomi_Rapace/tWpZt8roR3E_0000023 312.1 323.2 
Noomi_Rapace/tWpZt8roR3E_0000024 326.5 331.4 
Noomi_Rapace/tWpZt8roR3E_0000025 331.7 336.6 
Noomi_Rapace/tWpZt8roR3E_0000026 345.0 357.1 
Noomi_Rapace/tWpZt8roR3E_0000027 363.1 372.1 
Noomi_Rapace/tWpZt8roR3E_0000028 381.5 391.6 
Noomi_Rapace/tWpZt8roR3E_0000029 419.4 424.1 
Noomi_Rapace/tWpZt8roR3E_0000030 427.2 434.7 
Noomi_Rapace/tWpZt8roR3E_0000031 443.6 450.4 
Noomi_Rapace/tWpZt8roR3E_0000032 454.0 459.2 
Noomi_Rapace/tWpZt8roR3E_0000033 459.5 467.2 
Noomi_Rapace/tWpZt8roR3E_0000034 472.4 477.2 
Noomi_Rapace/tWpZt8roR3E_0000035 478.4 485.5 
Noomi_Rapace/tWpZt8roR3E_0000036 495.4 501.0 
Noomi_Rapace/tWpZt8roR3E_0000037 533.8 538.0 
Noomi_Rapace/tWpZt8roR3E_0000038 582.2 586.2 
Noomi_Rapace/tWpZt8roR3E_0000039 587.4 605.3 
Noomi_Rapace/tWpZt8roR3E_0000040 634.9 640.3 
Noomi_Rapace/tWpZt8roR3E_0000041 648.3 653.0 
Noomi_Rapace/tWpZt8roR3E_0000042 684.6 688.9 
Noomi_Rapace/tWpZt8roR3E_0000043 691.6 709.8 
Noomi_Rapace/tWpZt8roR3E_0000044 716.2 721.6 
Noomi_Rapace/tWpZt8roR3E_0000045 722.2 737.5 
Noomi_Rapace/tWpZt8roR3E_0000046 737.8 747.4 
