POI: 			Todd_Lasance 
Youtube ID: 	VJ__L3391hU 
Video length: 	499.1 sec 
Set (V): 		dev 
 
Todd_Lasance/VJ__L3391hU_0000001 27.2 31.7 
Todd_Lasance/VJ__L3391hU_0000002 110.2 116.5 
Todd_Lasance/VJ__L3391hU_0000003 117.4 121.8 
Todd_Lasance/VJ__L3391hU_0000004 131.2 152.2 
Todd_Lasance/VJ__L3391hU_0000005 152.5 157.7 
Todd_Lasance/VJ__L3391hU_0000006 164.7 170.3 
Todd_Lasance/VJ__L3391hU_0000007 190.6 198.4 
Todd_Lasance/VJ__L3391hU_0000008 205.3 222.8 
Todd_Lasance/VJ__L3391hU_0000009 224.1 231.3 
Todd_Lasance/VJ__L3391hU_0000010 273.8 279.6 
Todd_Lasance/VJ__L3391hU_0000011 283.3 291.2 
Todd_Lasance/VJ__L3391hU_0000012 292.5 300.0 
Todd_Lasance/VJ__L3391hU_0000013 328.3 353.3 
Todd_Lasance/VJ__L3391hU_0000014 356.2 369.2 
Todd_Lasance/VJ__L3391hU_0000015 374.2 380.1 
Todd_Lasance/VJ__L3391hU_0000016 380.5 385.4 
Todd_Lasance/VJ__L3391hU_0000017 389.9 394.9 
Todd_Lasance/VJ__L3391hU_0000018 427.7 432.8 
Todd_Lasance/VJ__L3391hU_0000019 433.6 438.0 
Todd_Lasance/VJ__L3391hU_0000020 438.6 452.1 
Todd_Lasance/VJ__L3391hU_0000021 452.7 457.4 
Todd_Lasance/VJ__L3391hU_0000022 460.8 467.0 
Todd_Lasance/VJ__L3391hU_0000023 467.9 476.9 
