POI: 			Morena_Baccarin 
Youtube ID: 	7TNJqPY_6zg 
Video length: 	348.9 sec 
Set (V): 		dev 
 
Morena_Baccarin/7TNJqPY_6zg_0000001 26.7 45.4 
Morena_Baccarin/7TNJqPY_6zg_0000002 63.2 70.6 
Morena_Baccarin/7TNJqPY_6zg_0000003 70.7 91.6 
Morena_Baccarin/7TNJqPY_6zg_0000004 96.0 100.3 
Morena_Baccarin/7TNJqPY_6zg_0000005 111.2 120.2 
Morena_Baccarin/7TNJqPY_6zg_0000006 153.4 168.1 
Morena_Baccarin/7TNJqPY_6zg_0000007 181.3 192.7 
Morena_Baccarin/7TNJqPY_6zg_0000008 209.8 222.6 
Morena_Baccarin/7TNJqPY_6zg_0000009 228.0 234.0 
Morena_Baccarin/7TNJqPY_6zg_0000010 243.2 247.6 
Morena_Baccarin/7TNJqPY_6zg_0000011 249.4 261.2 
Morena_Baccarin/7TNJqPY_6zg_0000012 269.6 277.0 
Morena_Baccarin/7TNJqPY_6zg_0000013 277.2 281.2 
Morena_Baccarin/7TNJqPY_6zg_0000014 281.6 293.2 
Morena_Baccarin/7TNJqPY_6zg_0000015 296.7 314.3 
Morena_Baccarin/7TNJqPY_6zg_0000016 335.2 341.6 
