POI: 			Gugu_Mbatha-Raw 
Youtube ID: 	Re3WsKPKqyc 
Video length: 	345.8 sec 
Set (V): 		dev 
 
Gugu_Mbatha-Raw/Re3WsKPKqyc_0000001 29.4 35.3 
Gugu_Mbatha-Raw/Re3WsKPKqyc_0000002 37.4 48.1 
Gugu_Mbatha-Raw/Re3WsKPKqyc_0000003 48.8 64.0 
Gugu_Mbatha-Raw/Re3WsKPKqyc_0000004 73.6 80.5 
Gugu_Mbatha-Raw/Re3WsKPKqyc_0000005 83.4 90.8 
Gugu_Mbatha-Raw/Re3WsKPKqyc_0000006 94.5 116.0 
Gugu_Mbatha-Raw/Re3WsKPKqyc_0000007 116.4 125.8 
Gugu_Mbatha-Raw/Re3WsKPKqyc_0000008 144.6 158.2 
Gugu_Mbatha-Raw/Re3WsKPKqyc_0000009 162.4 167.5 
Gugu_Mbatha-Raw/Re3WsKPKqyc_0000010 171.4 187.5 
Gugu_Mbatha-Raw/Re3WsKPKqyc_0000011 192.1 203.2 
Gugu_Mbatha-Raw/Re3WsKPKqyc_0000012 216.6 222.5 
Gugu_Mbatha-Raw/Re3WsKPKqyc_0000013 222.6 243.3 
Gugu_Mbatha-Raw/Re3WsKPKqyc_0000014 243.6 260.0 
Gugu_Mbatha-Raw/Re3WsKPKqyc_0000015 275.1 279.8 
Gugu_Mbatha-Raw/Re3WsKPKqyc_0000016 280.8 293.2 
Gugu_Mbatha-Raw/Re3WsKPKqyc_0000017 296.9 323.8 
