POI: 			Carrie_Underwood 
Youtube ID: 	u1bfDNe07tM 
Video length: 	1983.4 sec 
Set (V): 		dev 
 
Carrie_Underwood/u1bfDNe07tM_0000001 64.2 72.3 
Carrie_Underwood/u1bfDNe07tM_0000002 76.4 81.0 
Carrie_Underwood/u1bfDNe07tM_0000003 133.9 142.1 
Carrie_Underwood/u1bfDNe07tM_0000004 145.3 149.3 
Carrie_Underwood/u1bfDNe07tM_0000005 151.9 164.7 
Carrie_Underwood/u1bfDNe07tM_0000006 173.8 182.2 
Carrie_Underwood/u1bfDNe07tM_0000007 182.4 192.1 
Carrie_Underwood/u1bfDNe07tM_0000008 248.6 252.8 
Carrie_Underwood/u1bfDNe07tM_0000009 253.0 269.5 
Carrie_Underwood/u1bfDNe07tM_0000010 270.0 274.1 
Carrie_Underwood/u1bfDNe07tM_0000011 292.7 299.8 
Carrie_Underwood/u1bfDNe07tM_0000012 358.0 367.1 
Carrie_Underwood/u1bfDNe07tM_0000013 371.5 384.4 
Carrie_Underwood/u1bfDNe07tM_0000014 407.3 412.1 
Carrie_Underwood/u1bfDNe07tM_0000015 450.0 460.2 
Carrie_Underwood/u1bfDNe07tM_0000016 462.7 470.4 
Carrie_Underwood/u1bfDNe07tM_0000017 498.1 507.5 
Carrie_Underwood/u1bfDNe07tM_0000018 509.6 518.6 
Carrie_Underwood/u1bfDNe07tM_0000019 571.0 575.9 
Carrie_Underwood/u1bfDNe07tM_0000020 576.9 583.1 
Carrie_Underwood/u1bfDNe07tM_0000021 583.2 597.4 
Carrie_Underwood/u1bfDNe07tM_0000022 602.2 612.7 
Carrie_Underwood/u1bfDNe07tM_0000023 691.8 700.5 
Carrie_Underwood/u1bfDNe07tM_0000024 732.2 739.3 
Carrie_Underwood/u1bfDNe07tM_0000025 740.0 749.8 
Carrie_Underwood/u1bfDNe07tM_0000026 754.0 772.8 
Carrie_Underwood/u1bfDNe07tM_0000027 795.2 805.4 
Carrie_Underwood/u1bfDNe07tM_0000028 808.0 815.8 
Carrie_Underwood/u1bfDNe07tM_0000029 816.4 828.0 
Carrie_Underwood/u1bfDNe07tM_0000030 851.8 857.6 
Carrie_Underwood/u1bfDNe07tM_0000031 934.4 943.3 
Carrie_Underwood/u1bfDNe07tM_0000032 944.1 949.7 
Carrie_Underwood/u1bfDNe07tM_0000033 960.2 969.1 
Carrie_Underwood/u1bfDNe07tM_0000034 969.5 974.2 
Carrie_Underwood/u1bfDNe07tM_0000035 974.7 992.1 
Carrie_Underwood/u1bfDNe07tM_0000036 992.8 1003.5 
Carrie_Underwood/u1bfDNe07tM_0000037 1034.6 1046.2 
Carrie_Underwood/u1bfDNe07tM_0000038 1049.5 1057.0 
Carrie_Underwood/u1bfDNe07tM_0000039 1108.8 1126.0 
Carrie_Underwood/u1bfDNe07tM_0000040 1126.3 1131.2 
Carrie_Underwood/u1bfDNe07tM_0000041 1131.9 1143.8 
Carrie_Underwood/u1bfDNe07tM_0000042 1151.0 1155.9 
Carrie_Underwood/u1bfDNe07tM_0000043 1174.5 1179.5 
Carrie_Underwood/u1bfDNe07tM_0000044 1210.2 1217.6 
Carrie_Underwood/u1bfDNe07tM_0000045 1235.0 1240.3 
Carrie_Underwood/u1bfDNe07tM_0000046 1240.6 1255.9 
Carrie_Underwood/u1bfDNe07tM_0000047 1259.1 1263.3 
Carrie_Underwood/u1bfDNe07tM_0000048 1277.2 1284.6 
Carrie_Underwood/u1bfDNe07tM_0000049 1285.2 1299.0 
Carrie_Underwood/u1bfDNe07tM_0000050 1310.0 1321.2 
Carrie_Underwood/u1bfDNe07tM_0000051 1321.4 1326.8 
Carrie_Underwood/u1bfDNe07tM_0000052 1354.0 1357.9 
Carrie_Underwood/u1bfDNe07tM_0000053 1363.3 1369.6 
Carrie_Underwood/u1bfDNe07tM_0000054 1408.4 1429.5 
Carrie_Underwood/u1bfDNe07tM_0000055 1430.7 1438.0 
Carrie_Underwood/u1bfDNe07tM_0000056 1439.0 1464.0 
Carrie_Underwood/u1bfDNe07tM_0000057 1464.8 1470.8 
Carrie_Underwood/u1bfDNe07tM_0000058 1501.6 1508.2 
Carrie_Underwood/u1bfDNe07tM_0000059 1568.3 1572.9 
Carrie_Underwood/u1bfDNe07tM_0000060 1574.4 1580.6 
Carrie_Underwood/u1bfDNe07tM_0000061 1594.3 1626.3 
Carrie_Underwood/u1bfDNe07tM_0000062 1644.7 1653.1 
Carrie_Underwood/u1bfDNe07tM_0000063 1671.1 1678.0 
Carrie_Underwood/u1bfDNe07tM_0000064 1688.7 1693.4 
Carrie_Underwood/u1bfDNe07tM_0000065 1713.6 1717.7 
Carrie_Underwood/u1bfDNe07tM_0000066 1733.9 1738.6 
Carrie_Underwood/u1bfDNe07tM_0000067 1745.3 1749.7 
Carrie_Underwood/u1bfDNe07tM_0000068 1816.8 1825.6 
Carrie_Underwood/u1bfDNe07tM_0000069 1832.2 1836.3 
Carrie_Underwood/u1bfDNe07tM_0000070 1854.5 1859.3 
Carrie_Underwood/u1bfDNe07tM_0000071 1877.9 1888.6 
Carrie_Underwood/u1bfDNe07tM_0000072 1953.0 1958.3 
Carrie_Underwood/u1bfDNe07tM_0000073 1959.5 1964.6 
