POI: 			Scott_Bakula 
Youtube ID: 	zLb39TtSjfQ 
Video length: 	485.6 sec 
Set (V): 		dev 
 
Scott_Bakula/zLb39TtSjfQ_0000001 11.1 21.4 
Scott_Bakula/zLb39TtSjfQ_0000002 22.4 35.4 
Scott_Bakula/zLb39TtSjfQ_0000003 36.0 66.1 
Scott_Bakula/zLb39TtSjfQ_0000004 90.1 99.3 
Scott_Bakula/zLb39TtSjfQ_0000005 101.3 110.0 
Scott_Bakula/zLb39TtSjfQ_0000006 110.4 117.8 
Scott_Bakula/zLb39TtSjfQ_0000007 119.6 150.7 
Scott_Bakula/zLb39TtSjfQ_0000008 155.4 160.8 
Scott_Bakula/zLb39TtSjfQ_0000009 164.9 187.8 
Scott_Bakula/zLb39TtSjfQ_0000010 188.1 208.2 
Scott_Bakula/zLb39TtSjfQ_0000011 220.9 251.7 
Scott_Bakula/zLb39TtSjfQ_0000012 264.5 286.7 
Scott_Bakula/zLb39TtSjfQ_0000013 294.0 388.6 
Scott_Bakula/zLb39TtSjfQ_0000014 389.8 402.4 
Scott_Bakula/zLb39TtSjfQ_0000015 413.1 433.8 
Scott_Bakula/zLb39TtSjfQ_0000016 434.2 446.0 
Scott_Bakula/zLb39TtSjfQ_0000017 449.0 458.6 
