POI: 			Andy_Richter 
Youtube ID: 	ObPcP4a-a4I 
Video length: 	600.5 sec 
Set (V): 		dev 
 
Andy_Richter/ObPcP4a-a4I_0000001 69.0 74.7 
Andy_Richter/ObPcP4a-a4I_0000002 102.7 109.1 
Andy_Richter/ObPcP4a-a4I_0000003 110.0 115.4 
Andy_Richter/ObPcP4a-a4I_0000004 142.7 156.4 
Andy_Richter/ObPcP4a-a4I_0000005 174.3 179.1 
Andy_Richter/ObPcP4a-a4I_0000006 192.5 199.6 
Andy_Richter/ObPcP4a-a4I_0000007 216.2 223.4 
Andy_Richter/ObPcP4a-a4I_0000008 223.5 229.2 
Andy_Richter/ObPcP4a-a4I_0000009 249.2 257.2 
Andy_Richter/ObPcP4a-a4I_0000010 257.8 263.2 
Andy_Richter/ObPcP4a-a4I_0000011 271.0 275.9 
Andy_Richter/ObPcP4a-a4I_0000012 276.1 281.8 
Andy_Richter/ObPcP4a-a4I_0000013 287.7 294.8 
Andy_Richter/ObPcP4a-a4I_0000014 352.6 357.6 
Andy_Richter/ObPcP4a-a4I_0000015 358.1 364.8 
Andy_Richter/ObPcP4a-a4I_0000016 482.9 488.5 
Andy_Richter/ObPcP4a-a4I_0000017 505.5 509.8 
