POI: 			Nichelle_Nichols 
Youtube ID: 	dYK2s3YM_o8 
Video length: 	538.3 sec 
Set (V): 		dev 
 
Nichelle_Nichols/dYK2s3YM_o8_0000001 09.1 14.7 
Nichelle_Nichols/dYK2s3YM_o8_0000002 16.7 32.9 
Nichelle_Nichols/dYK2s3YM_o8_0000003 37.5 56.3 
Nichelle_Nichols/dYK2s3YM_o8_0000004 79.7 89.4 
Nichelle_Nichols/dYK2s3YM_o8_0000005 96.4 100.6 
Nichelle_Nichols/dYK2s3YM_o8_0000006 116.4 120.6 
Nichelle_Nichols/dYK2s3YM_o8_0000007 134.2 138.5 
Nichelle_Nichols/dYK2s3YM_o8_0000008 154.1 159.1 
Nichelle_Nichols/dYK2s3YM_o8_0000009 160.2 164.4 
Nichelle_Nichols/dYK2s3YM_o8_0000010 170.1 178.7 
Nichelle_Nichols/dYK2s3YM_o8_0000011 194.5 203.4 
Nichelle_Nichols/dYK2s3YM_o8_0000012 207.3 211.3 
Nichelle_Nichols/dYK2s3YM_o8_0000013 217.1 225.7 
Nichelle_Nichols/dYK2s3YM_o8_0000014 227.4 238.8 
Nichelle_Nichols/dYK2s3YM_o8_0000015 245.4 249.6 
Nichelle_Nichols/dYK2s3YM_o8_0000016 258.1 264.4 
Nichelle_Nichols/dYK2s3YM_o8_0000017 271.1 275.5 
Nichelle_Nichols/dYK2s3YM_o8_0000018 284.8 293.6 
Nichelle_Nichols/dYK2s3YM_o8_0000019 296.5 302.5 
Nichelle_Nichols/dYK2s3YM_o8_0000020 326.4 331.7 
Nichelle_Nichols/dYK2s3YM_o8_0000021 336.0 345.1 
Nichelle_Nichols/dYK2s3YM_o8_0000022 348.9 354.8 
Nichelle_Nichols/dYK2s3YM_o8_0000023 376.1 382.7 
Nichelle_Nichols/dYK2s3YM_o8_0000024 384.9 394.3 
Nichelle_Nichols/dYK2s3YM_o8_0000025 394.6 398.7 
Nichelle_Nichols/dYK2s3YM_o8_0000026 408.0 416.9 
Nichelle_Nichols/dYK2s3YM_o8_0000027 421.6 426.8 
Nichelle_Nichols/dYK2s3YM_o8_0000028 443.9 449.9 
Nichelle_Nichols/dYK2s3YM_o8_0000029 462.4 469.1 
Nichelle_Nichols/dYK2s3YM_o8_0000030 482.7 490.0 
Nichelle_Nichols/dYK2s3YM_o8_0000031 509.8 514.1 
Nichelle_Nichols/dYK2s3YM_o8_0000032 519.3 523.7 
