POI: 			Nichelle_Nichols 
Youtube ID: 	WcLzSLJ8RB8 
Video length: 	1765.4 sec 
Set (V): 		dev 
 
Nichelle_Nichols/WcLzSLJ8RB8_0000001 108.8 112.9 
Nichelle_Nichols/WcLzSLJ8RB8_0000002 113.4 118.2 
Nichelle_Nichols/WcLzSLJ8RB8_0000003 119.6 125.4 
Nichelle_Nichols/WcLzSLJ8RB8_0000004 126.1 141.4 
Nichelle_Nichols/WcLzSLJ8RB8_0000005 147.5 156.0 
Nichelle_Nichols/WcLzSLJ8RB8_0000006 162.9 168.8 
Nichelle_Nichols/WcLzSLJ8RB8_0000007 174.1 183.4 
Nichelle_Nichols/WcLzSLJ8RB8_0000008 186.1 191.0 
Nichelle_Nichols/WcLzSLJ8RB8_0000009 201.4 206.7 
Nichelle_Nichols/WcLzSLJ8RB8_0000010 212.4 219.6 
Nichelle_Nichols/WcLzSLJ8RB8_0000011 228.0 232.1 
Nichelle_Nichols/WcLzSLJ8RB8_0000012 240.5 247.6 
Nichelle_Nichols/WcLzSLJ8RB8_0000013 257.2 263.8 
Nichelle_Nichols/WcLzSLJ8RB8_0000014 263.9 268.2 
Nichelle_Nichols/WcLzSLJ8RB8_0000015 276.7 286.5 
Nichelle_Nichols/WcLzSLJ8RB8_0000016 287.0 296.8 
Nichelle_Nichols/WcLzSLJ8RB8_0000017 302.9 308.7 
Nichelle_Nichols/WcLzSLJ8RB8_0000018 308.8 313.0 
Nichelle_Nichols/WcLzSLJ8RB8_0000019 313.5 318.9 
Nichelle_Nichols/WcLzSLJ8RB8_0000020 330.5 335.2 
Nichelle_Nichols/WcLzSLJ8RB8_0000021 335.4 346.0 
Nichelle_Nichols/WcLzSLJ8RB8_0000022 346.7 351.2 
Nichelle_Nichols/WcLzSLJ8RB8_0000023 366.1 377.0 
Nichelle_Nichols/WcLzSLJ8RB8_0000024 381.6 391.9 
Nichelle_Nichols/WcLzSLJ8RB8_0000025 387.4 391.9 
Nichelle_Nichols/WcLzSLJ8RB8_0000026 446.6 459.1 
Nichelle_Nichols/WcLzSLJ8RB8_0000027 475.0 479.3 
Nichelle_Nichols/WcLzSLJ8RB8_0000028 487.1 492.8 
Nichelle_Nichols/WcLzSLJ8RB8_0000029 494.5 499.5 
Nichelle_Nichols/WcLzSLJ8RB8_0000030 509.6 514.6 
Nichelle_Nichols/WcLzSLJ8RB8_0000031 519.6 529.2 
Nichelle_Nichols/WcLzSLJ8RB8_0000032 536.2 541.9 
